src,dst,avg_delay,max_delay,count
3,20,2.365558912386707,3.0,331
22,24,2.453416149068323,3.0,322
15,16,2.377581120943953,3.0,339
3,12,2.5016077170418005,3.0,311
0,10,2.4393939393939394,3.0,330
0,27,2.4313725490196076,3.0,306
15,24,2.4455445544554455,3.0,303
19,21,2.523510971786834,3.0,319
13,16,2.476534296028881,3.0,277
9,19,2.5042253521126763,3.0,355
18,22,2.521857923497268,3.0,366
21,25,2.4938650306748467,3.0,326
8,25,2.462068965517241,3.0,290
14,20,2.402898550724638,3.0,345
8,15,2.366279069767442,3.0,344
11,16,2.5516129032258066,3.0,310
9,13,2.4805970149253733,3.0,335
12,22,2.3411078717201166,3.0,343
10,11,2.4114114114114114,3.0,333
9,10,2.465625,3.0,320
6,16,2.4178674351585014,3.0,347
5,7,2.386627906976744,3.0,344
11,26,2.4518072289156625,3.0,332
7,15,2.3680781758957656,3.0,307
4,14,2.398753894080997,3.0,321
10,26,2.4727891156462585,3.0,294
8,9,2.414790996784566,3.0,311
5,12,2.437308868501529,3.0,327
1,22,2.446945337620579,3.0,311
9,26,2.410958904109589,3.0,365
17,23,2.404320987654321,3.0,324
13,27,2.5058479532163744,3.0,342
5,17,2.3706070287539935,3.0,313
0,2,2.4533762057877815,3.0,311
4,27,2.4447852760736195,3.0,326
11,17,2.49025974025974,3.0,308
5,15,2.4085714285714284,3.0,350
12,13,2.4760479041916166,3.0,334
6,7,2.476780185758514,3.0,323
6,12,2.366863905325444,3.0,338
4,22,2.4935064935064934,3.0,308
16,27,2.3892215568862274,3.0,334
10,22,2.49685534591195,3.0,318
0,3,2.4290030211480365,3.0,331
1,16,2.4703947368421053,3.0,304
7,27,2.4203389830508475,3.0,295
12,15,2.4565916398713825,3.0,311
6,26,2.399449035812672,3.0,363
6,14,2.4808917197452227,3.0,314
19,26,2.4966216216216215,3.0,296
10,13,2.405144694533762,3.0,311
21,23,2.4365781710914454,3.0,339
20,23,2.4856230031948883,3.0,313
24,27,2.430817610062893,3.0,318
10,17,2.4731543624161074,3.0,298
7,25,2.476489028213166,3.0,319
13,21,2.407766990291262,3.0,309
12,26,2.376237623762376,3.0,303
21,26,2.4205607476635516,3.0,321
3,27,2.4676258992805757,3.0,278
3,7,2.466666666666667,3.0,285
1,23,2.4745762711864407,3.0,295
0,6,2.454861111111111,3.0,288
1,17,2.4633333333333334,3.0,300
6,8,2.365079365079365,3.0,315
21,24,2.5,3.0,282
25,27,2.4761904761904763,3.0,336
2,17,2.48,3.0,300
19,22,2.4178082191780823,3.0,292
12,24,2.508591065292096,3.0,291
12,20,2.3947368421052633,3.0,304
11,18,2.417956656346749,3.0,323
18,26,2.4792332268370605,3.0,313
1,2,2.3922155688622753,3.0,334
1,19,2.3987138263665595,3.0,311
17,20,2.45928338762215,3.0,307
1,6,2.439252336448598,3.0,321
4,19,2.4241573033707864,3.0,356
0,11,2.466666666666667,3.0,330
14,27,2.446308724832215,3.0,298
2,4,2.4390243902439024,3.0,328
11,23,2.493377483443709,3.0,302
7,26,2.338235294117647,3.0,340
12,25,2.4734982332155475,3.0,283
0,15,2.4437299035369775,3.0,311
8,16,2.3862928348909658,3.0,321
0,7,2.4270833333333335,3.0,288
1,9,2.4652014652014653,3.0,273
19,24,2.4894894894894897,3.0,333
18,25,2.3918495297805644,3.0,319
4,11,2.446629213483146,3.0,356
3,26,2.4731543624161074,3.0,298
8,26,2.365325077399381,3.0,323
1,21,2.4359756097560976,3.0,328
2,27,2.488888888888889,3.0,315
13,19,2.402173913043478,3.0,368
3,21,2.3987730061349692,3.0,326
3,15,2.462962962962963,3.0,324
1,26,2.5163398692810457,3.0,306
16,24,2.467948717948718,3.0,312
5,18,2.434931506849315,3.0,292
21,22,2.440729483282675,3.0,329
9,25,2.462540716612378,3.0,307
8,27,2.3975155279503104,3.0,322
1,5,2.4588607594936707,3.0,316
15,17,2.45928338762215,3.0,307
10,24,2.4186046511627906,3.0,301
1,15,2.4670846394984327,3.0,319
4,5,2.4610591900311527,3.0,321
11,12,2.466666666666667,3.0,315
1,4,2.351973684210526,3.0,304
14,24,2.41025641025641,3.0,312
0,4,2.3617021276595747,3.0,329
1,12,2.4952978056426334,3.0,319
12,18,2.460431654676259,3.0,278
5,14,2.5116959064327484,3.0,342
20,26,2.4563758389261743,3.0,298
15,27,2.414239482200647,3.0,309
5,10,2.4695945945945947,3.0,296
10,23,2.5047021943573666,3.0,319
2,11,2.3843648208469057,3.0,307
4,16,2.445578231292517,3.0,294
2,3,2.3880126182965298,3.0,317
18,27,2.459627329192547,3.0,322
3,18,2.4184615384615387,3.0,325
10,19,2.3757396449704142,3.0,338
9,14,2.5147540983606556,3.0,305
9,11,2.4793103448275864,3.0,290
13,18,2.4066265060240966,3.0,332
20,22,2.4501510574018126,3.0,331
1,14,2.4448051948051948,3.0,308
16,26,2.4457831325301207,3.0,332
8,13,2.5265017667844525,3.0,283
24,25,2.3433734939759034,3.0,332
8,18,2.4924924924924925,3.0,333
14,17,2.43598615916955,3.0,289
0,14,2.372937293729373,3.0,303
1,8,2.5069637883008355,3.0,359
23,26,2.414110429447853,3.0,326
13,20,2.411242603550296,3.0,338
9,16,2.3536977491961415,3.0,311
4,17,2.4133333333333336,3.0,300
9,15,2.4169096209912535,3.0,343
11,15,2.4982078853046596,3.0,279
9,12,2.4468085106382977,3.0,329
2,18,2.361635220125786,3.0,318
2,21,2.501557632398754,3.0,321
1,7,2.4455128205128207,3.0,312
4,6,2.442244224422442,3.0,303
13,25,2.3832335329341316,3.0,334
26,27,2.4044585987261144,3.0,314
1,24,2.346875,3.0,320
7,14,2.4892307692307694,3.0,325
0,9,2.4831804281345566,3.0,327
15,18,2.4285714285714284,3.0,322
11,20,2.361904761904762,3.0,315
0,21,2.5172413793103448,3.0,348
13,15,2.4917491749174916,3.0,303
12,17,2.4713375796178343,3.0,314
22,26,2.4958677685950414,3.0,363
5,11,2.5126582278481013,3.0,316
5,16,2.413793103448276,3.0,348
14,26,2.4862385321100917,3.0,327
10,14,2.358490566037736,3.0,318
4,24,2.3679525222551927,3.0,337
0,8,2.5364238410596025,3.0,302
0,18,2.4350282485875705,3.0,354
6,19,2.443708609271523,3.0,302
16,21,2.3518518518518516,3.0,324
7,19,2.453731343283582,3.0,335
2,22,2.4637223974763405,3.0,317
13,23,2.486068111455108,3.0,323
3,19,2.4240506329113924,3.0,316
11,14,2.404833836858006,3.0,331
5,25,2.5031847133757963,3.0,314
6,20,2.417197452229299,3.0,314
7,18,2.4290030211480365,3.0,331
9,18,2.4081632653061225,3.0,294
7,8,2.3746223564954683,3.0,331
6,21,2.3981481481481484,3.0,324
17,19,2.4624624624624625,3.0,333
8,11,2.5083056478405314,3.0,301
23,24,2.472491909385113,3.0,309
14,19,2.4119402985074627,3.0,335
3,8,2.4875,3.0,320
0,5,2.5135135135135136,3.0,296
2,9,2.4024767801857587,3.0,323
0,13,2.508038585209003,3.0,311
6,17,2.4161676646706587,3.0,334
1,25,2.318936877076412,3.0,301
23,25,2.4375,3.0,320
19,23,2.465034965034965,3.0,286
5,26,2.3443708609271523,3.0,302
