src,dst,generated,served
0,1,334,327
0,2,310,302
0,3,313,308
0,4,327,317
0,5,303,288
0,6,305,296
0,7,296,288
0,8,341,328
0,9,323,319
0,10,316,311
0,11,317,314
0,12,310,303
0,13,291,281
0,14,336,327
0,15,295,280
0,16,324,314
0,17,349,341
0,18,365,359
0,19,333,322
0,20,306,298
0,21,332,318
0,22,324,316
0,23,291,283
0,24,346,338
0,25,333,324
0,26,345,334
0,27,317,311
1,2,332,326
1,3,290,284
1,4,291,285
1,5,322,315
1,6,338,327
1,7,323,305
1,8,317,309
1,9,352,337
1,10,307,300
1,11,341,330
1,12,302,296
1,13,319,315
1,14,337,331
1,15,316,301
1,16,310,301
1,17,314,306
1,18,329,325
1,19,273,261
1,20,324,317
1,21,327,317
1,22,342,336
1,23,320,306
1,24,315,304
1,25,290,285
1,26,302,293
1,27,314,303
2,3,334,326
2,4,308,303
2,5,310,301
2,6,303,293
2,7,351,346
2,8,318,310
2,9,293,287
2,10,298,295
2,11,338,330
2,12,305,299
2,13,300,295
2,14,292,280
2,15,331,316
2,16,289,276
2,17,298,286
2,18,316,307
2,19,305,296
2,20,329,318
2,21,295,287
2,22,330,312
2,23,305,298
2,24,320,314
2,25,313,306
2,26,332,322
2,27,307,298
3,4,276,272
3,5,300,286
3,6,316,307
3,7,316,302
3,8,303,295
3,9,318,312
3,10,334,329
3,11,296,292
3,12,286,279
3,13,352,349
3,14,324,319
3,15,301,290
3,16,316,308
3,17,307,297
3,18,309,301
3,19,308,299
3,20,278,268
3,21,343,330
3,22,318,307
3,23,312,305
3,24,297,292
3,25,273,268
3,26,332,323
3,27,333,316
4,5,313,295
4,6,340,333
4,7,309,299
4,8,329,321
4,9,310,292
4,10,337,326
4,11,325,315
4,12,343,332
4,13,273,266
4,14,324,314
4,15,328,316
4,16,311,302
4,17,303,296
4,18,319,313
4,19,312,303
4,20,312,305
4,21,312,303
4,22,342,336
4,23,324,312
4,24,330,323
4,25,299,294
4,26,317,304
4,27,288,281
5,6,340,327
5,7,325,317
5,8,317,312
5,9,313,306
5,10,310,294
5,11,340,323
5,12,303,292
5,13,321,308
5,14,308,294
5,15,341,334
5,16,319,313
5,17,330,315
5,18,311,300
5,19,280,272
5,20,308,293
5,21,316,306
5,22,295,289
5,23,333,321
5,24,297,285
5,25,319,309
5,26,320,313
5,27,312,311
6,7,351,345
6,8,321,319
6,9,325,318
6,10,323,313
6,11,288,278
6,12,295,287
6,13,336,324
6,14,321,309
6,15,341,336
6,16,321,314
6,17,294,290
6,18,301,292
6,19,319,309
6,20,321,311
6,21,314,307
6,22,335,326
6,23,323,314
6,24,314,309
6,25,295,291
6,26,302,295
6,27,332,327
7,8,333,327
7,9,327,321
7,10,312,304
7,11,327,320
7,12,320,311
7,13,339,330
7,14,319,311
7,15,343,337
7,16,294,287
7,17,299,293
7,18,314,302
7,19,335,318
7,20,329,322
7,21,321,315
7,22,308,300
7,23,366,359
7,24,310,298
7,25,329,314
7,26,279,273
7,27,299,290
8,9,315,307
8,10,345,339
8,11,291,283
8,12,295,284
8,13,320,314
8,14,301,292
8,15,316,309
8,16,332,326
8,17,298,292
8,18,308,294
8,19,316,312
8,20,310,303
8,21,349,341
8,22,334,329
8,23,321,314
8,24,289,283
8,25,287,278
8,26,290,284
8,27,315,308
9,10,331,318
9,11,288,277
9,12,303,293
9,13,310,300
9,14,305,297
9,15,306,301
9,16,295,286
9,17,313,308
9,18,337,330
9,19,352,343
9,20,320,307
9,21,309,303
9,22,316,310
9,23,311,300
9,24,312,304
9,25,351,345
9,26,293,284
9,27,304,295
10,11,299,294
10,12,316,306
10,13,341,335
10,14,293,288
10,15,308,296
10,16,303,297
10,17,312,303
10,18,320,316
10,19,324,315
10,20,322,317
10,21,317,313
10,22,286,277
10,23,318,303
10,24,318,308
10,25,306,295
10,26,302,292
10,27,330,309
11,12,319,307
11,13,329,320
11,14,307,296
11,15,338,328
11,16,304,295
11,17,337,317
11,18,316,309
11,19,288,280
11,20,318,308
11,21,306,300
11,22,291,283
11,23,349,341
11,24,320,308
11,25,326,314
11,26,348,336
11,27,331,318
12,13,305,291
12,14,335,328
12,15,332,323
12,16,297,289
12,17,329,327
12,18,345,333
12,19,277,270
12,20,302,295
12,21,326,318
12,22,336,328
12,23,283,276
12,24,336,326
12,25,334,324
12,26,344,339
12,27,330,320
13,14,330,326
13,15,312,301
13,16,352,340
13,17,295,284
13,18,305,303
13,19,344,340
13,20,313,306
13,21,325,314
13,22,341,330
13,23,339,330
13,24,303,297
13,25,301,297
13,26,338,328
13,27,339,324
14,15,305,292
14,16,322,313
14,17,356,343
14,18,318,308
14,19,307,300
14,20,322,317
14,21,304,295
14,22,302,287
14,23,305,299
14,24,333,325
14,25,304,299
14,26,315,301
14,27,291,279
15,16,314,302
15,17,352,347
15,18,317,307
15,19,312,301
15,20,284,275
15,21,337,326
15,22,313,308
15,23,331,319
15,24,301,291
15,25,301,290
15,26,326,318
15,27,344,335
16,17,293,288
16,18,329,318
16,19,337,324
16,20,311,304
16,21,318,312
16,22,342,336
16,23,299,289
16,24,297,289
16,25,314,304
16,26,343,335
16,27,305,295
17,18,333,318
17,19,321,312
17,20,303,293
17,21,242,238
17,22,319,313
17,23,332,319
17,24,313,301
17,25,315,297
17,26,331,325
17,27,338,335
18,19,304,299
18,20,322,316
18,21,350,337
18,22,302,288
18,23,295,291
18,24,302,296
18,25,324,315
18,26,299,286
18,27,349,339
19,20,302,296
19,21,285,277
19,22,305,296
19,23,293,284
19,24,314,308
19,25,289,283
19,26,283,275
19,27,306,294
20,21,321,311
20,22,318,311
20,23,311,295
20,24,295,292
20,25,325,321
20,26,301,293
20,27,311,304
21,22,326,317
21,23,334,330
21,24,331,314
21,25,313,302
21,26,313,305
21,27,302,297
22,23,317,309
22,24,327,322
22,25,315,305
22,26,321,311
22,27,308,303
23,24,365,355
23,25,332,318
23,26,323,313
23,27,328,319
24,25,335,327
24,26,325,313
24,27,315,306
25,26,296,287
25,27,308,294
26,27,299,294
