src,dst,generated,served,served
0,1,663,162,972
0,2,659,157,942
0,3,655,148,888
0,4,677,174,1044
0,5,661,160,960
0,6,660,160,960
0,7,647,142,852
0,8,654,150,900
0,9,681,177,1062
0,10,649,146,876
0,11,652,146,876
0,12,678,175,1050
0,13,655,150,900
0,14,656,147,882
0,15,651,144,864
0,16,661,155,930
0,17,650,148,888
0,18,663,155,930
0,19,657,152,912
0,20,661,157,942
0,21,659,152,912
0,22,668,162,972
0,23,657,155,930
0,24,661,154,924
0,25,665,161,966
0,26,671,168,1008
0,27,656,153,918
1,2,662,157,942
1,3,668,157,942
1,4,647,142,852
1,5,656,151,906
1,6,680,174,1044
1,7,642,136,816
1,8,656,151,906
1,9,675,170,1020
1,10,651,144,864
1,11,678,176,1056
1,12,648,145,870
1,13,673,167,1002
1,14,664,159,954
1,15,654,148,888
1,16,657,149,894
1,17,667,161,966
1,18,647,144,864
1,19,651,147,882
1,20,648,143,858
1,21,666,159,954
1,22,661,152,912
1,23,678,172,1032
1,24,680,172,1032
1,25,655,146,876
1,26,647,137,822
1,27,671,163,978
2,3,662,158,948
2,4,669,160,960
2,5,652,150,900
2,6,690,182,1092
2,7,684,177,1062
2,8,650,144,864
2,9,677,174,1044
2,10,647,144,864
2,11,657,155,930
2,12,656,148,888
2,13,676,172,1032
2,14,674,169,1014
2,15,662,155,930
2,16,665,160,960
2,17,643,139,834
2,18,674,171,1026
2,19,653,142,852
2,20,653,150,900
2,21,672,164,984
2,22,658,146,876
2,23,670,166,996
2,24,664,159,954
2,25,653,146,876
2,26,650,147,882
2,27,661,157,942
3,4,662,160,960
3,5,645,145,870
3,6,659,155,930
3,7,630,126,756
3,8,667,164,984
3,9,655,149,894
3,10,660,156,936
3,11,662,153,918
3,12,671,164,984
3,13,671,169,1014
3,14,655,152,912
3,15,657,150,900
3,16,662,156,936
3,17,670,165,990
3,18,680,173,1038
3,19,668,165,990
3,20,636,132,792
3,21,643,140,840
3,22,656,152,912
3,23,683,178,1068
3,24,642,137,822
3,25,642,138,828
3,26,652,145,870
3,27,659,158,948
4,5,673,167,1002
4,6,661,157,942
4,7,642,139,834
4,8,664,159,954
4,9,664,156,936
4,10,679,178,1068
4,11,652,143,858
4,12,671,164,984
4,13,647,144,864
4,14,666,159,954
4,15,657,154,924
4,16,648,142,852
4,17,646,141,846
4,18,641,140,840
4,19,681,175,1050
4,20,675,174,1044
4,21,651,145,870
4,22,668,161,966
4,23,678,172,1032
4,24,668,164,984
4,25,649,145,870
4,26,661,154,924
4,27,660,154,924
5,6,661,156,936
5,7,644,137,822
5,8,685,178,1068
5,9,661,157,942
5,10,649,144,864
5,11,668,164,984
5,12,677,175,1050
5,13,661,155,930
5,14,655,145,870
5,15,665,162,972
5,16,675,173,1038
5,17,659,153,918
5,18,670,161,966
5,19,646,139,834
5,20,646,141,846
5,21,652,147,882
5,22,656,152,912
5,23,666,160,960
5,24,672,166,996
5,25,671,163,978
5,26,670,165,990
5,27,641,137,822
6,7,646,145,870
6,8,659,154,924
6,9,642,138,828
6,10,653,148,888
6,11,673,167,1002
6,12,667,163,978
6,13,672,165,990
6,14,685,181,1086
6,15,663,155,930
6,16,667,164,984
6,17,671,162,972
6,18,643,138,828
6,19,678,173,1038
6,20,694,187,1122
6,21,656,154,924
6,22,684,180,1080
6,23,660,158,948
6,24,647,142,852
6,25,666,162,972
6,26,672,169,1014
6,27,655,150,900
7,8,668,161,966
7,9,661,158,948
7,10,680,173,1038
7,11,647,139,834
7,12,670,165,990
7,13,684,179,1074
7,14,646,140,840
7,15,666,160,960
7,16,661,156,936
7,17,655,148,888
7,18,655,147,882
7,19,664,155,930
7,20,653,150,900
7,21,684,179,1074
7,22,662,159,954
7,23,653,149,894
7,24,661,154,924
7,25,656,151,906
7,26,661,158,948
7,27,649,140,840
8,9,649,147,882
8,10,652,147,882
8,11,648,146,876
8,12,664,162,972
8,13,677,175,1050
8,14,652,145,870
8,15,651,147,882
8,16,638,134,804
8,17,665,160,960
8,18,647,144,864
8,19,658,150,900
8,20,645,142,852
8,21,672,165,990
8,22,651,149,894
8,23,694,187,1122
8,24,666,161,966
