src,dst,generated,served
0,1,150,148
0,2,149,140
0,3,133,132
0,4,160,156
0,5,163,156
0,6,153,148
0,7,170,165
0,8,163,158
0,9,163,155
0,10,153,148
0,11,168,164
0,12,154,150
0,13,148,144
0,14,163,158
0,15,161,152
0,16,162,153
0,17,157,153
0,18,142,138
0,19,161,156
0,20,148,140
0,21,146,145
0,22,197,195
0,23,159,155
0,24,178,169
0,25,164,156
0,26,144,140
0,27,147,142
1,0,0,0
1,2,159,156
1,3,179,176
1,4,163,158
1,5,159,155
1,6,149,146
1,7,188,181
1,8,160,153
1,9,164,161
1,10,155,150
1,11,145,137
1,12,162,151
1,13,158,152
1,14,161,156
1,15,148,146
1,16,172,169
1,17,172,166
1,18,141,138
1,19,156,148
1,20,170,165
1,21,155,150
1,22,180,176
1,23,144,137
1,24,177,174
1,25,163,155
1,26,150,146
1,27,160,155
2,0,0,0
2,1,0,0
2,3,159,154
2,4,143,143
2,5,162,157
2,6,157,152
2,7,148,143
2,8,176,169
2,9,150,146
2,10,155,149
2,11,155,144
2,12,162,155
2,13,165,164
2,14,153,148
2,15,185,178
2,16,138,135
2,17,157,154
2,18,154,149
2,19,155,152
2,20,135,134
2,21,152,147
2,22,150,146
2,23,146,144
2,24,141,137
2,25,152,147
2,26,156,151
2,27,184,175
3,0,0,0
3,1,0,0
3,2,0,0
3,4,159,157
3,5,169,158
3,6,164,158
3,7,148,144
3,8,149,148
3,9,157,151
3,10,164,160
3,11,154,151
3,12,172,165
3,13,153,145
3,14,166,161
3,15,152,146
3,16,161,152
3,17,147,141
3,18,130,129
3,19,158,156
3,20,165,162
3,21,156,149
3,22,152,149
3,23,140,133
3,24,169,162
3,25,152,148
3,26,143,142
3,27,150,146
4,0,0,0
4,1,0,0
4,2,0,0
4,3,0,0
4,5,170,164
4,6,176,167
4,7,173,165
4,8,155,153
4,9,179,177
4,10,175,174
4,11,170,164
4,12,145,141
4,13,165,162
4,14,162,160
4,15,157,153
4,16,175,169
4,17,161,153
4,18,162,156
4,19,172,168
4,20,159,153
4,21,166,160
4,22,150,147
4,23,150,145
4,24,163,155
4,25,163,156
4,26,154,146
4,27,159,149
5,0,0,0
5,1,0,0
5,2,0,0
5,3,0,0
5,4,0,0
5,6,152,150
5,7,169,168
5,8,151,149
5,9,148,142
5,10,165,162
5,11,150,144
5,12,157,147
5,13,142,132
5,14,152,144
5,15,161,152
5,16,173,168
5,17,166,162
5,18,170,165
5,19,154,149
5,20,159,151
5,21,166,159
5,22,173,170
5,23,171,167
5,24,183,176
5,25,160,152
5,26,159,153
5,27,156,152
6,0,0,0
6,1,0,0
6,2,0,0
6,3,0,0
6,4,0,0
6,5,0,0
6,7,143,140
6,8,158,151
6,9,157,154
6,10,153,146
6,11,143,138
6,12,141,140
6,13,162,157
6,14,165,160
6,15,171,166
6,16,167,161
6,17,157,156
6,18,173,164
6,19,153,148
6,20,150,147
6,21,153,145
6,22,169,162
6,23,178,172
6,24,169,165
6,25,166,159
6,26,158,151
6,27,155,152
7,0,0,0
7,1,0,0
7,2,0,0
7,3,0,0
7,4,0,0
7,5,0,0
7,6,0,0
7,8,168,163
7,9,165,161
7,10,169,156
7,11,155,151
7,12,135,128
7,13,151,149
7,14,175,171
7,15,144,137
7,16,169,166
7,17,150,147
7,18,164,158
7,19,158,152
7,20,171,164
7,21,141,140
7,22,170,163
7,23,142,133
7,24,156,151
7,25,155,149
7,26,164,162
7,27,137,134
8,0,0,0
8,1,0,0
8,2,0,0
8,3,0,0
8,4,0,0
8,5,0,0
8,6,0,0
8,7,0,0
8,9,171,167
8,10,159,154
8,11,152,149
8,12,159,154
8,13,170,163
8,14,161,157
8,15,132,129
8,16,151,147
8,17,155,151
8,18,147,144
8,19,154,152
8,20,173,166
8,21,179,176
8,22,161,159
8,23,150,148
8,24,160,155
8,25,170,162
8,26,171,162
8,27,161,158
9,0,0,0
9,1,0,0
