src,dst,avg_delay,max_delay,count
8,15,0.0,0.0,576
10,11,0.009389671361502348,2.0,639
5,7,0.0017301038062283738,1.0,578
8,9,0.003194888178913738,1.0,626
17,23,0.011111111111111112,3.0,630
0,3,0.008361204013377926,2.0,598
12,22,0.02909647779479326,1.0,653
7,15,0.03349282296650718,1.0,627
4,14,0.032520325203252036,3.0,615
0,2,0.0288135593220339,2.0,590
6,7,0.02531645569620253,2.0,632
12,15,0.044189852700491,2.0,611
3,20,0.14942528735632185,3.0,609
15,16,0.008547008547008548,1.0,585
11,26,0.3856707317073171,3.0,656
5,17,0.12583892617449666,2.0,596
5,12,0.13513513513513514,3.0,629
6,12,0.10862619808306709,3.0,626
0,10,0.034954407294832825,2.0,658
14,20,0.03281519861830743,2.0,579
9,10,1.1989342806394316,3.0,563
19,24,0.0031496062992125984,1.0,635
13,14,0.004761904761904762,1.0,630
11,16,0.13355048859934854,3.0,614
18,26,0.09636650868878358,3.0,633
7,12,0.03814262023217247,2.0,603
10,14,0.035256410256410256,2.0,624
17,27,0.027642276422764227,1.0,615
19,25,0.03571428571428571,2.0,560
3,12,0.41008403361344536,3.0,595
18,22,0.28084415584415584,3.0,616
16,27,0.12580645161290321,3.0,620
9,27,0.10251798561151079,2.0,556
20,24,0.032758620689655175,3.0,580
7,11,0.2052980132450331,3.0,604
6,16,0.7801652892561983,3.0,605
10,26,1.4638783269961977,3.0,526
8,12,0.006956521739130435,1.0,575
21,26,0.0016835016835016834,1.0,594
20,21,0.13471502590673576,3.0,579
7,21,0.1320754716981132,2.0,583
13,16,1.3583180987202925,3.0,547
21,25,0.29900332225913623,3.0,602
9,26,0.8452579034941764,3.0,601
11,17,1.2162661737523106,3.0,541
5,15,0.12924071082390953,2.0,619
4,22,1.2325141776937618,3.0,529
13,25,0.03599374021909233,1.0,639
18,25,0.047377326565143825,2.0,591
16,18,0.3434343434343434,3.0,594
12,21,0.17073170731707318,3.0,574
4,18,0.1082024432809773,2.0,573
8,14,0.20508744038155802,3.0,629
0,11,0.11018363939899833,3.0,599
19,21,1.0867052023121386,3.0,519
5,11,1.3563829787234043,3.0,564
0,7,1.5204545454545455,3.0,440
7,22,0.8441780821917808,3.0,584
0,19,0.8710217755443886,3.0,597
1,18,0.9167974882260597,3.0,637
15,19,1.33201581027668,3.0,506
13,26,1.2017699115044247,3.0,565
10,22,1.3500967117988394,3.0,517
9,13,2.3448275862068964,3.0,116
15,21,0.007836990595611285,1.0,638
13,19,0.009419152276295133,1.0,637
13,20,0.0,0.0,584
4,9,0.12741935483870967,2.0,620
23,26,0.03322259136212625,2.0,602
9,15,0.0328719723183391,2.0,578
3,11,0.03773584905660377,2.0,583
21,22,0.04258675078864353,3.0,634
21,27,0.026986506746626688,2.0,667
4,6,0.415625,3.0,640
1,19,0.11714770797962648,2.0,589
14,24,0.13853503184713375,3.0,628
8,22,0.1378737541528239,3.0,602
10,21,0.3076923076923077,3.0,637
15,27,0.19831932773109243,2.0,595
2,21,1.1448275862068966,3.0,580
3,21,1.2339181286549707,3.0,513
21,24,1.1235294117647059,3.0,510
3,6,1.5442764578833694,3.0,463
7,23,0.8831385642737897,3.0,599
6,27,0.8282988871224165,3.0,629
8,27,0.8330605564648118,3.0,611
3,16,1.1989342806394316,3.0,563
8,11,0.06624605678233439,2.0,634
1,20,0.12669683257918551,3.0,663
18,19,0.12995245641838352,3.0,631
21,23,0.12436974789915967,2.0,595
4,17,0.4368231046931408,3.0,554
15,25,1.1883239171374764,3.0,531
14,18,0.0049504950495049506,1.0,606
12,16,0.003236245954692557,1.0,618
2,10,0.03424657534246575,2.0,584
8,17,0.04304635761589404,1.0,604
9,16,0.11019736842105263,3.0,608
11,24,0.8199233716475096,3.0,522
0,14,0.9438775510204082,3.0,588
2,12,1.5381165919282511,3.0,446
22,26,0.006896551724137931,1.0,580
17,26,0.13666666666666666,3.0,600
13,15,0.2968036529680365,3.0,657
4,5,0.37320574162679426,3.0,627
7,18,1.2150313152400836,3.0,479
11,15,0.06289308176100629,2.0,636
4,21,0.24705882352941178,3.0,595
10,18,0.11932773109243698,3.0,595
11,20,0.13550600343053174,3.0,583
1,8,1.6285714285714286,3.0,490
4,19,0.8735440931780366,3.0,601
0,15,1.2366412213740459,3.0,524
5,27,2.2242152466367715,3.0,223
13,27,2.3493150684931505,3.0,146
9,14,1.3104089219330854,3.0,538
5,18,2.3191489361702127,3.0,141
2,15,1.3189823874755382,3.0,511
17,18,2.3133333333333335,3.0,150
11,23,1.3426443202979517,3.0,537
7,14,1.2906764168190128,3.0,547
22,25,2.4722222222222223,3.0,144
2,13,0.0016420361247947454,1.0,609
15,22,0.03776683087027915,3.0,609
6,17,0.03215434083601286,2.0,622
10,15,0.11837455830388692,3.0,566
16,26,0.02066772655007949,1.0,629
8,21,0.02247191011235955,1.0,623
18,24,0.12545454545454546,3.0,550
3,15,0.2703583061889251,3.0,614
12,17,0.0,0.0,614
4,15,0.08221476510067115,2.0,596
2,20,0.043697478991596636,2.0,595
22,27,0.028616852146263912,1.0,629
14,21,0.07963246554364471,2.0,653
3,19,0.10304054054054054,2.0,592
24,25,0.006546644844517185,2.0,611
13,21,0.3316582914572864,3.0,597
8,10,0.2716049382716049,3.0,567
0,8,0.42673107890499196,3.0,621
