src,dst,generated,served
0,1,543,543
0,2,536,536
0,3,501,501
0,4,483,483
0,5,503,149
0,6,501,145
0,7,473,456
0,8,506,505
0,9,500,486
0,10,474,474
0,11,545,545
0,12,488,471
0,13,503,502
0,14,509,508
0,15,493,491
0,16,548,240
0,17,524,130
0,18,540,395
0,19,485,484
0,20,490,490
0,21,538,248
0,22,517,5
0,23,517,0
0,24,543,368
0,25,508,371
0,26,501,0
0,27,500,0
1,2,500,500
1,3,527,527
1,4,512,512
1,5,498,0
1,6,522,0
1,7,559,151
1,8,538,506
1,9,520,147
1,10,479,479
1,11,496,494
1,12,553,135
1,13,555,554
1,14,468,468
1,15,513,236
1,16,491,0
1,17,511,0
1,18,534,534
1,19,546,546
1,20,486,486
1,21,499,247
1,22,519,0
1,23,527,0
1,24,527,525
1,25,503,503
1,26,488,7
1,27,543,0
2,3,497,497
2,4,514,514
2,5,523,144
2,6,519,142
2,7,563,530
2,8,508,508
2,9,483,457
2,10,479,479
2,11,515,515
2,12,482,462
2,13,513,513
2,14,528,528
2,15,466,464
2,16,515,243
2,17,482,136
2,18,457,457
2,19,516,516
2,20,564,564
2,21,485,475
2,22,517,12
2,23,487,1
2,24,485,485
2,25,516,516
2,26,518,293
2,27,526,7
3,4,524,524
3,5,475,442
3,6,508,485
3,7,521,521
3,8,503,503
3,9,483,483
3,10,493,493
3,11,514,513
3,12,522,522
3,13,483,483
3,14,499,499
3,15,513,513
3,16,526,519
3,17,548,519
3,18,498,498
3,19,525,525
3,20,502,502
3,21,512,503
3,22,489,233
3,23,492,122
3,24,504,504
3,25,488,487
3,26,503,196
3,27,532,1
4,5,529,529
4,6,556,556
4,7,549,549
4,8,528,527
4,9,496,496
4,10,469,469
4,11,538,538
4,12,530,529
4,13,488,488
4,14,516,516
4,15,515,514
4,16,520,520
4,17,492,492
4,18,497,497
4,19,500,498
4,20,529,529
4,21,502,502
4,22,492,487
4,23,519,501
4,24,501,352
4,25,536,373
4,26,506,502
4,27,543,225
5,6,544,544
5,7,534,534
5,8,486,486
5,9,494,494
5,10,533,245
5,11,498,491
5,12,541,541
5,13,524,4
5,14,523,214
5,15,499,499
5,16,491,490
5,17,511,511
5,18,548,275
5,19,541,0
5,20,497,4
5,21,508,508
5,22,525,348
5,23,520,518
5,24,528,0
5,25,553,0
5,26,529,218
5,27,559,393
6,7,520,520
6,8,538,538
6,9,526,526
6,10,545,254
6,11,501,500
6,12,509,509
6,13,511,5
6,14,500,210
6,15,510,510
6,16,511,511
6,17,531,531
6,18,526,268
6,19,516,0
6,20,535,9
6,21,558,557
6,22,581,580
6,23,524,524
6,24,538,0
6,25,489,0
6,26,534,385
6,27,509,509
7,8,522,522
7,9,514,513
7,10,499,495
7,11,492,492
7,12,517,517
7,13,507,241
7,14,523,518
7,15,529,529
7,16,507,507
7,17,515,515
7,18,494,489
7,19,483,7
7,20,496,275
7,21,538,538
7,22,517,515
7,23,515,514
7,24,501,0
7,25,507,8
7,26,501,498
7,27,562,384
8,9,502,502
8,10,491,491
8,11,522,522
8,12,505,505
8,13,510,503
8,14,475,475
8,15,509,509
8,16,485,485
8,17,543,543
8,18,507,507
8,19,477,232
8,20,486,479
8,21,492,492
8,22,488,488
8,23,526,526
8,24,515,5
8,25,542,282
8,26,510,510
8,27,495,495
9,10,552,546
9,11,526,526
9,12,481,481
9,13,519,239
9,14,522,519
9,15,521,521
9,16,511,511
9,17,510,510
9,18,465,458
9,19,460,3
9,20,513,245
9,21,498,498
9,22,516,516
9,23,504,504
9,24,517,0
9,25,533,12
9,26,516,515
9,27,517,517
10,11,484,484
10,12,535,531
10,13,487,487
10,14,516,516
10,15,520,520
10,16,498,498
10,17,471,228
10,18,511,511
10,19,543,543
10,20,487,487
10,21,507,507
10,22,509,502
10,23,545,220
10,24,522,522
10,25,539,539
10,26,499,489
10,27,520,193
11,12,521,521
11,13,516,516
11,14,502,502
11,15,478,478
11,16,527,527
11,17,523,521
11,18,498,498
11,19,492,492
11,20,544,544
11,21,490,489
11,22,517,517
11,23,551,549
11,24,446,444
11,25,535,534
11,26,480,480
11,27,518,508
12,13,519,256
12,14,495,491
12,15,495,495
12,16,515,515
12,17,529,529
12,18,540,532
12,19,523,11
12,20,506,245
12,21,508,508
12,22,515,515
12,23,523,523
12,24,492,0
12,25,549,8
12,26,493,493
12,27,477,477
13,14,481,481
13,15,532,532
13,16,517,513
13,17,542,5
13,18,539,538
13,19,530,530
13,20,520,520
13,21,498,498
13,22,545,365
13,23,534,9
13,24,507,507
13,25,531,531
13,26,515,509
13,27,534,282
14,15,536,536
14,16,517,516
14,17,519,237
14,18,526,526
14,19,525,524
14,20,508,508
14,21,474,474
14,22,503,501
14,23,521,355
14,24,496,496
14,25,483,483
14,26,490,490
14,27,483,477
15,16,505,505
15,17,517,517
15,18,528,528
15,19,499,494
15,20,502,502
15,21,530,530
15,22,532,532
15,23,505,504
15,24,544,379
15,25,513,509
15,26,474,474
15,27,496,496
16,17,481,481
16,18,508,508
16,19,524,224
16,20,514,505
16,21,482,481
16,22,470,470
16,23,500,500
16,24,553,3
16,25,504,252
16,26,538,538
16,27,508,508
17,18,498,242
17,19,479,1
17,20,525,7
17,21,469,468
17,22,565,565
17,23,517,517
17,24,557,0
17,25,511,0
17,26,510,509
17,27,524,524
18,19,549,549
18,20,489,489
18,21,477,477
18,22,512,512
18,23,526,518
18,24,508,508
18,25,500,500
18,26,510,510
18,27,494,494
19,20,521,520
19,21,495,488
19,22,508,5
19,23,470,0
19,24,537,537
19,25,505,505
19,26,524,282
19,27,480,10
20,21,470,470
20,22,466,459
20,23,529,271
20,24,500,500
20,25,501,501
20,26,511,511
20,27,542,537
21,22,530,530
21,23,541,541
21,24,538,531
21,25,533,533
21,26,490,490
21,27,536,536
22,23,506,506
22,24,494,8
22,25,537,284
22,26,498,498
22,27,507,507
23,24,531,0
23,25,476,9
23,26,508,508
23,27,521,521
24,25,510,510
24,26,521,284
24,27,522,5
25,26,500,491
25,27,497,258
26,27,489,489
