src,dst,generated,served
0,1,169,169
0,2,185,184
0,3,163,163
0,4,167,166
0,5,166,146
0,6,168,137
0,7,172,158
0,8,170,168
0,9,170,156
0,10,176,176
0,11,157,157
0,12,176,163
0,13,166,165
0,14,169,162
0,15,183,179
0,16,163,145
0,17,151,129
0,18,158,154
0,19,175,173
0,20,163,160
0,21,154,137
0,22,197,167
0,23,179,131
0,24,184,174
0,25,184,174
0,26,156,133
0,27,164,127
1,0,0,0
1,2,166,166
1,3,152,152
1,4,153,151
1,5,163,119
1,6,158,114
1,7,190,159
1,8,171,162
1,9,178,147
1,10,188,188
1,11,160,158
1,12,197,167
1,13,165,162
1,14,177,174
1,15,165,153
1,16,159,134
1,17,176,137
1,18,175,169
1,19,170,168
1,20,180,179
1,21,171,152
1,22,170,135
1,23,162,122
1,24,176,172
1,25,179,179
1,26,180,156
1,27,143,105
2,0,0,0
2,1,0,0
2,3,168,167
2,4,158,158
2,5,158,133
2,6,162,129
2,7,177,169
2,8,191,190
2,9,179,172
2,10,152,152
2,11,179,179
2,12,151,133
2,13,164,164
2,14,163,162
2,15,167,164
2,16,184,172
2,17,174,149
2,18,174,173
2,19,151,151
2,20,164,163
2,21,156,153
2,22,174,162
2,23,175,148
2,24,160,160
2,25,168,167
2,26,167,149
2,27,161,135
3,0,0,0
3,1,0,0
3,2,0,0
3,4,204,204
3,5,168,156
3,6,158,150
3,7,166,161
3,8,139,137
3,9,163,157
3,10,180,180
3,11,161,160
3,12,184,179
3,13,175,175
3,14,195,195
3,15,173,172
3,16,176,173
3,17,133,126
3,18,175,173
3,19,189,188
3,20,182,180
3,21,176,173
3,22,183,173
3,23,154,136
3,24,161,159
3,25,176,172
3,26,156,143
3,27,151,133
4,0,0,0
4,1,0,0
4,2,0,0
4,3,0,0
4,5,185,182
4,6,201,198
4,7,174,173
4,8,174,174
4,9,183,181
4,10,148,148
4,11,180,179
4,12,191,190
4,13,167,167
4,14,167,167
4,15,157,156
4,16,186,186
4,17,164,162
4,18,181,181
4,19,155,148
4,20,166,164
4,21,161,159
4,22,160,155
4,23,184,174
4,24,170,162
4,25,198,183
4,26,149,145
4,27,156,145
5,0,0,0
5,1,0,0
5,2,0,0
5,3,0,0
5,4,0,0
5,6,169,169
5,7,172,172
5,8,179,176
5,9,202,202
5,10,159,144
5,11,151,149
5,12,177,177
5,13,187,162
5,14,187,171
5,15,165,161
5,16,166,164
5,17,166,165
5,18,168,157
5,19,181,130
5,20,148,116
5,21,168,162
5,22,173,161
5,23,161,160
5,24,186,117
5,25,132,84
5,26,184,168
5,27,194,187
6,0,0,0
6,1,0,0
6,2,0,0
6,3,0,0
6,4,0,0
6,5,0,0
6,7,177,175
6,8,179,178
6,9,157,157
6,10,148,130
6,11,170,166
6,12,174,171
6,13,169,141
6,14,168,152
6,15,161,158
6,16,164,161
6,17,174,174
6,18,168,145
6,19,183,117
6,20,163,123
6,21,184,175
6,22,164,161
6,23,164,162
6,24,157,107
6,25,171,123
6,26,205,189
6,27,156,152
7,0,0,0
7,1,0,0
7,2,0,0
7,3,0,0
7,4,0,0
7,5,0,0
7,6,0,0
7,8,178,178
7,9,176,176
7,10,147,141
7,11,151,147
7,12,189,188
7,13,180,164
7,14,179,174
7,15,140,139
7,16,168,164
7,17,186,184
7,18,172,165
7,19,158,124
7,20,174,151
7,21,156,148
7,22,159,157
7,23,166,162
7,24,161,117
7,25,178,137
7,26,176,165
7,27,185,181
8,0,0,0
8,1,0,0
8,2,0,0
8,3,0,0
8,4,0,0
8,5,0,0
8,6,0,0
8,7,0,0
8,9,175,174
8,10,165,164
8,11,161,160
8,12,173,173
8,13,175,173
8,14,175,172
8,15,166,166
8,16,148,147
8,17,167,167
8,18,167,166
8,19,163,148
8,20,167,162
8,21,174,172
