src,dst,avg_delay,max_delay,count
17,23,0.0,0.0,616
12,22,0.0,0.0,621
15,16,0.0,0.0,679
9,26,0.0,0.0,641
5,17,0.0,0.0,592
8,15,0.0,0.0,585
7,15,0.0,0.0,614
5,7,0.0,0.0,601
7,27,0.0,0.0,645
12,15,0.0,0.0,657
6,7,0.0,0.0,664
6,16,0.003194888178913738,1.0,626
6,12,0.0,0.0,619
4,14,0.0,0.0,617
21,25,0.15562403697996918,3.0,649
19,21,0.7838899803536346,3.0,509
10,11,0.0,0.0,651
5,12,0.0,0.0,632
8,9,0.0,0.0,642
16,27,0.0,0.0,653
0,3,0.0,0.0,608
0,2,0.0,0.0,625
3,20,0.0,0.0,608
14,20,0.0,0.0,612
5,15,0.0,0.0,638
0,10,0.0,0.0,664
7,26,0.0,0.0,662
7,9,0.0,0.0,670
5,26,0.0,0.0,642
2,20,0.0,0.0,593
22,24,0.7067545304777595,3.0,607
18,27,0.5571955719557196,3.0,542
14,25,0.0,0.0,680
11,16,0.6277495769881557,3.0,591
0,7,0.558983666061706,3.0,551
5,8,0.0,0.0,661
6,17,0.0,0.0,621
0,18,0.0,0.0,650
19,27,0.9537892791127541,3.0,541
2,3,0.0,0.0,637
3,10,0.0,0.0,682
3,11,0.0,0.0,616
7,16,0.0,0.0,600
5,21,0.0,0.0,620
17,18,0.7865497076023392,3.0,342
14,26,0.6309278350515464,3.0,485
18,26,0.4604651162790698,3.0,645
4,23,0.047619047619047616,1.0,21
3,12,2.2881944444444446,3.0,288
18,22,0.28496503496503495,3.0,572
9,13,2.3529411764705883,3.0,17
17,26,0.0,0.0,663
6,21,0.0,0.0,635
15,27,0.0,0.0,646
5,9,0.0,0.0,690
7,22,0.0,0.0,645
19,23,0.925531914893617,3.0,564
17,24,0.9688644688644689,3.0,546
11,12,0.5326797385620915,3.0,612
3,24,0.004651162790697674,2.0,645
1,16,2.9566666666666666,3.0,300
1,22,2.8617021276595747,3.0,188
23,27,0.0,0.0,654
2,4,0.0,0.0,627
0,25,0.00303951367781155,2.0,658
9,27,0.0,0.0,661
15,26,0.0,0.0,627
8,22,0.0,0.0,653
22,25,0.7917414721723519,3.0,557
24,27,0.5709728867623605,3.0,627
5,27,0.0,0.0,645
14,19,0.0,0.0,611
11,24,0.0015625,1.0,640
6,11,2.1923076923076925,3.0,52
8,17,0.0,0.0,669
16,17,0.0,0.0,620
1,4,0.0,0.0,635
8,23,0.0,0.0,621
12,26,0.0,0.0,628
0,24,0.017107309486780714,3.0,643
20,21,0.24061433447098976,3.0,586
10,15,0.791970802919708,3.0,548
24,26,0.7215189873417721,3.0,632
4,5,0.3772357723577236,3.0,615
4,19,0.004615384615384616,3.0,650
16,23,0.0,0.0,635
5,6,0.0,0.0,697
6,25,1.6074074074074074,3.0,270
22,27,0.0,0.0,606
22,23,0.0,0.0,641
13,19,0.006349206349206349,3.0,630
21,26,0.0,0.0,646
19,26,1.1832229580573952,3.0,453
20,23,1.0201207243460764,3.0,497
14,16,0.31260229132569556,3.0,611
15,20,0.6481774960380349,3.0,631
12,20,2.625,3.0,56
1,7,1.10586011342155,3.0,529
0,14,0.0015408320493066256,1.0,649
12,27,0.0,0.0,629
6,19,2.2450980392156863,3.0,102
7,25,1.8297872340425532,3.0,235
17,20,1.1697127937336815,3.0,383
13,23,1.9397590361445782,3.0,83
3,27,2.7547169811320753,3.0,53
2,13,0.0,0.0,602
18,24,0.0,0.0,638
3,25,0.0065252854812398045,1.0,613
12,21,0.0,0.0,648
4,20,0.0,0.0,697
7,17,0.0,0.0,613
19,22,1.039447731755424,3.0,507
15,25,1.53125,3.0,224
13,22,2.3285714285714287,3.0,140
12,14,1.1524822695035462,3.0,282
0,17,2.3627906976744186,3.0,215
11,21,0.7258347978910369,3.0,569
2,9,1.8957816377171215,3.0,403
2,17,2.7234848484848486,3.0,264
19,24,0.0,0.0,603
0,9,1.4666666666666666,3.0,435
10,13,0.0,0.0,632
12,16,0.0,0.0,682
13,20,0.0,0.0,640
15,21,0.0,0.0,627
10,19,0.0016,1.0,625
1,13,0.001594896331738437,1.0,627
0,1,0.0,0.0,653
6,9,0.0,0.0,624
16,22,0.0,0.0,608
11,20,0.0,0.0,624
4,13,0.001483679525222552,1.0,674
23,24,0.5150554675118859,3.0,631
25,26,0.4317111459968603,3.0,637
2,24,0.0016722408026755853,1.0,598
20,27,1.073446327683616,3.0,531
3,5,0.3955773955773956,3.0,407
9,11,1.015267175572519,3.0,524
1,8,1.2698412698412698,3.0,504
2,14,0.0,0.0,603
24,25,0.0,0.0,653
1,2,0.0,0.0,563
6,26,0.0,0.0,620
4,11,0.0,0.0,584
9,22,0.0,0.0,657
9,15,0.0,0.0,614
8,27,0.0,0.0,654
18,21,0.5714285714285714,3.0,602
16,25,1.7758007117437722,3.0,281
0,23,2.8050314465408803,3.0,159
8,11,0.715,3.0,600
5,23,0.0,0.0,657
12,17,0.0,0.0,623
13,24,0.003169572107765452,2.0,631
12,23,0.0,0.0,677
4,18,0.0,0.0,629
9,16,0.0,0.0,623
5,22,0.0,0.0,659
8,26,0.0,0.0,627
8,21,0.0,0.0,660
14,18,0.0,0.0,607
1,25,0.004739336492890996,2.0,633
0,13,0.0,0.0,582
10,18,0.0,0.0,619
17,19,0.8502202643171806,3.0,454
7,23,0.0,0.0,610
1,9,1.7214285714285715,3.0,420
1,27,2.5052083333333335,3.0,192
3,8,0.44785276073619634,3.0,652
4,16,1.629746835443038,3.0,316
22,26,0.0,0.0,602
2,10,0.0,0.0,612
9,17,0.0,0.0,598
4,10,0.0,0.0,648
9,21,0.0,0.0,651
18,19,0.0016233766233766235,1.0,616
4,7,0.45789473684210524,3.0,570
9,18,1.8369565217391304,3.0,92
7,8,0.0,0.0,630
11,18,0.0,0.0,631
2,8,0.715034965034965,3.0,572
1,21,2.98921832884097,3.0,371
2,21,1.8060747663551402,3.0,428
16,21,0.0,0.0,651
2,18,0.0,0.0,612
15,23,0.0,0.0,639
8,16,0.0,0.0,607
15,18,0.2160392798690671,3.0,611
9,23,0.0,0.0,640
17,27,0.0,0.0,635
8,12,0.0,0.0,622
14,24,0.0,0.0,639
1,14,0.0015290519877675841,1.0,654
11,15,0.672926447574335,3.0,639
1,23,2.3802083333333335,3.0,192
14,21,0.41833333333333333,3.0,600
8,10,1.091796875,3.0,512
4,9,1.1295238095238096,3.0,525
13,18,0.0,0.0,607
10,20,0.0,0.0,639
2,7,1.2315175097276265,3.0,514
0,19,0.0014970059880239522,1.0,668
11,13,0.0,0.0,644
9,12,0.0,0.0,624
21,27,0.0,0.0,604
2,11,0.0,0.0,611
10,14,0.0,0.0,606
12,24,1.7731958762886597,3.0,194
4,8,0.5289389067524116,3.0,622
3,13,0.0,0.0,598
7,12,0.0,0.0,620
16,20,1.2969696969696969,3.0,330
3,22,2.9504950495049505,3.0,101
0,6,0.7267080745341615,3.0,483
23,26,0.0,0.0,582
2,25,0.0,0.0,622
1,19,0.001594896331738437,1.0,627
5,24,1.6346153846153846,3.0,260
4,24,0.0180623973727422,3.0,609
3,26,2.909090909090909,3.0,22
12,19,2.0408163265306123,3.0,49
11,22,0.8928571428571429,3.0,476
4,6,0.771889400921659,3.0,434
8,18,1.1904761904761905,3.0,420
8,14,1.332618025751073,3.0,466
8,20,1.462686567164179,3.0,134
19,25,0.0,0.0,618
6,23,0.0,0.0,623
5,16,0.0,0.0,632
2,16,2.980281690140845,3.0,355
3,21,2.7885714285714287,3.0,175
11,25,0.0015600624024961,1.0,641
21,22,0.0,0.0,638
6,22,0.0,0.0,655
17,25,1.0648148148148149,3.0,540
16,18,0.34452296819787986,3.0,566
19,20,0.0017241379310344827,1.0,580
