src,dst,generated,served
0,1,498,498
0,2,455,455
0,3,478,478
0,4,462,462
0,5,443,262
0,6,469,286
0,7,431,269
0,8,470,301
0,9,480,326
0,10,501,501
0,11,491,491
0,12,449,270
0,13,443,443
0,14,481,481
0,15,439,293
0,16,460,298
0,17,497,337
0,18,495,494
0,19,514,514
0,20,413,413
0,21,481,300
0,22,522,358
0,23,475,313
0,24,483,483
0,25,498,498
0,26,467,309
0,27,503,335
1,2,459,459
1,3,473,473
1,4,478,478
1,5,438,280
1,6,525,351
1,7,503,329
1,8,501,312
1,9,451,286
1,10,491,491
1,11,473,473
1,12,536,342
1,13,491,491
1,14,476,476
1,15,457,298
1,16,490,326
1,17,478,301
1,18,466,465
1,19,446,446
1,20,479,479
1,21,455,318
1,22,489,317
1,23,487,330
1,24,455,455
1,25,471,471
1,26,480,299
1,27,509,312
2,3,450,450
2,4,484,484
2,5,483,309
2,6,465,309
2,7,485,309
2,8,488,320
2,9,470,281
2,10,479,479
2,11,458,458
2,12,476,321
2,13,476,476
2,14,441,441
2,15,492,311
2,16,460,285
2,17,473,308
2,18,452,451
2,19,438,438
2,20,521,521
2,21,472,291
2,22,487,319
2,23,409,252
2,24,448,448
2,25,451,451
2,26,454,293
2,27,519,358
3,4,483,483
3,5,452,280
3,6,460,305
3,7,475,284
3,8,491,307
3,9,475,316
3,10,441,440
3,11,504,504
3,12,468,314
3,13,456,456
3,14,452,452
3,15,461,277
3,16,480,307
3,17,474,290
3,18,438,438
3,19,536,536
3,20,436,436
3,21,474,313
3,22,483,306
3,23,480,328
3,24,475,475
3,25,477,477
3,26,489,310
3,27,453,280
4,5,500,319
4,6,494,327
4,7,509,319
4,8,492,317
4,9,443,311
4,10,500,499
4,11,488,488
4,12,484,298
4,13,441,441
4,14,471,470
4,15,484,296
4,16,478,305
4,17,486,307
4,18,452,452
4,19,502,502
4,20,465,464
4,21,492,325
4,22,457,282
4,23,485,291
4,24,508,508
4,25,458,457
4,26,530,341
4,27,473,296
5,6,490,490
5,7,470,470
5,8,504,504
5,9,460,460
5,10,490,326
5,11,477,286
5,12,494,494
5,13,482,308
5,14,463,296
5,15,468,468
5,16,470,470
5,17,473,473
5,18,442,266
5,19,467,310
5,20,476,299
5,21,500,500
5,22,457,457
5,23,487,485
5,24,463,283
5,25,473,314
5,26,466,466
5,27,495,495
6,7,467,467
6,8,482,480
6,9,490,490
6,10,487,291
6,11,469,309
6,12,505,505
6,13,451,284
6,14,478,289
6,15,483,483
6,16,488,487
6,17,462,462
6,18,459,296
6,19,505,316
6,20,475,307
6,21,473,472
6,22,448,448
6,23,469,469
6,24,512,323
6,25,501,320
6,26,488,488
