src,dst,generated,served,served
0,1,660,175,1050
0,2,662,177,1062
0,3,644,159,954
0,4,670,184,1104
0,5,652,151,906
0,6,649,147,882
0,7,657,152,912
0,8,650,159,954
0,9,661,156,936
0,10,652,167,1002
0,11,676,191,1146
0,12,668,168,1008
0,13,650,165,990
0,14,674,186,1116
0,15,649,157,942
0,16,658,160,960
0,17,660,158,948
0,18,679,193,1158
0,19,661,174,1044
0,20,653,166,996
0,21,682,193,1158
0,22,666,166,996
0,23,665,165,990
0,24,654,168,1008
0,25,679,193,1158
0,26,652,152,912
0,27,647,131,786
1,2,668,182,1092
1,3,668,183,1098
1,4,650,163,978
1,5,676,162,972
1,6,662,144,864
1,7,663,149,894
1,8,668,153,918
1,9,658,132,792
1,10,662,177,1062
1,11,660,173,1038
1,12,657,144,864
1,13,654,169,1014
1,14,683,197,1182
1,15,647,151,906
1,16,671,152,912
1,17,666,135,810
1,18,655,169,1014
1,19,637,151,906
1,20,645,158,948
1,21,656,157,942
1,22,660,149,894
1,23,668,144,864
1,24,661,174,1044
1,25,655,168,1008
1,26,676,169,1014
1,27,663,146,876
2,3,656,171,1026
2,4,680,195,1170
2,5,660,148,888
2,6,661,154,924
2,7,667,156,936
2,8,680,179,1074
2,9,652,137,822
2,10,671,186,1116
2,11,665,180,1080
2,12,655,147,882
2,13,654,169,1014
2,14,663,176,1056
2,15,674,181,1086
2,16,638,144,864
2,17,662,156,936
2,18,639,152,912
2,19,647,160,960
2,20,669,183,1098
2,21,659,168,1008
2,22,670,161,966
2,23,673,150,900
2,24,670,185,1110
2,25,664,178,1068
2,26,652,144,864
2,27,631,123,738
3,4,643,158,948
3,5,649,148,888
3,6,656,145,870
3,7,656,157,942
3,8,646,155,930
3,9,662,157,942
3,10,659,173,1038
3,11,662,177,1062
3,12,670,173,1038
3,13,670,184,1104
3,14,663,177,1062
3,15,657,170,1020
3,16,669,174,1044
3,17,654,147,882
3,18,684,197,1182
3,19,671,186,1116
3,20,651,165,990
3,21,648,159,954
3,22,678,157,942
3,23,652,141,846
3,24,625,139,834
3,25,644,158,948
3,26,669,166,996
3,27,661,138,828
4,5,651,159,954
4,6,658,164,984
4,7,662,174,1044
4,8,669,181,1086
4,9,666,175,1050
4,10,669,182,1092
4,11,657,172,1032
4,12,677,185,1110
4,13,669,183,1098
4,14,657,170,1020
4,15,652,165,990
4,16,648,161,966
4,17,634,142,852
