src,dst,generated,served
0,1,187,184
0,2,164,164
0,3,148,148
0,4,183,181
0,5,167,151
0,6,162,139
0,7,194,165
0,8,191,174
0,9,180,156
0,10,198,198
0,11,180,179
0,12,187,173
0,13,179,177
0,14,176,175
0,15,198,196
0,16,201,185
0,17,165,149
0,18,163,161
0,19,191,186
0,20,183,183
0,21,175,172
0,22,186,156
0,23,186,165
0,24,189,187
0,25,169,168
0,26,173,157
0,27,162,145
1,0,0,0
1,2,161,161
1,3,167,164
1,4,162,160
1,5,170,142
1,6,174,130
1,7,187,149
1,8,195,174
1,9,152,119
1,10,198,197
1,11,202,201
1,12,181,147
1,13,166,166
1,14,197,195
1,15,161,145
1,16,197,163
1,17,165,121
1,18,149,147
1,19,162,162
1,20,191,191
1,21,182,172
1,22,183,148
1,23,160,131
1,24,197,192
1,25,176,175
1,26,156,140
1,27,159,136
2,0,0,0
2,1,0,0
2,3,167,167
2,4,155,155
2,5,163,137
2,6,163,131
2,7,180,148
2,8,185,172
2,9,177,146
2,10,188,188
2,11,169,168
2,12,178,157
2,13,179,178
2,14,184,183
2,15,173,164
2,16,153,137
2,17,188,160
2,18,156,156
2,19,182,177
2,20,163,163
2,21,166,154
2,22,170,152
2,23,168,144
2,24,143,139
2,25,178,176
2,26,176,150
2,27,169,145
3,0,0,0
3,1,0,0
3,2,0,0
3,4,195,195
3,5,179,160
3,6,171,146
3,7,162,151
3,8,156,153
3,9,175,147
3,10,161,161
3,11,176,176
3,12,180,164
3,13,174,174
3,14,194,193
3,15,164,161
3,16,183,168
3,17,172,154
3,18,195,195
3,19,180,180
3,20,165,165
3,21,181,172
3,22,179,159
3,23,182,151
3,24,195,192
3,25,180,179
3,26,171,159
3,27,173,142
4,0,0,0
4,1,0,0
4,2,0,0
4,3,0,0
4,5,191,182
4,6,188,179
4,7,186,183
4,8,160,159
4,9,184,174
4,10,195,194
4,11,161,161
4,12,167,162
4,13,174,174
4,14,194,194
4,15,162,155
4,16,183,178
4,17,188,176
4,18,189,188
4,19,178,174
4,20,182,182
4,21,166,161
4,22,182,171
4,23,190,174
4,24,175,172
4,25,172,168
4,26,157,149
4,27,166,140
5,0,0,0
5,1,0,0
5,2,0,0
5,3,0,0
5,4,0,0
5,6,174,173
5,7,174,174
5,8,165,164
5,9,192,191
5,10,162,136
5,11,170,155
5,12,181,180
5,13,181,146
5,14,164,145
5,15,157,156
5,16,181,177
5,17,170,170
5,18,166,143
5,19,206,140
5,20,169,134
5,21,185,185
5,22,187,184
5,23,167,167
5,24,164,130
5,25,165,135
5,26,199,197
5,27,176,175
6,0,0,0
6,1,0,0
6,2,0,0
6,3,0,0
6,4,0,0
6,5,0,0
6,7,178,177
6,8,159,158
6,9,179,179
6,10,173,142
6,11,174,158
6,12,171,169
6,13,154,125
6,14,172,150
6,15,182,181
6,16,182,181
6,17,170,170
6,18,179,152
6,19,152,111
6,20,189,159
6,21,149,147
6,22,174,173
6,23,160,159
6,24,172,136
6,25,202,153
6,26,185,180
6,27,167,167
7,0,0,0
7,1,0,0
7,2,0,0
7,3,0,0
7,4,0,0
7,5,0,0
7,6,0,0
7,8,162,161
7,9,146,145
7,10,169,152
7,11,152,143
7,12,184,183
