src,dst,generated,served
0,1,609,609
0,2,590,590
0,3,598,598
0,4,632,632
0,5,578,57
0,6,591,42
0,7,569,440
0,8,622,621
0,9,622,480
0,10,658,658
0,11,599,599
0,12,616,473
0,13,604,604
0,14,608,588
0,15,590,524
0,16,599,111
0,17,595,51
0,18,682,242
0,19,622,597
0,20,598,586
0,21,692,132
0,22,606,1
0,23,633,0
0,24,618,228
0,25,621,217
0,26,582,1
0,27,630,0
1,2,586,586
1,3,564,564
1,4,619,618
1,5,616,0
1,6,622,0
1,7,650,52
1,8,657,490
1,9,623,47
1,10,600,600
1,11,597,582
1,12,637,57
1,13,624,624
1,14,619,619
1,15,598,99
1,16,625,2
1,17,590,0
1,18,648,637
1,19,591,589
1,20,663,663
1,21,610,169
1,22,621,0
1,23,614,0
1,24,621,599
1,25,588,579
1,26,635,3
1,27,582,0
2,3,594,594
2,4,610,610
2,5,599,54
2,6,607,56
2,7,628,472
2,8,573,562
2,9,583,424
2,10,584,584
2,11,596,596
2,12,590,446
2,13,609,609
2,14,644,644
2,15,569,511
2,16,587,116
2,17,581,59
2,18,564,564
2,19,612,612
2,20,595,595
2,21,645,580
2,22,567,4
2,23,623,0
2,24,550,549
2,25,580,580
2,26,549,138
2,27,628,3
3,4,643,643
3,5,622,453
3,6,600,463
3,7,601,598
3,8,560,560
3,9,630,622
3,10,608,608
3,11,583,583
3,12,599,595
3,13,571,571
3,14,617,617
3,15,616,614
3,16,641,563
3,17,579,428
3,18,635,622
3,19,593,592
3,20,610,609
3,21,586,513
3,22,572,119
3,23,606,48
3,24,615,596
3,25,605,587
3,26,648,84
3,27,645,2
4,5,632,627
4,6,643,640
4,7,602,602
4,8,598,598
4,9,620,620
4,10,568,568
4,11,613,613
4,12,573,573
4,13,602,601
4,14,615,615
4,15,596,596
4,16,620,619
4,17,559,554
4,18,573,573
4,19,623,601
4,20,621,605
4,21,596,595
4,22,598,529
4,23,642,466
4,24,626,220
4,25,597,217
4,26,619,521
4,27,619,78
5,6,594,594
5,7,578,578
5,8,599,599
5,9,651,650
5,10,637,101
5,11,639,564
5,12,629,629
5,13,636,0
5,14,646,126
5,15,620,619
5,16,638,614
5,17,596,596
5,18,609,141
5,19,566,0
5,20,572,1
5,21,594,568
5,22,656,223
5,23,672,653
5,24,596,0
5,25,627,0
5,26,620,89
5,27,610,223
6,7,632,632
6,8,612,612
6,9,587,587
6,10,633,113
6,11,635,579
6,12,626,626
6,13,645,2
6,14,621,98
6,15,617,615
6,16,623,605
6,17,622,622
6,18,652,155
6,19,609,0
6,20,624,3
6,21,574,558
6,22,647,623
6,23,599,599
6,24,572,0
6,25,628,0
6,26,606,211
6,27,648,629
7,8,612,612
7,9,627,627
7,10,647,585
7,11,605,604
7,12,603,603
7,13,626,119
7,14,614,547
7,15,628,627
7,16,633,633
7,17,631,631
7,18,534,479
7,19,622,0
7,20,596,138
7,21,584,583
7,22,606,584
7,23,628,599
7,24,591,0
7,25,594,5
7,26,567,494
7,27,603,183
8,9,626,626
8,10,570,567
8,11,634,634
8,12,575,575
8,13,612,548
8,14,629,629
8,15,576,576
8,16,611,611
8,17,604,604
8,18,630,628
8,19,601,109
8,20,604,533
8,21,623,623
8,22,603,602
8,23,596,595
8,24,652,7
8,25,601,160
8,26,592,589
8,27,632,611
9,10,646,563
9,11,584,583
9,12,616,616
9,13,651,116
9,14,615,538
9,15,578,578
9,16,608,608
9,17,601,601
9,18,617,537
9,19,609,1
9,20,641,134
9,21,600,600
9,22,618,618
9,23,589,589
9,24,585,0
9,25,581,2
9,26,615,601
9,27,556,556
10,11,639,639
10,12,553,487
10,13,621,621
10,14,624,624
10,15,566,566
10,16,581,580
10,17,617,116
10,18,595,595
10,19,613,613
10,20,618,618
10,21,637,637
10,22,622,517
10,23,552,84
10,24,629,629
10,25,599,599
10,26,648,526
10,27,615,57
11,12,601,601
11,13,592,592
11,14,641,641
11,15,636,636
11,16,614,614
11,17,604,541
11,18,609,609
11,19,607,605
11,20,583,583
11,21,634,634
11,22,581,581
11,23,624,537
11,24,541,522
11,25,589,569
11,26,661,656
11,27,597,475
12,13,622,109
12,14,621,571
12,15,611,611
12,16,618,618
12,17,614,614
12,18,636,559
12,19,626,0
12,20,616,122
12,21,575,574
12,22,653,653
12,23,587,587
12,24,626,0
12,25,587,1
12,26,567,565
12,27,661,660
13,14,630,630
13,15,657,657
13,16,632,547
13,17,604,1
13,18,590,590
13,19,637,637
13,20,584,584
13,21,600,597
13,22,647,218
13,23,590,5
13,24,641,641
13,25,639,639
13,26,629,565
13,27,605,146
14,15,609,608
14,16,602,600
14,17,637,118
14,18,606,606
14,19,635,634
14,20,579,579
14,21,653,653
14,22,636,604
14,23,572,194
14,24,628,628
14,25,595,595
14,26,655,653
14,27,599,531
15,16,585,585
15,17,633,633
15,18,580,580
15,19,607,506
15,20,627,622
15,21,638,638
15,22,609,609
15,23,650,650
15,24,612,193
15,25,613,531
15,26,616,616
15,27,595,595
16,17,572,572
16,18,596,594
16,19,604,89
16,20,598,515
16,21,606,606
16,22,605,605
16,23,604,604
16,24,592,3
16,25,618,107
16,26,629,629
16,27,620,620
17,18,583,150
17,19,597,0
17,20,637,2
17,21,613,600
17,22,548,548
17,23,630,630
17,24,622,0
17,25,589,0
17,26,600,600
17,27,615,615
18,19,632,631
18,20,618,618
18,21,575,575
18,22,619,616
18,23,664,578
18,24,551,550
18,25,591,591
18,26,633,633
18,27,633,632
19,20,572,572
19,21,582,519
19,22,612,8
19,23,602,0
19,24,635,635
19,25,560,560
19,26,549,151
19,27,624,6
20,21,579,579
20,22,613,544
20,23,619,136
20,24,580,580
20,25,605,605
20,26,581,581
20,27,593,527
21,22,634,634
21,23,596,595
21,24,598,510
21,25,603,602
21,26,594,594
21,27,667,667
22,23,587,587
22,24,595,5
22,25,614,144
22,26,580,580
22,27,629,629
23,24,634,0
23,25,626,0
23,26,602,602
23,27,602,602
24,25,611,611
24,26,606,144
24,27,631,1
25,26,609,540
25,27,602,143
26,27,592,592
