src,dst,generated,served
0,1,681,681
0,2,640,640
0,3,657,656
0,4,649,649
0,5,663,488
0,6,641,370
0,7,600,312
0,8,673,647
0,9,663,302
0,10,643,643
0,11,711,711
0,12,659,287
0,13,623,623
0,14,657,657
0,15,613,437
0,16,660,65
0,17,606,295
0,18,708,708
0,19,636,636
0,20,638,637
0,21,648,158
0,22,647,26
0,23,652,78
0,24,645,645
0,25,686,686
0,26,654,64
0,27,665,26
1,2,641,641
1,3,643,643
1,4,645,645
1,5,657,402
1,6,650,451
1,7,711,385
1,8,729,182
1,9,649,310
1,10,637,637
1,11,677,677
1,12,631,223
1,13,658,658
1,14,632,632
1,15,646,62
1,16,634,100
1,17,617,326
1,18,683,683
1,19,630,630
1,20,642,642
1,21,698,75
1,22,676,91
1,23,616,120
1,24,649,648
1,25,661,661
1,26,619,53
1,27,699,137
2,3,621,621
2,4,657,657
2,5,643,199
2,6,645,293
2,7,635,210
2,8,697,358
2,9,591,222
2,10,614,614
2,11,672,671
2,12,661,196
2,13,638,638
2,14,635,635
2,15,651,225
2,16,669,119
2,17,631,227
2,18,609,609
2,19,655,655
2,20,621,621
2,21,659,449
2,22,610,66
2,23,662,70
2,24,617,617
2,25,591,591
2,26,673,79
2,27,590,81
3,4,652,652
3,5,581,181
3,6,664,164
3,7,601,249
3,8,589,568
3,9,650,294
3,10,660,660
3,11,624,624
3,12,628,429
3,13,654,654
3,14,629,629
3,15,650,615
3,16,619,141
3,17,629,213
3,18,668,668
3,19,667,666
3,20,611,611
3,21,634,292
3,22,621,64
3,23,649,54
3,24,654,654
3,25,653,652
3,26,657,66
3,27,675,60
4,5,649,634
4,6,640,500
4,7,618,614
4,8,680,680
4,9,613,591
4,10,672,672
4,11,651,651
4,12,649,649
4,13,618,618
4,14,632,632
4,15,620,620
4,16,636,619
4,17,647,628
4,18,659,659
4,19,660,659
4,20,666,666
4,21,713,713
4,22,631,530
4,23,649,514
4,24,636,634
4,25,644,643
4,26,619,493
4,27,672,266
5,6,638,638
5,7,649,649
5,8,647,646
5,9,637,637
5,10,709,143
5,11,671,162
5,12,705,705
5,13,654,39
5,14,655,43
5,15,622,621
5,16,629,629
5,17,648,648
5,18,603,221
5,19,663,49
5,20,681,104
5,21,679,679
5,22,665,664
5,23,602,602
5,24,672,112
5,25,699,132
5,26,697,697
5,27,657,657
6,7,680,680
6,8,659,659
6,9,590,590
6,10,661,132
6,11,670,89
6,12,703,703
6,13,629,36
6,14,719,20
6,15,638,638
6,16,643,643
6,17,688,688
6,18,650,108
6,19,640,39
6,20,688,48
6,21,694,694
6,22,686,685
6,23,681,681
6,24,669,83
6,25,690,98
6,26,669,669
6,27,647,647
7,8,598,598
7,9,683,683
7,10,656,69
7,11,682,426
7,12,610,609
7,13,644,27
7,14,590,96
7,15,629,629
7,16,647,647
7,17,671,671
7,18,641,292
7,19,642,5
7,20,655,90
7,21,677,677
7,22,651,651
7,23,647,647
7,24,645,10
7,25,638,122
7,26,679,679
7,27,614,614
8,9,649,649
8,10,637,482
8,11,634,634
8,12,688,688
8,13,633,80
8,14,661,575
8,15,628,628
8,16,638,638
8,17,647,647
8,18,707,658
8,19,706,14
8,20,595,187
8,21,681,681
8,22,583,583
8,23,713,713
8,24,617,13
8,25,676,169
8,26,666,666
8,27,658,658
9,10,635,134
9,11,692,585
9,12,636,636
9,13,681,79
9,14,623,161
9,15,618,618
9,16,675,675
9,17,663,663
9,18,719,100
9,19,637,29
9,20,617,23
9,21,667,667
9,22,633,633
9,23,699,699
9,24,680,30
9,25,580,10
9,26,698,698
9,27,620,620
10,11,644,644
10,12,668,242
10,13,649,649
10,14,632,632
10,15,633,632
10,16,618,538
10,17,622,149
10,18,653,653
10,19,676,676
10,20,630,630
10,21,671,643
10,22,652,180
10,23,657,35
10,24,684,684
10,25,659,659
10,26,641,314
10,27,665,33
11,12,658,642
11,13,651,651
11,14,660,660
11,15,629,629
11,16,663,660
11,17,663,365
11,18,618,618
11,19,635,635
11,20,667,666
11,21,687,686
11,22,631,609
11,23,664,251
11,24,609,608
11,25,631,631
11,26,652,630
11,27,640,263
12,13,613,114
12,14,659,286
12,15,619,619
12,16,632,632
12,17,670,670
12,18,652,254
12,19,660,90
12,20,640,98
12,21,631,630
12,22,651,651
12,23,686,686
12,24,674,116
12,25,671,66
12,26,644,644
12,27,691,691
13,14,647,647
13,15,632,570
13,16,648,287
13,17,636,151
13,18,634,634
13,19,683,683
13,20,705,705
13,21,689,624
13,22,681,149
13,23,705,117
13,24,665,665
13,25,628,628
13,26,643,289
13,27,629,133
14,15,662,661
14,16,639,589
14,17,634,212
14,18,633,633
14,19,693,693
14,20,645,645
14,21,697,697
14,22,609,441
14,23,638,167
14,24,640,639
14,25,709,708
14,26,602,585
14,27,614,303
15,16,660,659
15,17,684,684
15,18,647,646
15,19,658,387
15,20,659,596
15,21,666,666
15,22,664,664
15,23,690,690
15,24,637,200
15,25,686,392
15,26,671,671
15,27,666,666
16,17,659,659
16,18,613,563
16,19,662,284
16,20,650,349
16,21,676,676
16,22,592,592
16,23,630,630
16,24,666,211
16,25,671,215
16,26,651,651
16,27,583,582
17,18,614,303
17,19,669,433
17,20,631,277
17,21,636,636
17,22,658,657
17,23,644,644
17,24,663,447
17,25,655,309
17,26,563,563
17,27,652,652
18,19,653,653
18,20,632,632
18,21,657,656
18,22,677,648
18,23,612,375
18,24,637,635
18,25,632,632
18,26,634,634
18,27,647,627
19,20,637,637
19,21,645,493
19,22,653,336
19,23,652,355
19,24,641,641
19,25,563,563
19,26,640,314
19,27,633,367
20,21,655,649
20,22,673,542
20,23,684,419
20,24,652,652
20,25,661,661
20,26,685,664
20,27,661,501
21,22,667,667
21,23,658,658
21,24,617,507
21,25,691,685
21,26,591,591
21,27,703,703
22,23,638,638
22,24,629,452
22,25,684,447
22,26,639,639
22,27,635,635
23,24,704,569
23,25,634,452
23,26,683,683
23,27,702,702
24,25,690,689
24,26,653,475
24,27,607,489
25,26,666,625
25,27,675,558
26,27,628,628
