src,dst,generated,served
0,1,590,587
0,2,602,594
0,3,555,550
0,4,576,573
0,5,563,283
0,6,554,310
0,7,548,288
0,8,631,322
0,9,585,293
0,10,603,599
0,11,593,588
0,12,617,321
0,13,557,552
0,14,558,553
0,15,563,304
0,16,591,293
0,17,592,294
0,18,580,577
0,19,594,588
0,20,607,605
0,21,623,314
0,22,598,336
0,23,574,287
0,24,612,611
0,25,574,573
0,26,647,333
0,27,616,336
1,2,594,592
1,3,570,568
1,4,567,565
1,5,639,325
1,6,551,312
1,7,593,299
1,8,606,325
1,9,569,294
1,10,593,592
1,11,636,633
1,12,546,294
1,13,617,613
1,14,630,626
1,15,570,297
1,16,577,284
1,17,569,291
1,18,561,558
1,19,582,578
1,20,598,594
1,21,637,330
1,22,568,310
1,23,577,292
1,24,584,583
1,25,516,516
1,26,616,312
1,27,582,303
2,3,551,546
2,4,623,622
2,5,579,285
2,6,599,329
2,7,602,322
2,8,586,300
2,9,587,315
2,10,546,542
2,11,586,584
2,12,539,280
2,13,611,609
2,14,577,572
2,15,565,281
2,16,578,300
2,17,584,295
2,18,559,555
2,19,592,589
2,20,518,514
2,21,570,294
2,22,575,293
2,23,573,279
2,24,582,580
2,25,594,593
2,26,577,307
2,27,591,321
3,4,558,556
3,5,579,307
3,6,577,300
3,7,568,298
3,8,590,318
3,9,569,288
3,10,552,550
3,11,593,590
3,12,596,302
3,13,600,597
3,14,597,596
3,15,590,341
3,16,533,271
3,17,615,338
3,18,579,576
3,19,606,602
3,20,520,520
3,21,564,304
3,22,606,317
3,23,571,282
3,24,598,597
3,25,580,577
3,26,596,335
3,27,532,281
4,5,581,315
4,6,580,305
4,7,583,301
4,8,542,284
4,9,578,295
4,10,592,587
4,11,585,583
4,12,617,330
4,13,568,563
4,14,582,579
4,15,581,301
4,16,599,304
4,17,569,304
4,18,609,607
4,19,571,566
4,20,570,567
4,21,602,325
4,22,571,302
4,23,594,298
4,24,578,575
4,25,615,613
4,26,616,307
4,27,591,306
5,6,643,641
5,7,610,610
5,8,634,629
5,9,611,607
5,10,578,290
5,11,593,293
5,12,583,578
5,13,610,293
5,14,557,300
5,15,595,595
5,16,566,565
5,17,582,579
5,18,569,304
5,19,576,292
5,20,580,305
5,21,568,568
5,22,571,568
5,23,672,669
5,24,576,309
5,25,626,347
5,26,575,571
5,27,584,583
6,7,548,544
6,8,583,582
6,9,599,595
6,10,619,318
6,11,584,309
6,12,560,559
6,13,603,328
6,14,553,285
6,15,587,583
6,16,609,606
6,17,599,596
6,18,590,289
6,19,617,341
6,20,620,307
6,21,561,560
6,22,612,609
6,23,596,590
6,24,567,282
6,25,606,336
6,26,592,589
6,27,561,560
7,8,606,606
7,9,552,552
7,10,562,296
7,11,605,295
7,12,602,598
7,13,627,342
7,14,604,333
7,15,599,593
7,16,606,603
7,17,587,584
7,18,592,323
7,19,582,311
7,20,576,298
7,21,554,554
7,22,584,581
7,23,543,542
7,24,581,326
7,25,570,298
7,26,606,603
7,27,610,606
8,9,599,595
8,10,591,312
8,11,551,296
8,12,638,633
8,13,583,305
8,14,527,243
8,15,611,607
8,16,571,567
8,17,545,540
8,18,558,306
8,19,590,327
8,20,595,299
8,21,605,603
8,22,597,592
8,23,627,624
8,24,626,316
8,25,586,308
8,26,594,590
8,27,567,564
9,10,575,301
9,11,595,317
9,12,550,549
9,13,586,306
9,14,564,291
9,15,598,596
9,16,586,583
9,17,582,581
9,18,594,302
9,19,597,299
9,20,612,311
9,21,605,603
9,22,572,570
9,23,583,575
9,24,567,297
9,25,582,308
9,26,617,613
9,27,614,613
10,11,585,582
10,12,550,272
10,13,509,507
10,14,567,566
10,15,569,301
10,16,581,320
10,17,569,285
10,18,542,535
10,19,578,576
10,20,581,579
10,21,570,305
10,22,594,305
10,23,583,331
10,24,605,598
10,25,581,580
10,26,628,316
10,27,596,316
11,12,600,331
11,13,586,584
11,14,572,568
11,15,577,294
11,16,598,317
11,17,611,290
11,18,561,557
11,19,643,641
11,20,614,612
11,21,601,329
11,22,623,319
11,23,586,277
11,24,599,596
11,25,571,570
11,26,604,319
11,27,589,310
12,13,581,284
12,14,616,349
12,15,631,628
12,16,607,605
12,17,566,564
12,18,579,288
12,19,615,316
12,20,577,310
12,21,588,587
12,22,618,613
12,23,569,568
12,24,571,293
12,25,599,290
12,26,619,613
12,27,618,616
13,14,644,638
13,15,567,316
13,16,589,297
13,17,603,321
13,18,586,584
13,19,558,557
13,20,609,607
13,21,607,325
13,22,601,339
13,23,609,315
13,24,562,560
13,25,621,618
13,26,561,310
13,27,576,300
14,15,579,326
14,16,632,321
14,17,578,318
14,18,593,591
14,19,577,576
14,20,587,585
14,21,592,277
14,22,606,351
14,23,566,305
14,24,592,590
14,25,570,567
14,26,543,283
14,27,623,319
15,16,624,623
15,17,510,509
15,18,563,309
15,19,588,295
15,20,602,323
15,21,585,581
15,22,591,589
15,23,599,595
15,24,583,321
15,25,597,311
15,26,584,580
15,27,592,591
16,17,575,572
16,18,616,324
16,19,556,293
16,20,566,285
16,21,614,608
16,22,593,590
16,23,596,592
16,24,595,324
16,25,614,314
16,26,618,614
16,27,574,571
17,18,558,301
17,19,570,303
17,20,638,322
17,21,560,557
17,22,574,571
17,23,589,583
17,24,575,291
17,25,593,315
17,26,606,600
17,27,619,617
18,19,604,601
18,20,596,593
18,21,592,316
18,22,609,319
18,23,580,311
18,24,592,588
18,25,558,556
18,26,616,314
18,27,575,274
19,20,595,594
19,21,554,285
19,22,623,317
19,23,599,302
19,24,570,568
19,25,575,573
19,26,593,319
19,27,562,301
20,21,616,345
20,22,592,308
20,23,566,302
20,24,592,589
20,25,528,528
20,26,606,315
20,27,554,296
21,22,559,556
21,23,581,577
21,24,621,341
21,25,612,290
21,26,642,638
21,27,608,604
22,23,589,586
22,24,629,332
22,25,549,280
22,26,586,582
22,27,567,565
23,24,572,305
23,25,616,316
23,26,620,619
23,27,549,542
24,25,583,582
24,26,581,316
24,27,555,294
25,26,559,302
25,27,606,325
26,27,563,562
