src,dst,generated,served
0,1,162,156
0,2,155,153
0,3,148,144
0,4,182,176
0,5,173,160
0,6,167,158
0,7,161,153
0,8,164,158
0,9,122,119
0,10,147,142
0,11,138,133
0,12,149,141
0,13,175,170
0,14,194,188
0,15,142,134
0,16,164,158
0,17,148,143
0,18,167,161
0,19,165,159
0,20,181,175
0,21,165,162
0,22,166,158
0,23,148,143
0,24,171,167
0,25,149,143
0,26,150,146
0,27,155,153
1,0,0,0
1,2,158,152
1,3,173,168
1,4,143,138
1,5,163,155
1,6,141,135
1,7,152,142
1,8,149,141
1,9,153,151
1,10,177,173
1,11,169,164
1,12,165,158
1,13,136,134
1,14,161,155
1,15,143,138
1,16,171,166
1,17,157,148
1,18,164,156
1,19,160,155
1,20,177,172
1,21,178,173
1,22,157,152
1,23,162,160
1,24,182,178
1,25,157,153
1,26,167,161
1,27,159,152
2,0,0,0
2,1,0,0
2,3,150,140
2,4,170,162
2,5,165,159
2,6,170,163
2,7,162,157
2,8,158,157
2,9,158,148
2,10,173,169
2,11,155,148
2,12,152,145
2,13,141,138
2,14,156,149
2,15,154,148
2,16,161,159
2,17,156,150
2,18,149,144
2,19,148,143
2,20,173,166
2,21,155,147
2,22,151,143
2,23,182,173
2,24,149,141
2,25,173,162
2,26,185,180
2,27,147,142
3,0,0,0
3,1,0,0
3,2,0,0
3,4,163,157
3,5,158,150
3,6,154,147
3,7,154,145
3,8,164,157
3,9,146,141
3,10,163,159
3,11,174,169
3,12,158,153
3,13,162,158
3,14,156,152
3,15,172,168
3,16,163,149
3,17,165,156
3,18,162,157
3,19,168,165
3,20,176,171
3,21,152,145
3,22,162,156
3,23,162,154
3,24,166,158
3,25,162,156
3,26,154,149
3,27,177,174
4,0,0,0
4,1,0,0
4,2,0,0
4,3,0,0
4,5,177,172
4,6,159,155
4,7,160,152
4,8,162,157
4,9,159,151
4,10,194,187
4,11,146,142
4,12,146,143
4,13,163,156
4,14,193,187
4,15,160,157
4,16,182,175
4,17,158,154
4,18,147,144
4,19,168,161
4,20,169,168
4,21,154,153
4,22,176,170
4,23,150,145
4,24,167,162
4,25,151,146
4,26,158,154
4,27,162,154
5,0,0,0
5,1,0,0
5,2,0,0
5,3,0,0
5,4,0,0
5,6,159,154
5,7,149,143
5,8,172,169
5,9,163,156
5,10,148,144
5,11,150,144
5,12,160,156
5,13,175,168
5,14,147,147
5,15,152,144
5,16,156,153
5,17,166,160
5,18,153,148
5,19,186,178
5,20,158,153
5,21,158,150
5,22,170,166
5,23,164,156
5,24,154,145
5,25,154,149
5,26,168,162
5,27,150,143
6,0,0,0
6,1,0,0
6,2,0,0
6,3,0,0
6,4,0,0
6,5,0,0
6,7,151,147
6,8,160,157
6,9,143,136
6,10,165,156
6,11,161,148
6,12,164,161
6,13,161,152
6,14,163,154
6,15,162,154
6,16,153,149
6,17,149,147
6,18,151,145
6,19,161,158
6,20,179,173
6,21,157,156
6,22,164,158
6,23,161,155
6,24,165,159
6,25,151,139
6,26,160,156
6,27,158,155
7,0,0,0
7,1,0,0
7,2,0,0
7,3,0,0
7,4,0,0
7,5,0,0
7,6,0,0
7,8,169,162
7,9,166,162
7,10,168,162
7,11,135,132
7,12,140,131
7,13,162,154
7,14,159,151
7,15,173,167
7,16,177,170
7,17,175,171
7,18,177,168
7,19,150,137
7,20,169,163
7,21,160,158
7,22,166,162
7,23,183,174
7,24,148,143
7,25,159,153
7,26,158,152
7,27,158,152
8,0,0,0
8,1,0,0
8,2,0,0
8,3,0,0
8,4,0,0
8,5,0,0
8,6,0,0
8,7,0,0
8,9,158,154
8,10,141,141
8,11,161,157
8,12,175,168
8,13,179,175
8,14,149,144
8,15,172,167
8,16,156,150
8,17,159,159
8,18,155,152
8,19,159,156
8,20,139,136
8,21,148,143
8,22,157,156
8,23,143,142
8,24,172,165
8,25,185,180
8,26,160,152
8,27,155,149
9,0,0,0
9,1,0,0
9,2,0,0
9,3,0,0
9,4,0,0
9,5,0,0
9,6,0,0
9,7,0,0
9,8,0,0
9,10,147,140
9,11,156,152
9,12,149,142
9,13,161,155
9,14,145,142
9,15,176,168
9,16,163,158
9,17,169,159
9,18,159,149
9,19,148,146
9,20,164,158
9,21,166,161
9,22,159,153
9,23,153,144
9,24,175,172
9,25,159,152
9,26,158,152
9,27,151,147
10,0,0,0
10,1,0,0
10,2,0,0
10,3,0,0
10,4,0,0
10,5,0,0
10,6,0,0
10,7,0,0
10,8,0,0
10,9,0,0
10,11,169,167
10,12,158,151
10,13,132,130
10,14,174,169
10,15,140,135
10,16,149,142
10,17,147,146
10,18,174,168
10,19,188,186
10,20,172,168
10,21,173,166
10,22,138,135
10,23,175,169
10,24,158,153
10,25,151,145
10,26,148,144
10,27,154,149
11,0,0,0
11,1,0,0
11,2,0,0
11,3,0,0
11,4,0,0
11,5,0,0
11,6,0,0
11,7,0,0
11,8,0,0
11,9,0,0
11,10,0,0
11,12,175,173
11,13,161,160
11,14,158,155
11,15,148,144
11,16,182,174
11,17,163,156
11,18,155,152
11,19,170,166
11,20,162,158
11,21,159,159
11,22,125,120
11,23,160,151
11,24,166,160
11,25,146,145
11,26,156,150
11,27,166,163
12,0,0,0
12,1,0,0
12,2,0,0
12,3,0,0
12,4,0,0
12,5,0,0
12,6,0,0
12,7,0,0
12,8,0,0
12,9,0,0
12,10,0,0
12,11,0,0
12,13,154,150
12,14,168,163
12,15,151,149
12,16,141,139
12,17,138,136
12,18,156,149
12,19,152,149
12,20,161,155
12,21,170,162
12,22,146,141
12,23,158,155
12,24,159,155
12,25,157,148
12,26,155,147
12,27,160,158
13,0,0,0
13,1,0,0
13,2,0,0
13,3,0,0
13,4,0,0
13,5,0,0
13,6,0,0
13,7,0,0
13,8,0,0
13,9,0,0
13,10,0,0
13,11,0,0
13,12,0,0
13,14,150,146
13,15,164,158
13,16,170,163
13,17,128,121
13,18,149,143
13,19,155,151
13,20,155,151
13,21,161,160
13,22,150,149
13,23,161,156
13,24,159,154
