src,dst,generated,served
0,1,387,325
0,2,360,311
0,3,391,331
0,4,385,329
0,5,370,296
0,6,361,288
0,7,341,288
0,8,379,302
0,9,393,327
0,10,379,330
0,11,370,330
0,12,366,297
0,13,362,311
0,14,360,303
0,15,375,311
0,16,353,290
0,17,408,338
0,18,407,354
0,19,389,333
0,20,348,309
0,21,418,348
0,22,389,332
0,23,395,339
0,24,389,344
0,25,386,332
0,26,374,295
0,27,371,306
1,2,376,334
1,3,389,338
1,4,348,304
1,5,381,316
1,6,380,321
1,7,399,312
1,8,423,359
1,9,348,273
1,10,379,337
1,11,357,318
1,12,391,319
1,13,396,339
1,14,357,308
1,15,403,319
1,16,374,304
1,17,371,300
1,18,356,304
1,19,359,311
1,20,350,296
1,21,408,328
1,22,390,311
1,23,364,295
1,24,369,320
1,25,349,301
1,26,371,306
1,27,360,298
2,3,368,317
2,4,386,328
2,5,361,285
2,6,335,272
2,7,387,316
2,8,358,296
2,9,383,323
2,10,346,306
2,11,354,307
2,12,349,292
2,13,340,292
2,14,366,314
2,15,376,306
2,16,383,317
2,17,356,300
2,18,367,318
2,19,382,334
2,20,342,300
2,21,384,321
2,22,383,317
2,23,394,329
2,24,377,323
2,25,374,330
2,26,366,296
2,27,379,315
3,4,354,317
3,5,337,272
3,6,382,316
3,7,344,285
3,8,390,320
3,9,381,308
3,10,374,320
3,11,385,333
3,12,372,311
3,13,371,324
3,14,343,303
3,15,384,324
3,16,358,296
3,17,366,310
3,18,380,325
3,19,365,316
3,20,377,331
3,21,384,326
3,22,351,288
3,23,371,313
3,24,380,326
3,25,356,314
3,26,369,298
3,27,356,278
4,5,382,321
4,6,365,303
4,7,379,314
4,8,390,319
4,9,367,300
4,10,368,315
4,11,403,356
4,12,345,275
4,13,338,296
4,14,364,321
4,15,376,295
4,16,345,294
4,17,370,300
4,18,399,341
4,19,400,356
4,20,334,280
4,21,344,281
4,22,376,308
4,23,340,283
4,24,386,337
4,25,384,338
4,26,376,305
4,27,394,326
5,6,384,333
5,7,383,344
5,8,379,327
5,9,353,308
5,10,371,296
5,11,397,316
5,12,379,327
5,13,366,312
5,14,407,342
5,15,392,350
5,16,396,348
5,17,359,313
5,18,366,292
5,19,372,316
5,20,362,288
5,21,406,347
5,22,380,344
5,23,380,326
5,24,383,323
5,25,378,314
5,26,362,302
5,27,384,334
6,7,366,323
6,8,356,315
6,9,394,333
6,10,353,295
6,11,394,341
6,12,393,338
6,13,389,312
6,14,390,314
6,15,377,325
6,16,400,347
6,17,389,334
6,18,376,305
6,19,366,302
6,20,384,314
6,21,365,324
6,22,415,350
6,23,407,357
6,24,367,289
6,25,419,345
6,26,413,363
6,27,356,307
7,8,381,331
7,9,362,319
7,10,386,317
7,11,372,322
7,12,361,307
7,13,367,299
7,14,379,325
7,15,353,307
7,16,348,292
7,17,365,316
7,18,402,331
7,19,404,335
7,20,366,302
7,21,355,301
7,22,383,328
7,23,386,340
7,24,367,303
7,25,375,319
7,26,384,340
7,27,342,295
8,9,351,311
8,10,368,296
8,11,364,301
8,12,346,297
8,13,347,283
8,14,394,320
8,15,394,344
8,16,376,321
8,17,367,324
8,18,399,333
8,19,365,301
8,20,387,318
