src,dst,avg_delay,max_delay,count
10,16,1.607843137254902,5.0,612
6,15,1.6168359941944848,5.0,689
15,24,1.6350710900473933,5.0,633
4,16,1.6274509803921569,5.0,612
9,22,1.6116504854368932,5.0,618
14,24,1.6067415730337078,5.0,623
11,16,1.584126984126984,5.0,630
17,22,1.5734024179620034,5.0,579
6,13,1.6497695852534562,5.0,651
7,21,1.6399394856278366,5.0,661
3,22,1.6054421768707483,5.0,588
10,11,1.576271186440678,5.0,649
15,16,1.5923566878980893,4.0,628
0,21,1.685897435897436,5.0,624
12,18,1.6104651162790697,5.0,688
20,22,1.6254019292604502,5.0,622
3,9,1.588145896656535,5.0,658
7,8,1.5901116427432216,5.0,627
8,11,1.6427503736920777,5.0,669
4,15,1.6342592592592593,5.0,648
21,23,1.6434494195688225,5.0,603
1,15,1.6261682242990654,5.0,642
8,16,1.674015748031496,5.0,635
4,18,1.5548281505728314,5.0,611
8,20,1.5921696574225122,4.0,613
4,21,1.6610687022900763,5.0,655
16,22,1.6337579617834395,5.0,628
13,20,1.5645412130637637,5.0,643
0,3,1.617124394184168,5.0,619
9,13,1.5961227786752827,5.0,619
7,10,1.6134585289514867,5.0,639
9,17,1.713224368499257,5.0,673
0,8,1.6838810641627544,5.0,639
22,24,1.568313953488372,5.0,688
7,14,1.662460567823344,5.0,634
11,15,1.6210191082802548,4.0,628
2,22,1.6677265500794913,5.0,629
22,23,1.6636085626911314,5.0,654
4,20,1.6321167883211678,5.0,685
5,13,1.588976377952756,5.0,635
10,20,1.5805422647527911,5.0,627
15,21,1.5495934959349593,5.0,615
1,9,1.5686274509803921,5.0,612
0,2,1.6441441441441442,5.0,666
13,15,1.7305194805194806,5.0,616
5,15,1.6282798833819243,5.0,686
10,15,1.6274809160305344,5.0,655
5,17,1.6571428571428573,5.0,595
4,9,1.5653543307086615,5.0,635
16,19,1.620795107033639,5.0,654
11,19,1.5798722044728435,5.0,626
6,22,1.6130030959752322,5.0,646
5,20,1.5746268656716418,4.0,670
5,12,1.682182985553772,5.0,623
21,22,1.6193548387096774,5.0,620
0,5,1.530179445350734,5.0,613
6,14,1.6082148499210112,5.0,633
9,12,1.608318890814558,5.0,577
5,21,1.5765765765765767,5.0,666
1,7,1.5968660968660968,5.0,702
0,15,1.6182707993474714,5.0,613
6,16,1.5524691358024691,5.0,648
18,22,1.559349593495935,5.0,615
2,12,1.5198776758409787,5.0,654
17,20,1.6399345335515547,5.0,611
8,24,1.621212121212121,5.0,660
4,24,1.602543720190779,4.0,629
9,20,1.7978395061728396,5.0,648
19,21,1.6169871794871795,5.0,624
18,21,1.614567526555387,5.0,659
0,24,1.6991869918699187,5.0,615
13,22,1.6814449917898193,5.0,609
14,20,1.6032786885245902,5.0,610
19,24,1.5805970149253732,5.0,670
1,22,1.6592,5.0,625
1,12,1.6191904047976011,5.0,667
3,23,1.6302652106084243,5.0,641
2,23,1.6436597110754414,5.0,623
15,17,1.6220839813374806,5.0,643
0,20,1.630075187969925,5.0,665
1,21,1.6186708860759493,5.0,632
3,13,1.6796267496111976,5.0,643
15,22,1.6101426307448494,5.0,631
10,18,1.6310832025117739,5.0,637
10,19,1.674772036474164,5.0,658
4,17,1.6061093247588425,5.0,622
12,15,1.6009615384615385,5.0,624
14,18,1.6076555023923444,4.0,627
16,23,1.6178343949044587,5.0,628
7,9,1.6313213703099512,5.0,613
21,24,1.6393700787401575,5.0,635
6,23,1.6280120481927711,5.0,664
6,18,1.5966257668711656,5.0,652
11,20,1.5770992366412213,5.0,655
2,6,1.6238095238095238,5.0,630
9,23,1.6234939759036144,5.0,664
9,14,1.557404326123128,5.0,601
1,4,1.6177847113884556,5.0,641
14,15,1.6116071428571428,5.0,672
19,22,1.6330128205128205,5.0,624
6,10,1.7360890302066774,5.0,629
9,16,1.673107890499195,5.0,621
12,19,1.6525157232704402,5.0,636
3,12,1.6079295154185023,5.0,681
0,13,1.6474258970358815,5.0,641
13,16,1.6445131375579598,5.0,647
1,11,1.6205287713841368,5.0,643
5,10,1.6542056074766356,5.0,642
8,15,1.596875,5.0,640
0,12,1.6473509933774835,5.0,604
1,10,1.648936170212766,5.0,658
15,19,1.5962732919254659,5.0,644
4,23,1.6303317535545023,5.0,633
13,17,1.6167471819645733,5.0,621
12,21,1.5800604229607251,5.0,662
1,8,1.6451104100946372,5.0,634
5,16,1.599388379204893,5.0,654
16,21,1.5629139072847682,5.0,604
2,3,1.5883306320907618,5.0,617
11,18,1.6341107871720117,5.0,686
6,24,1.704,5.0,625
17,21,1.546204620462046,5.0,606
14,21,1.6864535768645357,5.0,657
6,21,1.5301003344481605,5.0,598
13,24,1.6025236593059937,5.0,634
3,17,1.724770642201835,5.0,654
3,21,1.6978193146417446,5.0,642
9,11,1.5918367346938775,5.0,637
3,10,1.6299840510366825,5.0,627
0,19,1.65985401459854,4.0,685
3,15,1.6416,5.0,625
2,9,1.56838905775076,5.0,658
4,14,1.5584,5.0,625
