src,dst,generated,served
0,1,676,674
0,2,667,666
0,3,619,619
0,4,620,618
0,5,614,613
0,6,612,612
0,7,629,628
0,8,640,639
0,9,629,626
0,10,663,663
0,11,619,618
0,12,604,604
0,13,642,641
0,14,666,663
0,15,614,613
0,16,651,650
0,17,610,609
0,18,642,641
0,19,685,685
0,20,665,665
0,21,624,624
0,22,630,627
0,23,643,643
0,24,616,615
1,2,650,648
1,3,693,692
1,4,642,641
1,5,678,677
1,6,621,619
1,7,702,702
1,8,634,634
1,9,612,612
1,10,658,658
1,11,645,643
1,12,669,667
1,13,632,627
1,14,666,665
1,15,643,642
1,16,644,644
1,17,654,654
1,18,623,621
1,19,639,638
1,20,639,637
1,21,633,632
1,22,625,625
1,23,658,654
1,24,636,636
2,3,619,617
2,4,616,616
2,5,572,570
2,6,631,630
2,7,632,631
2,8,600,600
2,9,659,658
2,10,601,600
2,11,641,639
2,12,654,654
2,13,623,623
2,14,601,599
2,15,615,614
2,16,618,617
2,17,596,595
2,18,632,632
2,19,586,585
2,20,614,613
2,21,634,633
2,22,629,629
2,23,623,623
2,24,624,624
3,4,641,639
3,5,662,659
3,6,656,654
3,7,616,614
3,8,635,635
3,9,660,658
3,10,628,627
3,11,621,617
3,12,681,681
3,13,643,643
3,14,612,612
3,15,625,625
3,16,658,657
3,17,654,654
3,18,633,633
3,19,662,660
3,20,634,634
3,21,642,642
3,22,590,588
3,23,641,641
3,24,653,653
4,5,650,649
4,6,627,627
4,7,646,646
4,8,657,656
4,9,636,635
4,10,676,673
4,11,658,658
4,12,687,686
4,13,658,657
4,14,626,625
4,15,649,648
4,16,613,612
4,17,622,622
4,18,612,611
4,19,619,618
4,20,685,685
4,21,658,655
4,22,602,600
4,23,633,633
4,24,631,629
5,6,644,644
5,7,611,610
5,8,637,637
5,9,667,666
5,10,643,642
5,11,642,642
5,12,624,623
5,13,637,635
5,14,650,650
5,15,686,686
5,16,655,654
5,17,595,595
5,18,630,629
5,19,589,588
5,20,671,670
5,21,667,666
5,22,640,638
5,23,640,636
5,24,621,621
6,7,658,658
6,8,621,619
6,9,677,677
6,10,630,629
6,11,648,648
6,12,626,626
6,13,652,651
6,14,634,633
6,15,691,689
6,16,649,648
6,17,611,611
6,18,652,652
6,19,629,627
6,20,680,678
6,21,598,598
6,22,647,646
6,23,664,664
6,24,626,625
7,8,627,627
7,9,613,613
7,10,639,639
7,11,593,592
7,12,679,676
7,13,652,652
7,14,635,634
7,15,644,644
7,16,607,607
7,17,645,645
7,18,613,613
7,19,660,660
7,20,610,609
7,21,661,661
7,22,649,647
7,23,646,646
7,24,606,605
8,9,644,642
8,10,610,610
8,11,670,669
8,12,629,629
8,13,641,639
8,14,632,631
8,15,640,640
8,16,635,635
8,17,621,621
8,18,621,621
8,19,634,633
8,20,614,613
8,21,662,660
8,22,625,625
8,23,612,612
8,24,660,660
9,10,650,650
9,11,637,637
9,12,578,577
9,13,621,619
9,14,602,601
9,15,616,616
9,16,622,621
9,17,673,673
9,18,622,622
9,19,634,634
9,20,650,648
9,21,650,648
9,22,618,618
9,23,664,664
9,24,652,651
10,11,651,649
10,12,645,644
10,13,637,636
10,14,623,622
10,15,655,655
10,16,613,612
10,17,646,643
10,18,639,637
10,19,658,658
10,20,628,627
10,21,611,609
10,22,662,662
10,23,652,652
10,24,629,628
11,12,614,613
11,13,607,605
11,14,666,666
11,15,628,628
11,16,630,630
11,17,648,648
11,18,688,686
11,19,626,626
11,20,657,655
11,21,647,645
11,22,660,658
11,23,637,637
11,24,637,636
12,13,593,592
12,14,600,599
12,15,624,624
12,16,618,617
12,17,638,636
12,18,690,688
12,19,636,636
12,20,621,621
12,21,663,662
12,22,627,626
12,23,608,608
12,24,623,622
13,14,654,653
13,15,619,616
13,16,647,647
13,17,621,621
13,18,608,608
13,19,672,671
13,20,643,643
13,21,634,633
13,22,609,609
13,23,628,628
13,24,637,634
14,15,673,672
14,16,652,650
14,17,631,629
14,18,627,627
14,19,641,640
14,20,611,610
14,21,660,657
14,22,594,594
14,23,651,649
14,24,624,623
15,16,628,628
15,17,643,643
15,18,601,601
15,19,644,644
15,20,674,672
15,21,616,615
15,22,632,631
15,23,600,599
15,24,633,633
16,17,629,629
16,18,621,621
16,19,656,654
16,20,626,626
16,21,605,604
16,22,629,628
16,23,632,628
16,24,664,663
17,18,659,658
17,19,625,625
17,20,612,611
17,21,607,606
17,22,580,579
17,23,636,635
17,24,650,650
18,19,632,631
18,20,636,636
18,21,660,659
18,22,616,615
18,23,627,626
18,24,655,655
19,20,590,590
19,21,625,624
19,22,624,624
19,23,607,606
19,24,671,670
20,21,639,638
20,22,624,622
20,23,631,630
20,24,641,639
21,22,620,620
21,23,604,603
21,24,638,635
22,23,656,654
22,24,689,688
23,24,646,646
