src,dst,avg_delay,max_delay,count
11,16,0.022004889975550123,1.0,818
10,11,0.009557945041816009,2.0,837
7,8,0.037267080745341616,2.0,805
22,23,0.032806804374240585,2.0,823
10,15,0.032059186189889025,2.0,811
4,9,0.01684717208182912,1.0,831
10,16,0.04797047970479705,2.0,813
14,24,0.07508939213349225,3.0,839
12,18,0.06731946144430845,2.0,817
21,23,0.09949622166246852,2.0,794
16,22,0.05452292441140025,3.0,807
9,13,0.05867970660146699,2.0,818
22,24,0.06565656565656566,2.0,792
17,22,0.01376720901126408,1.0,799
15,16,0.011574074074074073,2.0,864
16,21,0.01,1.0,800
20,22,0.05596107055961071,3.0,822
3,9,0.04702970297029703,3.0,808
11,15,0.07054455445544554,2.0,808
10,20,0.0660377358490566,3.0,848
0,2,0.07393939393939394,2.0,825
5,15,0.10360884749708964,3.0,859
6,16,0.10585305105853052,2.0,803
18,22,0.06038647342995169,2.0,828
6,15,0.14465408805031446,2.0,795
6,13,0.26564344746162927,3.0,847
8,11,0.23838630806845965,3.0,818
0,3,0.20772946859903382,3.0,828
7,10,0.17926829268292682,4.0,820
7,14,0.17412333736396615,4.0,827
16,19,0.3471376370280146,5.0,821
2,13,0.1875,2.0,816
1,8,0.17217787913340935,4.0,877
0,15,0.213768115942029,4.0,828
15,21,0.04332129963898917,2.0,831
7,21,0.7793017456359103,5.0,802
1,15,0.4943960149439601,5.0,803
8,16,1.1062740076824584,5.0,781
4,18,0.4873341375150784,4.0,829
9,17,0.6790757381258024,5.0,779
0,8,0.5224056603773585,4.0,848
5,13,0.8574850299401198,5.0,835
1,9,0.5390995260663507,4.0,844
13,15,0.8928571428571429,5.0,784
5,17,0.6124401913875598,5.0,836
9,22,2.0872395833333335,5.0,768
0,21,1.9336670838548184,5.0,799
13,20,2.2267441860465116,5.0,688
5,22,1.8913649025069639,5.0,718
2,22,0.9206349206349206,5.0,819
9,16,2.5232919254658386,5.0,644
14,19,0.040236686390532544,2.0,845
0,5,0.01488833746898263,1.0,806
16,17,0.030413625304136254,3.0,822
13,18,0.04331210191082802,2.0,785
13,14,0.018337408312958436,3.0,818
18,23,0.007398273736128237,1.0,811
18,19,0.012437810945273632,1.0,804
16,18,0.14149821640903687,4.0,841
1,11,0.0858974358974359,3.0,780
7,9,0.08241758241758242,2.0,910
5,7,0.06511056511056511,2.0,814
9,19,0.1093951093951094,2.0,777
16,20,0.05078597339782346,2.0,827
2,5,0.12242268041237113,3.0,776
10,14,0.9651567944250871,5.0,861
11,23,0.5822328931572629,5.0,833
17,23,0.06779661016949153,2.0,826
8,12,0.09635416666666667,3.0,768
13,19,0.054461181923522596,2.0,863
12,16,0.0829326923076923,2.0,832
7,18,0.26855123674911663,5.0,849
3,18,0.3113087674714104,5.0,787
12,15,0.19492502883506344,4.0,867
16,24,0.4919053549190536,5.0,803
18,20,0.5025706940874036,4.0,778
9,23,0.5419664268585132,5.0,834
14,16,0.8331318016928658,5.0,827
3,11,0.6220657276995305,5.0,852
3,22,2.350852272727273,5.0,704
4,11,2.0951742627345844,5.0,746
1,20,1.9974226804123711,5.0,776
4,17,2.1592442645074224,5.0,741
8,13,0.025094102885821833,1.0,797
1,7,0.051341890315052506,2.0,857
7,17,0.09929078014184398,2.0,846
14,17,0.18333333333333332,3.0,780
1,10,0.1475211608222491,3.0,827
13,21,0.6038592508513053,5.0,881
1,13,0.6714975845410628,5.0,828
12,24,0.5407673860911271,4.0,834
14,22,0.49014778325123154,4.0,812
2,18,0.8281622911694511,5.0,838
2,3,0.043914680050188205,3.0,797
4,8,0.036860879904875146,2.0,841
11,21,0.09259259259259259,3.0,810
7,23,0.8052434456928839,5.0,801
20,24,0.5908543922984356,5.0,831
11,22,0.17073170731707318,4.0,820
12,23,0.18734491315136476,3.0,806
2,10,0.4622279129321383,4.0,781
15,19,0.9842931937172775,5.0,764
0,20,0.546353522867738,5.0,809
4,23,1.9987163029525032,5.0,779
2,15,2.0683403068340307,5.0,717
1,14,1.974554707379135,5.0,786
23,24,0.015544041450777202,1.0,772
8,9,0.015795868772782502,2.0,823
1,3,0.08755760368663594,3.0,868
2,8,0.06592039800995025,3.0,804
8,17,0.272294887039239,4.0,841
17,24,0.12424607961399277,3.0,829
2,11,0.20048899755501223,5.0,818
20,23,0.19386503067484662,3.0,815
5,12,0.19143876337693222,3.0,841
21,24,0.20336943441636582,4.0,831
10,18,0.9100719424460432,5.0,834
5,9,0.9728331177231565,5.0,773
3,16,2.550079491255962,5.0,629
0,13,2.1567267683772537,5.0,721
6,11,0.028858218318695106,2.0,797
3,8,0.022641509433962263,2.0,795
1,5,0.044136191677175286,2.0,793
17,20,0.1373283395755306,3.0,801
6,17,0.2536057692307692,4.0,832
10,17,0.1634980988593156,3.0,789
0,12,0.457002457002457,4.0,814
3,13,0.08779931584948689,2.0,877
13,17,0.09512485136741974,2.0,841
18,24,0.04784688995215311,2.0,836
14,23,0.11685116851168512,3.0,813
9,24,0.18576598311218334,3.0,829
18,21,0.17583732057416268,3.0,836
11,19,0.8388625592417062,5.0,844
10,22,0.45588235294117646,4.0,816
9,11,0.8367088607594937,5.0,790
19,20,1.9595827900912646,5.0,767
20,21,0.012330456226880395,1.0,811
11,13,0.11713933415536375,2.0,811
0,6,0.07098381070983811,3.0,803
2,12,0.06565656565656566,3.0,792
5,16,0.1502403846153846,4.0,832
19,22,0.12039312039312039,2.0,814
6,18,1.09375,5.0,832
3,17,0.8364779874213837,5.0,795
21,22,0.017772511848341232,1.0,844
4,14,0.08481012658227848,2.0,790
12,19,0.1819277108433735,3.0,830
1,12,0.19070904645476772,4.0,818
9,18,0.14934289127837516,4.0,837
15,18,0.3017142857142857,4.0,875
15,24,2.0166666666666666,5.0,780
4,5,2.101551480959097,5.0,709
7,24,2.2443257676902535,5.0,749
3,23,0.8816326530612245,5.0,735
8,15,2.6385737439222043,5.0,617
0,17,2.1773142112125163,5.0,767
2,7,0.01616915422885572,2.0,804
1,2,0.02135678391959799,2.0,796
17,21,0.05710659898477157,2.0,788
8,14,0.06218274111675127,2.0,788
10,13,0.32908163265306123,5.0,784
1,21,0.8849009900990099,5.0,808
4,24,0.5723114956736712,5.0,809
6,14,0.8772563176895307,5.0,831
4,12,0.5181932245922208,4.0,797
10,23,2.121584699453552,5.0,732
15,20,0.015258215962441314,2.0,852
11,12,0.029171528588098017,2.0,857
2,4,0.07946210268948656,2.0,818
3,6,0.17048346055979643,4.0,786
15,22,0.12705882352941175,5.0,850
4,19,0.17452830188679244,3.0,848
7,16,0.26515151515151514,5.0,792
1,17,0.8413705583756346,5.0,788
7,20,2.166446499339498,5.0,757
10,12,0.08076923076923077,3.0,780
5,8,0.3473684210526316,4.0,760
13,16,0.27365728900255754,3.0,782
11,14,0.3277310924369748,4.0,833
2,16,0.8020050125313283,5.0,798
7,15,0.5900243309002433,5.0,822
6,19,2.52258064516129,5.0,620
14,15,2.3608247422680413,5.0,679
3,24,1.989937106918239,5.0,795
11,17,0.07995365005793743,2.0,863
3,7,0.06706586826347305,2.0,835
7,19,0.6336746302616609,5.0,879
7,12,0.03553299492385787,2.0,788
11,18,0.275990099009901,4.0,808
4,7,0.12143742255266418,3.0,807
8,10,0.849009900990099,5.0,808
2,14,0.44188861985472155,4.0,826
8,22,0.9137931034482759,5.0,812
12,20,0.4258793969849246,5.0,796
0,16,0.493116395494368,4.0,799
11,24,2.210599721059972,5.0,717
5,10,0.026589595375722544,2.0,865
19,24,0.0097442143727162,2.0,821
19,23,0.0519159456118665,2.0,809
9,12,0.18170426065162906,4.0,798
16,23,0.13908872901678657,3.0,834
4,13,0.11842105263157894,3.0,836
8,23,0.3228643216080402,4.0,796
8,24,0.518796992481203,5.0,798
9,14,0.03125,1.0,864
15,17,0.08610086100861009,2.0,813
2,6,0.07338308457711443,2.0,804
8,19,0.15327564894932014,3.0,809
3,19,0.4949238578680203,5.0,788
0,4,0.6005256241787122,5.0,761
3,5,0.4939467312348668,5.0,826
12,14,0.08926417370325694,3.0,829
7,11,0.06909090909090909,3.0,825
13,24,0.11721611721611722,3.0,819
3,12,0.18134715025906736,3.0,772
10,21,0.13962264150943396,3.0,795
6,22,0.795593635250918,5.0,817
15,23,0.5048661800486618,5.0,822
19,21,0.5311004784688995,5.0,836
12,13,0.026442307692307692,2.0,832
13,22,0.18102372034956304,2.0,801
2,19,2.0753701211305517,5.0,743
1,18,2.64891846921797,5.0,601
5,23,3.4878048780487805,5.0,164
2,20,3.291079812206573,5.0,213
1,16,0.3094059405940594,5.0,808
12,21,0.15906288532675708,3.0,811
12,17,0.037641154328732745,2.0,797
6,12,0.08202653799758745,2.0,829
5,11,0.058240396530359353,3.0,807
11,20,0.13075060532687652,3.0,826
2,9,0.11822660098522167,3.0,812
2,17,0.3104325699745547,4.0,786
2,23,2.4193548387096775,5.0,682
0,9,1.9488559892328399,5.0,743
4,22,3.40625,5.0,192
17,19,0.09736842105263158,3.0,760
6,10,0.04710144927536232,2.0,828
0,22,3.625,5.0,216
1,22,2.4341216216216215,5.0,592
5,6,0.013498312710911136,2.0,889
0,10,0.08333333333333333,2.0,804
1,4,0.23416965352449223,4.0,837
14,18,0.05204460966542751,2.0,807
3,14,0.13381123058542413,2.0,837
5,18,2.6635220125786163,5.0,636
0,7,0.13373493975903614,3.0,830
0,11,0.13480392156862744,4.0,816
4,6,0.5083932853717026,5.0,834
0,1,0.010843373493975903,1.0,830
14,20,3.4505494505494507,5.0,182
1,6,0.015132408575031526,2.0,793
7,13,0.07270560190703218,2.0,839
12,22,0.09070796460176991,3.0,904
17,18,0.03891509433962264,2.0,848
5,20,0.20094562647754138,4.0,846
7,22,0.29150326797385623,4.0,765
8,18,0.11084905660377359,3.0,848
14,21,2.085714285714286,5.0,735
0,14,3.3588709677419355,5.0,248
6,21,0.3224181360201511,4.0,794
5,21,0.48668280871670705,5.0,826
3,4,0.013613861386138614,2.0,808
6,9,0.3476190476190476,4.0,840
13,23,0.0803357314148681,2.0,834
5,14,2.3975720789074355,5.0,659
6,8,0.13356562137049943,2.0,861
10,19,2.4215384615384616,5.0,650
2,21,2.3686502177068216,5.0,689
9,10,2.276923076923077,5.0,650
8,21,2.6838709677419357,5.0,620
6,23,2.585526315789474,5.0,608
6,7,0.02595797280593325,2.0,809
10,24,3.4292035398230087,5.0,226
4,10,3.721461187214612,5.0,219
6,20,0.44078144078144077,5.0,819
2,24,3.288793103448276,5.0,232
9,21,3.363095238095238,5.0,168
0,18,3.4705882352941178,5.0,136
9,15,3.6307692307692307,5.0,130
6,24,3.475806451612903,5.0,124
3,10,2.084604715672677,5.0,721
1,19,3.4550898203592815,5.0,167
3,15,3.6272189349112427,5.0,169
8,20,3.5277777777777777,5.0,108
1,23,3.7518248175182483,5.0,137
3,21,3.437956204379562,5.0,137
5,19,3.584,5.0,125
4,16,3.5853658536585367,5.0,123
4,21,3.6666666666666665,5.0,12
0,23,3.909090909090909,5.0,11
0,19,3.5,5.0,8
5,24,3.2857142857142856,5.0,7
1,24,3.5555555555555554,5.0,9
4,15,3.3333333333333335,5.0,6
9,20,3.5,5.0,18
3,20,3.0,5.0,7
4,20,2.0,2.0,2
0,24,3.0,3.0,1
