src,dst,generated,served
0,1,830,830
0,2,825,825
0,3,828,828
0,4,763,761
0,5,806,806
0,6,803,803
0,7,830,830
0,8,850,848
0,9,810,743
0,10,804,804
0,11,816,816
0,12,817,814
0,13,816,721
0,14,874,248
0,15,828,828
0,16,800,799
0,17,865,767
0,18,821,136
0,19,827,8
0,20,809,809
0,21,870,799
0,22,823,216
0,23,814,11
0,24,840,1
1,2,796,796
1,3,868,868
1,4,837,837
1,5,793,793
1,6,793,793
1,7,857,857
1,8,877,877
1,9,844,844
1,10,827,827
1,11,780,780
1,12,818,818
1,13,831,828
1,14,870,786
1,15,805,803
1,16,808,808
1,17,795,788
1,18,795,601
1,19,782,167
1,20,842,776
1,21,813,808
1,22,762,592
1,23,831,137
1,24,843,9
2,3,797,797
2,4,818,818
2,5,776,776
2,6,804,804
2,7,804,804
2,8,804,804
2,9,812,812
2,10,783,781
2,11,818,818
2,12,792,792
2,13,816,816
2,14,827,826
2,15,778,717
2,16,804,798
2,17,787,786
2,18,839,838
2,19,821,743
2,20,773,213
2,21,851,689
2,22,829,819
2,23,829,682
2,24,870,232
3,4,808,808
3,5,826,826
3,6,786,786
3,7,835,835
3,8,795,795
3,9,808,808
3,10,796,721
3,11,854,852
3,12,772,772
3,13,877,877
3,14,837,837
3,15,832,169
3,16,829,629
3,17,798,795
3,18,788,787
3,19,788,788
3,20,865,7
3,21,858,137
3,22,864,704
3,23,744,735
3,24,862,795
4,5,785,709
4,6,836,834
4,7,807,807
4,8,841,841
4,9,831,831
4,10,822,219
4,11,853,746
4,12,798,797
4,13,836,836
4,14,790,790
4,15,819,6
4,16,831,123
4,17,828,741
4,18,831,829
4,19,848,848
4,20,830,2
4,21,783,12
4,22,780,192
4,23,856,779
4,24,811,809
5,6,889,889
5,7,816,814
5,8,760,760
5,9,784,773
5,10,865,865
5,11,807,807
5,12,841,841
5,13,841,835
5,14,813,659
5,15,860,859
5,16,832,832
5,17,836,836
5,18,837,636
5,19,828,125
5,20,847,846
5,21,826,826
5,22,795,718
5,23,781,164
5,24,847,7
6,7,809,809
6,8,861,861
6,9,840,840
6,10,828,828
6,11,797,797
6,12,829,829
6,13,847,847
6,14,838,831
6,15,795,795
6,16,803,803
6,17,832,832
6,18,837,832
6,19,803,620
6,20,819,819
6,21,794,794
6,22,819,817
6,23,797,608
6,24,783,124
7,8,805,805
7,9,910,910
7,10,821,820
7,11,825,825
7,12,788,788
7,13,840,839
7,14,828,827
7,15,822,822
7,16,792,792
7,17,846,846
7,18,849,849
7,19,883,879
7,20,842,757
7,21,806,802
7,22,765,765
7,23,803,801
7,24,838,749
8,9,823,823
8,10,812,808
8,11,818,818
8,12,768,768
8,13,797,797
8,14,788,788
8,15,785,617
8,16,794,781
8,17,841,841
8,18,848,848
8,19,810,809
8,20,781,108
8,21,814,620
8,22,814,812
8,23,796,796
8,24,799,798
9,10,815,650
9,11,792,790
9,12,798,798
9,13,818,818
9,14,864,864
9,15,808,130
9,16,852,644
9,17,780,779
9,18,837,837
9,19,777,777
9,20,848,18
9,21,822,168
9,22,854,768
9,23,836,834
9,24,831,829
10,11,837,837
10,12,780,780
10,13,784,784
10,14,872,861
10,15,811,811
10,16,813,813
10,17,789,789
10,18,835,834
10,19,824,650
10,20,848,848
10,21,795,795
10,22,816,816
10,23,804,732
10,24,846,226
11,12,857,857
11,13,811,811
11,14,834,833
11,15,809,808
11,16,818,818
11,17,863,863
11,18,808,808
11,19,848,844
11,20,826,826
11,21,810,810
11,22,820,820
11,23,837,833
11,24,808,717
12,13,832,832
12,14,829,829
12,15,867,867
12,16,833,832
12,17,797,797
12,18,817,817
12,19,830,830
12,20,798,796
12,21,811,811
12,22,904,904
12,23,806,806
12,24,835,834
13,14,818,818
13,15,787,784
13,16,782,782
13,17,841,841
13,18,785,785
13,19,864,863
13,20,802,688
13,21,883,881
13,22,802,801
13,23,835,834
13,24,819,819
14,15,827,679
14,16,830,827
14,17,780,780
14,18,807,807
14,19,845,845
14,20,770,182
14,21,819,735
14,22,812,812
14,23,814,813
14,24,839,839
15,16,864,864
15,17,813,813
15,18,877,875
15,19,773,764
15,20,852,852
15,21,831,831
15,22,850,850
15,23,823,822
15,24,848,780
16,17,822,822
16,18,841,841
16,19,821,821
16,20,827,827
16,21,800,800
16,22,807,807
16,23,834,834
16,24,803,803
17,18,848,848
17,19,761,760
17,20,801,801
17,21,788,788
17,22,799,799
17,23,827,826
17,24,829,829
18,19,804,804
18,20,778,778
18,21,836,836
18,22,828,828
18,23,811,811
18,24,836,836
19,20,835,767
19,21,836,836
19,22,814,814
19,23,809,809
19,24,821,821
20,21,811,811
20,22,822,822
20,23,815,815
20,24,835,831
21,22,844,844
21,23,794,794
21,24,831,831
22,23,823,823
22,24,792,792
23,24,772,772
