src,dst,generated,served
0,1,664,664
0,2,673,640
0,3,666,621
0,4,656,601
0,5,651,651
0,6,670,670
0,7,703,685
0,8,695,630
0,9,723,659
0,10,686,664
0,11,631,615
0,12,673,621
0,13,692,623
0,14,715,634
0,15,665,612
0,16,714,654
0,17,681,617
0,18,682,608
0,19,729,648
0,20,748,693
0,21,687,631
0,22,679,612
0,23,687,609
0,24,684,611
1,2,705,680
1,3,720,656
1,4,675,621
1,5,720,720
1,6,743,743
1,7,680,659
1,8,673,608
1,9,723,661
1,10,661,641
1,11,684,658
1,12,680,628
1,13,690,624
1,14,709,633
1,15,725,662
1,16,718,656
1,17,698,612
1,18,699,607
1,19,658,579
1,20,673,613
1,21,693,633
1,22,688,627
1,23,685,612
1,24,700,619
2,3,698,674
2,4,598,578
2,5,660,629
2,6,654,626
2,7,736,736
2,8,665,633
2,9,737,707
2,10,674,635
2,11,683,635
2,12,655,620
2,13,684,636
2,14,689,647
2,15,649,594
2,16,693,637
2,17,710,652
2,18,677,610
2,19,702,636
2,20,708,633
2,21,647,588
2,22,645,576
2,23,731,659
2,24,675,604
3,4,713,713
3,5,687,634
3,6,668,607
3,7,669,641
3,8,695,695
3,9,698,697
3,10,723,655
3,11,685,623
3,12,711,662
3,13,710,690
3,14,665,646
3,15,753,671
3,16,726,637
3,17,691,624
3,18,719,674
3,19,672,620
3,20,700,627
3,21,648,571
3,22,682,618
3,23,708,656
3,24,666,616
4,5,704,645
4,6,708,648
4,7,688,662
4,8,729,729
4,9,679,679
4,10,712,627
4,11,656,598
4,12,734,676
4,13,685,668
4,14,708,678
4,15,663,584
4,16,717,634
4,17,665,598
4,18,696,639
4,19,693,635
4,20,663,591
4,21,705,601
4,22,700,635
4,23,676,617
4,24,678,612
5,6,749,749
5,7,662,639
5,8,686,640
5,9,684,631
5,10,740,716
5,11,719,701
5,12,721,680
5,13,648,581
5,14,668,593
5,15,723,657
5,16,693,640
5,17,687,615
5,18,709,619
5,19,691,613
5,20,686,640
5,21,697,635
5,22,741,689
5,23,721,630
5,24,719,630
6,7,702,671
6,8,712,659
6,9,645,590
6,10,697,681
6,11,720,695
6,12,656,590
6,13,706,634
6,14,699,630
6,15,689,620
6,16,698,660
6,17,654,581
6,18,703,623
6,19,692,607
6,20,714,666
6,21,653,605
6,22,683,624
6,23,701,614
6,24,699,627
7,8,688,663
7,9,664,643
7,10,677,637
7,11,676,636
7,12,704,681
7,13,700,645
7,14,716,678
7,15,715,646
7,16,692,633
7,17,675,621
7,18,673,613
7,19,672,609
7,20,723,644
7,21,699,632
7,22,682,631
7,23,642,581
7,24,653,587
8,9,648,648
8,10,732,650
8,11,650,584
8,12,704,646
8,13,685,663
8,14,696,677
8,15,676,616
8,16,708,628
8,17,690,622
8,18,676,617
8,19,717,668
8,20,707,627
8,21,697,618
8,22,704,635
8,23,690,644
8,24,744,681
9,10,630,570
9,11,737,659
9,12,707,658
9,13,658,636
9,14,651,624
9,15,671,596
9,16,687,610
9,17,704,636
9,18,709,652
9,19,641,592
9,20,728,640
9,21,695,609
9,22,705,632
9,23,756,704
9,24,688,635
10,11,700,700
10,12,713,683
10,13,675,621
10,14,686,633
10,15,680,648
10,16,663,635
10,17,691,634
10,18,699,633
10,19,661,601
10,20,725,688
10,21,647,620
10,22,727,672
10,23,717,651
10,24,708,632
11,12,692,657
11,13,663,605
11,14,702,629
11,15,713,687
11,16,721,690
11,17,722,669
11,18,661,603
11,19,674,606
11,20,715,689
11,21,684,658
11,22,708,658
11,23,703,633
11,24,695,641
12,13,707,686
12,14,696,664
12,15,735,682
12,16,686,635
12,17,687,655
12,18,668,623
12,19,725,688
12,20,678,624
12,21,708,660
12,22,667,624
12,23,709,670
12,24,671,629
13,14,645,645
13,15,655,606
13,16,670,601
13,17,637,591
13,18,712,693
13,19,716,686
13,20,724,661
13,21,706,643
13,22,756,700
13,23,652,632
13,24,675,651
14,15,699,639
14,16,674,601
14,17,665,634
14,18,699,674
14,19,661,645
14,20,666,592
14,21,720,640
14,22,699,656
14,23,654,636
14,24,662,640
15,16,712,712
15,17,657,635
15,18,677,625
15,19,687,644
15,20,704,704
15,21,649,649
15,22,667,649
15,23,711,670
15,24,668,623
16,17,702,686
16,18,684,632
16,19,682,630
16,20,677,677
16,21,686,686
16,22,669,644
16,23,684,634
16,24,726,675
17,18,666,650
17,19,701,682
17,20,689,668
17,21,770,753
17,22,722,722
17,23,663,645
17,24,682,665
18,19,655,655
18,20,646,593
18,21,711,661
18,22,702,688
18,23,697,697
18,24,680,679
19,20,679,622
19,21,705,650
19,22,654,636
19,23,701,701
19,24,663,663
20,21,715,715
20,22,715,692
20,23,640,601
20,24,698,636
21,22,706,674
21,23,684,635
21,24,708,659
22,23,679,656
22,24,671,642
23,24,658,658
