src,dst,generated,served
0,1,161,161
0,2,182,180
0,3,172,172
0,4,191,190
0,5,174,147
0,6,189,159
0,7,167,159
0,8,177,176
0,9,178,161
0,10,164,164
0,11,156,156
0,12,196,181
0,13,175,175
0,14,167,163
0,15,147,145
0,16,183,161
0,17,183,155
0,18,162,154
0,19,163,159
0,20,174,171
0,21,176,167
0,22,181,161
0,23,186,148
0,24,178,174
0,25,148,143
0,26,167,145
0,27,139,109
1,0,0,0
1,2,196,196
1,3,178,177
1,4,146,145
1,5,187,132
1,6,144,107
1,7,163,131
1,8,179,162
1,9,165,141
1,10,193,191
1,11,184,184
1,12,170,147
1,13,177,177
1,14,177,175
1,15,171,160
1,16,163,140
1,17,170,131
1,18,153,151
1,19,158,156
1,20,188,184
1,21,179,165
1,22,194,152
1,23,164,118
1,24,161,157
1,25,148,143
1,26,160,132
1,27,145,110
2,0,0,0
2,1,0,0
2,3,183,182
2,4,170,168
2,5,165,132
2,6,176,148
2,7,169,159
2,8,140,138
2,9,171,157
2,10,171,171
2,11,163,163
2,12,217,204
2,13,157,157
2,14,166,165
2,15,173,168
2,16,184,171
2,17,179,153
2,18,192,192
2,19,161,161
2,20,164,164
2,21,192,185
2,22,162,137
2,23,191,149
2,24,186,183
2,25,180,180
2,26,163,151
2,27,159,127
3,0,0,0
3,1,0,0
3,2,0,0
3,4,164,164
3,5,155,144
3,6,154,143
3,7,192,190
3,8,160,158
3,9,171,167
3,10,192,190
3,11,168,168
3,12,166,164
3,13,160,160
3,14,187,187
3,15,175,175
3,16,142,139
3,17,193,180
3,18,164,162
3,19,183,183
3,20,138,137
3,21,167,160
3,22,195,181
3,23,182,160
3,24,141,139
3,25,193,190
3,26,177,161
3,27,163,137
4,0,0,0
4,1,0,0
4,2,0,0
4,3,0,0
4,5,166,161
4,6,163,158
4,7,211,209
4,8,176,175
4,9,157,156
4,10,179,179
4,11,158,157
4,12,176,175
4,13,176,174
4,14,184,182
4,15,180,180
4,16,170,168
4,17,191,186
4,18,158,156
4,19,164,157
4,20,170,166
4,21,191,191
4,22,159,155
4,23,177,171
4,24,193,183
4,25,185,179
4,26,168,164
4,27,164,148
5,0,0,0
5,1,0,0
5,2,0,0
5,3,0,0
5,4,0,0
5,6,172,172
5,7,173,173
5,8,173,171
5,9,158,158
5,10,177,157
5,11,181,175
5,12,163,162
5,13,168,146
5,14,171,163
5,15,149,147
5,16,160,157
5,17,190,189
5,18,145,131
5,19,147,112
5,20,179,143
5,21,196,189
5,22,182,174
5,23,183,177
5,24,176,123
5,25,182,130
5,26,159,145
5,27,147,135
6,0,0,0
6,1,0,0
6,2,0,0
6,3,0,0
6,4,0,0
6,5,0,0
6,7,161,161
6,8,194,193
6,9,158,157
6,10,165,148
6,11,162,153
6,12,167,167
6,13,170,134
6,14,163,153
6,15,149,145
6,16,186,183
6,17,178,177
6,18,165,145
6,19,179,129
6,20,174,138
6,21,152,147
6,22,162,157
6,23,168,168
6,24,182,122
6,25,168,125
6,26,187,178
6,27,157,155
7,0,0,0
7,1,0,0
7,2,0,0
7,3,0,0
7,4,0,0
7,5,0,0
7,6,0,0
7,8,164,162
7,9,182,182
7,10,179,171
7,11,179,173
7,12,166,166
7,13,164,150
7,14,170,160
7,15,162,159
7,16,143,142
7,17,170,169
7,18,178,174
7,19,179,145
7,20,186,162
7,21,151,149
7,22,161,158
7,23,147,145
7,24,176,126
7,25,185,143
7,26,171,162
7,27,164,160
8,0,0,0
8,1,0,0
8,2,0,0
8,3,0,0
8,4,0,0
8,5,0,0
8,6,0,0
8,7,0,0
8,9,164,163
8,10,166,164
8,11,165,165
8,12,163,163
8,13,172,166
8,14,158,156
8,15,153,153
8,16,175,175
8,17,183,183
8,18,191,186
8,19,160,141
8,20,187,179
8,21,158,157
8,22,167,165
8,23,170,169
8,24,166,139
8,25,195,171
8,26,160,160
8,27,170,169
9,0,0,0
9,1,0,0
9,2,0,0
9,3,0,0
9,4,0,0
9,5,0,0
9,6,0,0
9,7,0,0
9,8,0,0
9,10,160,146
9,11,189,187
9,12,196,196
9,13,172,153
9,14,172,161
9,15,165,163
9,16,190,190
9,17,175,174
9,18,151,143
9,19,150,122
9,20,156,137
9,21,198,193
9,22,172,170
9,23,154,153
9,24,184,148
9,25,173,139
9,26,179,177
9,27,170,169
10,0,0,0
10,1,0,0
10,2,0,0
10,3,0,0
10,4,0,0
10,5,0,0
10,6,0,0
10,7,0,0
10,8,0,0
10,9,0,0
10,11,159,158
10,12,173,168
10,13,182,182
10,14,161,160
10,15,175,174
10,16,173,171
10,17,167,153
10,18,194,191
10,19,177,176
10,20,161,161
10,21,154,150
10,22,183,178
10,23,184,167
10,24,176,176
10,25,170,169
10,26,178,172
10,27,170,155
11,0,0,0
11,1,0,0
11,2,0,0
11,3,0,0
11,4,0,0
11,5,0,0
11,6,0,0
11,7,0,0
11,8,0,0
11,9,0,0
11,10,0,0
11,12,186,185
11,13,171,171
11,14,176,176
11,15,162,161
11,16,163,162
11,17,156,153
11,18,156,156
11,19,168,163
11,20,177,177
11,21,175,174
11,22,189,187
11,23,178,173
11,24,206,204
11,25,166,163
11,26,178,175
11,27,166,160
12,0,0,0
12,1,0,0
12,2,0,0
12,3,0,0
12,4,0,0
12,5,0,0
12,6,0,0
12,7,0,0
12,8,0,0
12,9,0,0
12,10,0,0
12,11,0,0
12,13,154,148
12,14,165,161
12,15,191,191
12,16,179,177
12,17,184,183
12,18,184,179
12,19,188,166
12,20,186,170
12,21,179,177
12,22,164,162
12,23,152,151
12,24,192,157
12,25,185,155
12,26,180,178
12,27,171,167
13,0,0,0
13,1,0,0
13,2,0,0
13,3,0,0
13,4,0,0
13,5,0,0
13,6,0,0
13,7,0,0
13,8,0,0
13,9,0,0
13,10,0,0
13,11,0,0
13,12,0,0
13,14,158,157
13,15,169,168
13,16,162,155
13,17,181,154
13,18,174,174
13,19,187,187
13,20,160,160
13,21,161,161
13,22,160,155
13,23,164,142
13,24,169,167
13,25,164,164
13,26,184,183
13,27,164,148
14,0,0,0
14,1,0,0
14,2,0,0
14,3,0,0
14,4,0,0
14,5,0,0
14,6,0,0
14,7,0,0
14,8,0,0
14,9,0,0
14,10,0,0
14,11,0,0
14,12,0,0
14,13,0,0
14,15,191,190
14,16,177,174
14,17,185,172
14,18,173,173
14,19,171,170
14,20,155,155
14,21,161,161
14,22,171,166
14,23,185,176
14,24,173,173
14,25,154,153
14,26,167,166
14,27,166,159
15,0,0,0
15,1,0,0
15,2,0,0
15,3,0,0
15,4,0,0
15,5,0,0
15,6,0,0
15,7,0,0
15,8,0,0
15,9,0,0
15,10,0,0
15,11,0,0
15,12,0,0
15,13,0,0
15,14,0,0
15,16,192,192
15,17,169,169
15,18,177,176
15,19,184,180
15,20,182,179
15,21,176,176
15,22,175,175
15,23,183,182
15,24,164,153
15,25,172,170
15,26,163,162
15,27,169,169
16,0,0,0
16,1,0,0
16,2,0,0
16,3,0,0
16,4,0,0
16,5,0,0
16,6,0,0
16,7,0,0
16,8,0,0
16,9,0,0
16,10,0,0
16,11,0,0
16,12,0,0
16,13,0,0
16,14,0,0
16,15,0,0
16,17,151,151
16,18,158,157
16,19,168,155
16,20,184,177
16,21,191,191
16,22,177,176
16,23,165,165
16,24,191,161
16,25,166,151
16,26,174,174
16,27,184,184
17,0,0,0
17,1,0,0
17,2,0,0
17,3,0,0
17,4,0,0
17,5,0,0
17,6,0,0
17,7,0,0
17,8,0,0
17,9,0,0
17,10,0,0
17,11,0,0
17,12,0,0
17,13,0,0
17,14,0,0
17,15,0,0
17,16,0,0
17,18,172,172
17,19,172,133
17,20,188,169
17,21,175,172
17,22,184,184
17,23,179,179
17,24,162,111
17,25,160,125
17,26,172,171
17,27,168,168
18,0,0,0
18,1,0,0
18,2,0,0
18,3,0,0
18,4,0,0
18,5,0,0
18,6,0,0
18,7,0,0
18,8,0,0
18,9,0,0
18,10,0,0
18,11,0,0
18,12,0,0
18,13,0,0
18,14,0,0
18,15,0,0
18,16,0,0
18,17,0,0
18,19,171,171
18,20,180,179
18,21,155,154
18,22,167,166
18,23,171,165
18,24,165,165
18,25,186,185
18,26,171,171
18,27,186,182
19,0,0,0
19,1,0,0
19,2,0,0
19,3,0,0
19,4,0,0
19,5,0,0
19,6,0,0
19,7,0,0
19,8,0,0
19,9,0,0
19,10,0,0
19,11,0,0
19,12,0,0
19,13,0,0
19,14,0,0
19,15,0,0
19,16,0,0
19,17,0,0
19,18,0,0
19,20,173,172
19,21,175,172
19,22,158,134
19,23,161,120
19,24,169,169
19,25,182,181
19,26,194,177
19,27,177,137
20,0,0,0
20,1,0,0
20,2,0,0
20,3,0,0
20,4,0,0
20,5,0,0
20,6,0,0
20,7,0,0
20,8,0,0
20,9,0,0
20,10,0,0
20,11,0,0
20,12,0,0
20,13,0,0
20,14,0,0
20,15,0,0
20,16,0,0
20,17,0,0
20,18,0,0
20,19,0,0
20,21,163,161
20,22,178,171
20,23,177,161
20,24,173,173
20,25,167,167
20,26,176,172
20,27,178,165
21,0,0,0
21,1,0,0
21,2,0,0
21,3,0,0
21,4,0,0
21,5,0,0
21,6,0,0
21,7,0,0
21,8,0,0
21,9,0,0
21,10,0,0
21,11,0,0
21,12,0,0
21,13,0,0
21,14,0,0
21,15,0,0
21,16,0,0
21,17,0,0
21,18,0,0
21,19,0,0
21,20,0,0
21,22,209,208
21,23,183,180
21,24,176,169
21,25,151,151
21,26,170,169
21,27,177,176
22,0,0,0
22,1,0,0
22,2,0,0
22,3,0,0
22,4,0,0
22,5,0,0
22,6,0,0
22,7,0,0
22,8,0,0
22,9,0,0
22,10,0,0
22,11,0,0
22,12,0,0
22,13,0,0
22,14,0,0
22,15,0,0
22,16,0,0
22,17,0,0
22,18,0,0
22,19,0,0
22,20,0,0
22,21,0,0
22,23,177,177
22,24,160,134
22,25,171,155
22,26,147,147
22,27,184,184
23,0,0,0
23,1,0,0
23,2,0,0
23,3,0,0
23,4,0,0
23,5,0,0
23,6,0,0
23,7,0,0
23,8,0,0
23,9,0,0
23,10,0,0
23,11,0,0
23,12,0,0
23,13,0,0
23,14,0,0
23,15,0,0
23,16,0,0
23,17,0,0
23,18,0,0
23,19,0,0
23,20,0,0
23,21,0,0
23,22,0,0
23,24,191,147
23,25,170,141
23,26,175,175
23,27,171,171
24,0,0,0
24,1,0,0
24,2,0,0
24,3,0,0
24,4,0,0
24,5,0,0
24,6,0,0
24,7,0,0
24,8,0,0
24,9,0,0
24,10,0,0
24,11,0,0
24,12,0,0
24,13,0,0
24,14,0,0
24,15,0,0
24,16,0,0
24,17,0,0
24,18,0,0
24,19,0,0
24,20,0,0
24,21,0,0
24,22,0,0
24,23,0,0
24,25,177,177
24,26,189,168
24,27,159,129
25,0,0,0
25,1,0,0
25,2,0,0
25,3,0,0
25,4,0,0
25,5,0,0
25,6,0,0
25,7,0,0
25,8,0,0
25,9,0,0
25,10,0,0
25,11,0,0
25,12,0,0
25,13,0,0
25,14,0,0
25,15,0,0
25,16,0,0
25,17,0,0
25,18,0,0
25,19,0,0
25,20,0,0
25,21,0,0
25,22,0,0
25,23,0,0
25,24,0,0
25,26,162,158
25,27,174,156
26,0,0,0
26,1,0,0
26,2,0,0
26,3,0,0
26,4,0,0
26,5,0,0
26,6,0,0
26,7,0,0
26,8,0,0
26,9,0,0
26,10,0,0
26,11,0,0
26,12,0,0
26,13,0,0
26,14,0,0
26,15,0,0
26,16,0,0
26,17,0,0
26,18,0,0
26,19,0,0
26,20,0,0
26,21,0,0
26,22,0,0
26,23,0,0
26,24,0,0
26,25,0,0
26,27,166,165
27,0,0,0
27,1,0,0
27,2,0,0
27,3,0,0
27,4,0,0
27,5,0,0
27,6,0,0
27,7,0,0
27,8,0,0
27,9,0,0
27,10,0,0
27,11,0,0
27,12,0,0
27,13,0,0
27,14,0,0
27,15,0,0
27,16,0,0
27,17,0,0
27,18,0,0
27,19,0,0
27,20,0,0
27,21,0,0
27,22,0,0
27,23,0,0
27,24,0,0
27,25,0,0
27,26,0,0
