src,dst,generated,served
0,1,84,83
0,2,95,95
0,3,81,81
0,4,93,91
0,5,86,86
0,6,91,91
0,7,98,98
0,8,106,99
0,9,98,79
0,10,83,83
0,11,102,102
0,12,93,90
0,13,84,52
0,14,97,17
0,15,102,102
0,16,107,103
0,17,93,57
0,18,99,8
0,19,79,3
0,20,82,74
0,21,111,86
0,22,96,13
0,23,88,0
0,24,97,0
1,0,0,0
1,2,102,102
1,3,88,88
1,4,90,90
1,5,85,85
1,6,82,82
1,7,85,85
1,8,85,85
1,9,92,91
1,10,74,74
1,11,81,81
1,12,86,86
1,13,74,70
1,14,86,64
1,15,98,94
1,16,101,100
1,17,91,83
1,18,95,44
1,19,74,11
1,20,84,60
1,21,97,86
1,22,86,37
1,23,85,10
1,24,107,2
2,0,0,0
2,1,0,0
2,3,94,94
2,4,84,84
2,5,75,75
2,6,86,86
2,7,86,86
2,8,92,92
2,9,105,105
2,10,83,82
2,11,98,98
2,12,90,90
2,13,102,102
2,14,83,80
2,15,85,60
2,16,85,77
2,17,93,93
2,18,92,86
2,19,79,48
2,20,105,12
2,21,90,50
2,22,80,69
2,23,92,44
2,24,84,11
3,0,0,0
3,1,0,0
3,2,0,0
3,4,84,84
3,5,87,86
3,6,81,81
3,7,84,84
3,8,82,82
3,9,99,99
3,10,80,53
3,11,82,77
3,12,85,83
3,13,79,79
3,14,90,90
3,15,101,16
3,16,83,39
3,17,98,87
3,18,67,67
3,19,85,84
3,20,98,2
3,21,96,7
3,22,85,33
3,23,89,80
3,24,86,67
4,0,0,0
4,1,0,0
4,2,0,0
4,3,0,0
4,5,83,57
4,6,72,69
4,7,97,96
4,8,82,82
4,9,107,107
4,10,91,17
4,11,87,58
4,12,91,89
4,13,109,108
4,14,92,91
4,15,103,1
4,16,93,12
4,17,75,44
4,18,89,87
4,19,84,83
4,20,97,0
4,21,97,3
4,22,96,26
4,23,95,60
4,24,74,69
5,0,0,0
5,1,0,0
5,2,0,0
5,3,0,0
5,4,0,0
5,6,79,79
5,7,86,86
5,8,93,93
5,9,90,83
5,10,107,107
5,11,101,101
5,12,90,89
5,13,91,87
5,14,78,48
5,15,92,92
5,16,91,91
5,17,87,79
5,18,85,46
5,19,95,13
5,20,86,85
5,21,96,90
5,22,107,73
5,23,89,12
5,24,113,4
6,0,0,0
6,1,0,0
6,2,0,0
6,3,0,0
6,4,0,0
6,5,0,0
6,7,83,83
6,8,83,83
6,9,92,91
6,10,83,83
6,11,89,89
6,12,92,92
6,13,95,94
6,14,89,82
6,15,107,107
6,16,94,93
6,17,80,80
6,18,101,89
6,19,84,43
6,20,100,96
6,21,95,94
6,22,102,94
