src,dst,generated,served,,
0,1,"2,713",663,,
0,2,"2,795",727,,
0,3,"2,721",654,,
0,4,"2,770",687,,
0,5,"2,759",677,,
0,6,"2,727",669,,
0,7,"2,782",715,,
0,8,"2,803",718,,
0,9,"2,705",646,,
0,10,"2,790",710,,
0,11,"2,728",657,,
0,12,"2,777",704,,
0,13,"2,767",691,,
1,2,"2,749",696,,
1,3,"2,721",661,,
1,4,"2,754",692,,
1,5,"2,767",689,,
1,6,"2,739",649,,
1,7,"2,724",653,,
1,8,"2,737",665,,
1,9,"2,743",675,,
1,10,"2,763",676,,
1,11,"2,731",635,,
1,12,"2,745",663,,
1,13,"2,734",658,,
2,3,"2,764",686,,
2,4,"2,789",697,,
2,5,"2,727",662,,
2,6,"2,700",632,,
2,7,"2,765",682,,
2,8,"2,760",700,,
2,9,"2,757",694,,
2,10,"2,798",722,,
2,11,"2,769",678,,
2,12,"2,741",663,,
2,13,"2,744",675,,
3,4,"2,766",699,,
3,5,"2,758",689,,
3,6,"2,769",687,,
3,7,"2,771",692,,
3,8,"2,785",709,,
3,9,"2,743",673,,
3,10,"2,742",689,,
3,11,"2,744",668,,
3,12,"2,731",662,,
3,13,"2,715",652,,
4,5,"2,725",645,,
4,6,"2,739",686,,
4,7,"2,748",678,,
4,8,"2,778",693,,
4,9,"2,763",681,,
4,10,"2,741",658,,
4,11,"2,709",641,,
4,12,"2,727",644,,
4,13,"2,767",683,,
5,6,"2,750",671,,
5,7,"2,771",697,,
5,8,"2,777",707,,
5,9,"2,713",655,,
5,10,"2,708",651,,
5,11,"2,723",659,,
5,12,"2,739",683,,
5,13,"2,703",664,,
6,7,"2,788",687,,
6,8,"2,816",727,,
6,9,"2,707",625,,
6,10,"2,751",669,,
6,11,"2,777",703,,
6,12,"2,795",708,,
6,13,"2,707",639,,
7,8,"2,771",677,,
7,9,"2,724",653,,
7,10,"2,753",666,,
7,11,"2,773",701,,
7,12,"2,728",651,,
7,13,"2,735",668,,
8,9,"2,734",684,,
8,10,"2,721",660,,
8,11,"2,747",700,,
8,12,"2,750",687,,
8,13,"2,759",702,,
9,10,"2,738",663,,
9,11,"2,750",676,,
9,12,"2,676",610,,
9,13,"2,759",695,,
10,11,"2,697",633,,
10,12,"2,744",684,,
10,13,"2,710",660,,
11,12,"2,717",672,,
11,13,"2,762",706,,
12,13,"2,734",672,,
