src,dst,generated,served
0,1,652,638
0,2,691,669
0,3,681,661
0,4,716,692
0,5,714,696
0,6,708,678
0,7,667,653
0,8,680,665
0,9,639,623
0,10,702,678
0,11,701,682
0,12,714,693
0,13,698,678
1,0,0,0
1,2,673,655
1,3,683,666
1,4,704,683
1,5,666,647
1,6,681,657
1,7,706,680
1,8,698,671
1,9,686,670
1,10,685,660
1,11,698,679
1,12,678,657
1,13,692,674
2,0,0,0
2,1,0,0
2,3,670,647
2,4,711,692
2,5,681,661
2,6,677,658
2,7,703,693
2,8,673,651
2,9,711,692
2,10,653,639
2,11,697,669
2,12,636,614
2,13,699,679
3,0,0,0
3,1,0,0
3,2,0,0
3,4,676,659
3,5,650,634
3,6,662,637
3,7,681,660
3,8,686,660
3,9,693,668
3,10,678,656
3,11,722,701
3,12,666,645
3,13,679,654
4,0,0,0
4,1,0,0
4,2,0,0
4,3,0,0
4,5,675,655
4,6,717,702
4,7,670,656
4,8,704,678
4,9,679,656
4,10,696,678
4,11,689,662
4,12,668,652
4,13,670,654
5,0,0,0
5,1,0,0
5,2,0,0
5,3,0,0
5,4,0,0
5,6,675,652
5,7,686,671
5,8,660,634
5,9,721,699
5,10,689,678
5,11,664,646
5,12,687,665
5,13,695,677
6,0,0,0
6,1,0,0
6,2,0,0
6,3,0,0
6,4,0,0
6,5,0,0
6,7,679,658
6,8,684,670
6,9,678,662
6,10,701,677
6,11,714,696
6,12,674,656
6,13,670,657
7,0,0,0
7,1,0,0
7,2,0,0
7,3,0,0
7,4,0,0
7,5,0,0
7,6,0,0
7,8,690,672
7,9,722,698
7,10,684,665
7,11,669,648
7,12,691,664
7,13,668,655
8,0,0,0
8,1,0,0
8,2,0,0
8,3,0,0
8,4,0,0
8,5,0,0
8,6,0,0
8,7,0,0
8,9,699,684
8,10,686,665
8,11,692,671
8,12,645,634
8,13,704,690
9,0,0,0
9,1,0,0
9,2,0,0
9,3,0,0
9,4,0,0
9,5,0,0
9,6,0,0
9,7,0,0
9,8,0,0
9,10,679,656
9,11,669,650
9,12,639,627
9,13,674,660
10,0,0,0
10,1,0,0
10,2,0,0
10,3,0,0
10,4,0,0
10,5,0,0
10,6,0,0
10,7,0,0
10,8,0,0
10,9,0,0
10,11,683,666
10,12,716,703
10,13,703,690
11,0,0,0
11,1,0,0
11,2,0,0
11,3,0,0
11,4,0,0
11,5,0,0
11,6,0,0
11,7,0,0
11,8,0,0
11,9,0,0
11,10,0,0
11,12,652,641
11,13,664,649
12,0,0,0
12,1,0,0
12,2,0,0
12,3,0,0
12,4,0,0
12,5,0,0
12,6,0,0
12,7,0,0
12,8,0,0
12,9,0,0
12,10,0,0
12,11,0,0
12,13,672,664
13,0,0,0
13,1,0,0
13,2,0,0
13,3,0,0
13,4,0,0
13,5,0,0
13,6,0,0
13,7,0,0
13,8,0,0
13,9,0,0
13,10,0,0
13,11,0,0
13,12,0,0
