src,dst,avg_delay,max_delay,count
4,11,2.400124843945069,5.0,1602
2,4,2.405305367057372,5.0,1621
11,12,2.3716012084592144,5.0,1655
7,11,2.382051282051282,5.0,1560
2,11,2.443355786895285,5.0,1633
6,7,2.3564356435643563,5.0,1616
2,5,2.4283973187081047,5.0,1641
0,12,2.4326153846153846,5.0,1625
6,13,2.4051997463538366,5.0,1577
7,8,2.474628712871287,5.0,1616
2,7,2.363288718929254,5.0,1569
7,12,2.470106985525488,5.0,1589
4,6,2.3222929936305734,5.0,1570
2,12,2.4320297951582868,5.0,1611
3,12,2.4232936756418284,5.0,1597
2,8,2.430919050517346,5.0,1643
4,13,2.3953341740226985,5.0,1586
3,7,2.3574029126213594,5.0,1648
4,9,2.415307402760351,5.0,1594
9,13,2.3303684879288435,5.0,1574
8,13,2.376,5.0,1625
2,3,2.3915275994865213,5.0,1558
3,4,2.3335373317013466,5.0,1634
0,1,2.3229231730168642,5.0,1601
2,6,2.3382899628252787,5.0,1614
5,8,2.3413249211356466,5.0,1585
1,13,2.4705159705159705,5.0,1628
0,2,2.373060211049038,5.0,1611
3,5,2.427429274292743,5.0,1626
4,12,2.401021711366539,5.0,1566
0,10,2.435687263556116,5.0,1586
7,13,2.4657960199004973,5.0,1608
2,13,2.4608150470219434,5.0,1595
0,5,2.434756464221287,5.0,1663
5,9,2.361318407960199,5.0,1608
5,13,2.3486352357320097,5.0,1612
6,11,2.4191176470588234,5.0,1632
4,5,2.393765903307888,5.0,1572
3,11,2.4231936854887675,5.0,1647
2,10,2.407431133888533,5.0,1561
6,12,2.4336670838548184,5.0,1598
12,13,2.2890673255095737,5.0,1619
0,8,2.4224464060529636,5.0,1586
9,11,2.334798994974874,5.0,1592
1,6,2.3684210526315788,5.0,1539
9,10,2.3601557430240105,5.0,1541
5,11,2.3526448362720402,5.0,1588
6,8,2.4450516089860352,5.0,1647
5,12,2.369606003752345,5.0,1599
5,7,2.3947036569987388,5.0,1586
1,5,2.4552896725440805,5.0,1588
9,12,2.3414932680538554,5.0,1634
4,10,2.450870646766169,5.0,1608
3,10,2.3972081218274113,5.0,1576
8,11,2.373342175066313,5.0,1508
0,11,2.4336569579288025,5.0,1545
6,9,2.415151515151515,5.0,1650
1,2,2.325382262996942,5.0,1635
7,9,2.446754883427851,5.0,1587
0,4,2.367462311557789,5.0,1592
3,6,2.3896742470805163,5.0,1627
3,13,2.432883750802826,5.0,1557
8,12,2.3293824079850283,5.0,1603
1,11,2.4624131396083384,5.0,1583
0,7,2.364741641337386,5.0,1645
10,12,2.3146896127842655,5.0,1627
1,8,2.4576899320568253,5.0,1619
7,10,2.4381603480422624,5.0,1609
1,9,2.4651757188498404,5.0,1565
5,10,2.3607476635514018,5.0,1605
1,10,2.426239799121155,5.0,1593
10,11,2.3830721003134796,5.0,1595
1,7,2.4214067278287463,5.0,1635
6,10,2.4484964811260395,5.0,1563
11,13,2.358525921299188,5.0,1601
4,7,2.323095823095823,5.0,1628
2,9,2.4012048192771083,5.0,1660
0,6,2.370440251572327,5.0,1590
1,12,2.4941896024464834,5.0,1635
4,8,2.4437340153452687,5.0,1564
5,6,2.3990117356392835,5.0,1619
3,9,2.397741530740276,5.0,1594
0,13,2.4179663131628195,5.0,1603
0,9,2.4652278177458036,5.0,1668
10,13,2.329307056579784,5.0,1573
1,3,2.3626373626373627,5.0,1547
8,9,2.3564231738035266,5.0,1588
1,4,2.3638693145419603,5.0,1561
3,8,2.4291021671826627,5.0,1615
8,10,2.306752411575563,5.0,1555
0,3,2.3843669250645996,5.0,1548
