src,dst,generated,served
0,1,1609,1601
0,2,1620,1611
0,3,1561,1548
0,4,1599,1592
0,5,1679,1663
0,6,1601,1590
0,7,1656,1645
0,8,1597,1586
0,9,1684,1668
0,10,1592,1586
0,11,1556,1545
0,12,1636,1625
0,13,1612,1603
1,2,1644,1635
1,3,1555,1547
1,4,1570,1561
1,5,1599,1588
1,6,1548,1539
1,7,1646,1635
1,8,1632,1619
1,9,1578,1565
1,10,1602,1593
1,11,1595,1583
1,12,1647,1635
1,13,1637,1628
2,3,1567,1558
2,4,1623,1621
2,5,1661,1641
2,6,1621,1614
2,7,1581,1569
2,8,1653,1643
2,9,1672,1660
2,10,1573,1561
2,11,1646,1633
2,12,1623,1611
2,13,1614,1595
3,4,1643,1634
3,5,1638,1626
3,6,1637,1627
3,7,1657,1648
3,8,1626,1615
3,9,1605,1594
3,10,1580,1576
3,11,1661,1647
3,12,1610,1597
3,13,1566,1557
4,5,1583,1572
4,6,1578,1570
4,7,1636,1628
4,8,1575,1564
4,9,1607,1594
4,10,1615,1608
4,11,1614,1602
4,12,1575,1566
4,13,1593,1586
5,6,1631,1619
5,7,1604,1586
5,8,1599,1585
5,9,1616,1608
5,10,1613,1605
5,11,1596,1588
5,12,1610,1599
5,13,1619,1612
6,7,1626,1616
6,8,1658,1647
6,9,1662,1650
6,10,1569,1563
6,11,1644,1632
6,12,1605,1598
6,13,1588,1577
7,8,1628,1616
7,9,1596,1587
7,10,1620,1609
7,11,1567,1560
7,12,1605,1589
7,13,1619,1608
8,9,1601,1588
8,10,1564,1555
8,11,1514,1508
8,12,1611,1603
8,13,1636,1625
9,10,1547,1541
9,11,1601,1592
9,12,1641,1634
9,13,1579,1574
10,11,1607,1595
10,12,1629,1627
10,13,1583,1573
11,12,1667,1655
11,13,1609,1601
12,13,1632,1619
