src,dst,avg_delay,max_delay,count
11,12,0.031203566121842496,3.0,2019
6,7,0.02899239543726236,2.0,2104
7,8,0.0742132456552372,2.0,2129
4,6,0.03274798291409587,2.0,2107
8,13,0.019184652278177457,2.0,2085
0,1,0.025142314990512334,2.0,2108
0,2,0.02716873212583413,2.0,2098
5,9,0.03144963144963145,2.0,2035
4,5,0.0681488641855969,2.0,2069
12,13,0.03107074569789675,4.0,2092
5,12,0.039282250242483024,2.0,2062
7,11,0.4725861232411451,5.0,2061
2,7,0.12418627941912869,5.0,1997
9,13,0.11023622047244094,3.0,2032
2,3,0.11860353897656624,4.0,2091
5,8,0.15121951219512195,5.0,2050
7,13,0.5023148148148148,5.0,2160
0,8,0.6366799204771372,5.0,2012
2,5,0.07824331145885917,4.0,1981
3,4,0.029966167230546157,2.0,2069
0,7,0.02783109404990403,2.0,2084
1,3,0.03298350824587706,2.0,2001
2,12,0.4184120798830979,5.0,2053
4,9,0.34600760456273766,5.0,2104
5,13,0.678055822906641,5.0,2078
3,11,0.3502906976744186,4.0,2064
9,11,0.11648568608094768,3.0,2026
4,12,0.44005847953216376,5.0,2052
5,11,0.6615897191813422,5.0,2101
6,8,0.5287804878048781,5.0,2050
8,12,0.12136832239925023,3.0,2134
7,9,0.5344745601521635,5.0,2103
4,7,0.10666666666666667,4.0,2025
3,13,0.33969849246231154,5.0,1990
3,10,0.07552581261950286,4.0,2092
10,13,0.023591718825228696,2.0,2077
3,5,0.43912175648702595,5.0,2004
0,5,0.34119960668633237,5.0,2034
1,5,0.32315035799522673,5.0,2095
10,12,0.1234511243689766,2.0,2179
5,6,0.3030592734225621,4.0,2092
1,7,0.14680232558139536,4.0,2064
9,12,2.0043373493975905,5.0,2075
4,11,3.794198895027624,5.0,1448
6,13,4.229083665338646,5.0,1004
3,12,3.313307130825379,5.0,1781
4,13,3.7118279569892474,5.0,1395
8,9,0.03206997084548105,2.0,2058
1,2,0.02252252252252252,2.0,1998
10,11,0.02320887991927346,2.0,1982
2,9,0.3439278937381404,5.0,2108
3,7,2.6543086172344688,5.0,1996
2,6,2.808564231738035,5.0,1985
2,4,2.8032150776053215,5.0,1804
1,13,3.970419063270337,5.0,1217
2,11,4.069100391134289,5.0,767
0,10,3.958801498127341,5.0,1335
6,12,3.33833646028768,5.0,1599
7,12,4.205103042198234,5.0,1019
2,10,3.9251134644478065,5.0,1322
2,8,3.2455654101995566,5.0,1804
2,13,3.9249394673123486,5.0,826
1,6,2.6851945426983326,5.0,1979
9,10,2.7564234326824253,5.0,1946
5,7,2.6917411888479745,5.0,1901
6,9,3.0247978436657683,5.0,1855
8,11,0.023937469467513434,3.0,2047
11,13,0.11862695608278648,4.0,1981
8,10,0.11538461538461539,3.0,2106
0,4,2.644723618090452,5.0,1990
1,10,0.37983755375059725,5.0,2093
3,6,0.14168278529980657,3.0,2068
0,3,0.11753554502369669,4.0,2110
4,10,0.4688715953307393,5.0,2056
4,8,3.046008869179601,5.0,1804
0,6,0.1758494031221304,5.0,2178
1,12,3.5538243626062322,5.0,1412
1,4,0.2508591065292096,5.0,2037
0,12,3.581033262561925,5.0,1413
0,11,4.377830750893922,5.0,839
6,11,4.243048403707518,5.0,971
3,8,3.947526236881559,5.0,1334
5,10,3.660094637223975,5.0,1268
0,13,4.358851674641149,5.0,836
0,9,3.218066743383199,5.0,1738
3,9,3.0134310134310134,5.0,1638
6,10,3.9478991596638657,5.0,1190
1,11,3.9890625,5.0,1280
1,9,3.166056166056166,5.0,1638
7,10,4.190917516218721,5.0,1079
1,8,4.239904988123516,5.0,842
