src,dst,generated,served
0,1,2108,2108
0,2,2098,2098
0,3,2110,2110
0,4,2086,1990
0,5,2034,2034
0,6,2178,2178
0,7,2084,2084
0,8,2019,2012
0,9,2067,1738
0,10,2094,1335
0,11,2088,839
0,12,2041,1413
0,13,2096,836
1,2,1998,1998
1,3,2001,2001
1,4,2043,2037
1,5,2095,2095
1,6,2087,1979
1,7,2065,2064
1,8,2047,842
1,9,2070,1638
1,10,2093,2093
1,11,2077,1280
1,12,2114,1412
1,13,2042,1217
2,3,2091,2091
2,4,2120,1804
2,5,1981,1981
2,6,2146,1985
2,7,1997,1997
2,8,2152,1804
2,9,2109,2108
2,10,2087,1322
2,11,2068,767
2,12,2056,2053
2,13,2145,826
3,4,2069,2069
3,5,2004,2004
3,6,2068,2068
3,7,2086,1996
3,8,2054,1334
3,9,2049,1638
3,10,2092,2092
3,11,2065,2064
3,12,2086,1781
3,13,1991,1990
4,5,2069,2069
4,6,2108,2107
4,7,2026,2025
4,8,2084,1804
4,9,2104,2104
4,10,2062,2056
4,11,2034,1448
4,12,2053,2052
4,13,2005,1395
5,6,2092,2092
5,7,2017,1901
5,8,2050,2050
5,9,2036,2035
5,10,2026,1268
5,11,2107,2101
5,12,2063,2062
5,13,2080,2078
6,7,2105,2104
6,8,2051,2050
6,9,2104,1855
6,10,2056,1190
6,11,2138,971
6,12,2100,1599
6,13,2102,1004
7,8,2130,2129
7,9,2115,2103
7,10,2056,1079
7,11,2062,2061
7,12,2071,1019
7,13,2160,2160
8,9,2058,2058
8,10,2106,2106
8,11,2048,2047
8,12,2134,2134
8,13,2086,2085
9,10,2048,1946
9,11,2026,2026
9,12,2114,2075
9,13,2033,2032
10,11,1982,1982
10,12,2179,2179
10,13,2077,2077
11,12,2020,2019
11,13,1981,1981
12,13,2093,2092
