src,dst,generated,served
0,1,2737,943
0,2,2748,955
0,3,2728,911
0,4,2780,622
0,5,2789,958
0,6,2718,884
0,7,2746,949
0,8,2810,959
0,9,2771,515
0,10,2739,406
0,11,2755,312
0,12,2719,342
0,13,2775,333
1,2,2792,995
1,3,2740,941
1,4,2733,908
1,5,2744,912
1,6,2763,592
1,7,2720,904
1,8,2744,312
1,9,2719,426
1,10,2760,930
1,11,2773,394
1,12,2694,329
1,13,2737,400
2,3,2695,869
2,4,2772,921
2,5,2751,953
2,6,2751,539
2,7,2720,901
2,8,2739,501
2,9,2789,956
2,10,2721,404
2,11,2703,305
2,12,2737,892
2,13,2722,360
3,4,2805,1008
3,5,2741,913
3,6,2785,973
3,7,2783,583
3,8,2803,535
3,9,2773,347
3,10,2730,935
3,11,2732,906
3,12,2730,519
3,13,2743,928
4,5,2740,946
4,6,2706,904
4,7,2742,914
4,8,2739,478
4,9,2711,860
4,10,2764,926
4,11,2763,519
4,12,2765,922
4,13,2780,559
5,6,2736,896
5,7,2704,591
5,8,2703,872
5,9,2760,963
5,10,2732,514
5,11,2753,914
5,12,2763,966
5,13,2731,918
6,7,2757,964
6,8,2761,924
6,9,2757,554
6,10,2775,427
6,11,2714,323
6,12,2781,370
6,13,2741,364
7,8,2741,945
7,9,2750,903
7,10,2790,434
7,11,2759,917
7,12,2692,411
7,13,2775,941
8,9,2735,943
8,10,2739,927
8,11,2745,950
8,12,2791,984
8,13,2736,944
9,10,2722,547
9,11,2731,901
9,12,2769,922
9,13,2712,893
10,11,2692,897
10,12,2711,902
10,13,2708,915
11,12,2741,943
11,13,2764,952
12,13,2805,1010
