src,dst,generated,served
0,1,1945,1945
0,2,1897,1897
0,3,1929,1725
0,4,1940,1666
0,5,2017,1635
0,6,1965,1692
0,7,1993,1790
0,8,1950,1521
0,9,1921,1519
0,10,1968,1483
0,11,1990,1522
0,12,1947,1507
0,13,1901,1479
1,2,1879,1878
1,3,1873,1677
1,4,1988,1747
1,5,1925,1544
1,6,1919,1677
1,7,1857,1658
1,8,1913,1492
1,9,1957,1551
1,10,1954,1508
1,11,1947,1501
1,12,1991,1544
1,13,1990,1492
2,3,1959,1724
2,4,1932,1670
2,5,1949,1580
2,6,1954,1685
2,7,1981,1788
2,8,1941,1490
2,9,1880,1489
2,10,1941,1499
2,11,1954,1487
2,12,1959,1501
2,13,1972,1485
3,4,1981,1914
3,5,1925,1618
3,6,1959,1835
3,7,2043,1863
3,8,1952,1604
3,9,1923,1555
3,10,1936,1587
3,11,1972,1608
3,12,1963,1596
3,13,1930,1559
4,5,1850,1628
4,6,1903,1853
4,7,1926,1811
4,8,1870,1543
4,9,1983,1683
4,10,1972,1608
4,11,1970,1616
4,12,1903,1537
4,13,1976,1605
5,6,1979,1680
5,7,1960,1611
5,8,1996,1850
5,9,1965,1921
5,10,1941,1785
5,11,1977,1818
5,12,1977,1844
5,13,2015,1882
6,7,1978,1928
6,8,1914,1541
6,9,1932,1580
6,10,1951,1557
6,11,2015,1622
6,12,1898,1511
6,13,1887,1498
7,8,1960,1596
7,9,1903,1518
7,10,1963,1582
7,11,1909,1531
7,12,1986,1622
7,13,1928,1546
8,9,1981,1863
8,10,1952,1951
8,11,1935,1934
8,12,1957,1951
8,13,1916,1914
9,10,1872,1741
9,11,1896,1804
9,12,1944,1842
9,13,1909,1811
10,11,1911,1910
10,12,1889,1887
10,13,1994,1992
11,12,2008,2006
11,13,1971,1971
12,13,1957,1957
