src,dst,generated,served,,
0,1,"2,706",713,,
0,2,"2,730",734,,
0,3,"2,787",770,,
0,4,"2,753",731,,
0,5,"2,752",738,,
0,6,"2,780",765,,
0,7,"2,747",750,,
0,8,"2,721",705,,
0,9,"2,754",707,,
0,10,"2,759",705,,
0,11,"2,741",685,,
0,12,"2,730",688,,
0,13,"2,754",713,,
1,2,"2,761",766,,
1,3,"2,767",773,,
1,4,"2,755",735,,
1,5,"2,703",692,,
1,6,"2,733",692,,
1,7,"2,759",755,,
1,8,"2,758",697,,
1,9,"2,772",713,,
1,10,"2,766",749,,
1,11,"2,760",712,,
1,12,"2,708",651,,
1,13,"2,743",696,,
2,3,"2,722",713,,
2,4,"2,753",738,,
2,5,"2,773",777,,
2,6,"2,734",697,,
2,7,"2,683",679,,
2,8,"2,734",681,,
2,9,"2,793",771,,
2,10,"2,769",702,,
2,11,"2,748",674,,
2,12,"2,748",715,,
2,13,"2,743",689,,
3,4,"2,731",735,,
3,5,"2,781",760,,
3,6,"2,739",730,,
3,7,"2,706",687,,
3,8,"2,753",713,,
3,9,"2,771",710,,
3,10,"2,759",761,,
3,11,"2,744",740,,
3,12,"2,707",676,,
3,13,"2,711",707,,
4,5,"2,730",731,,
4,6,"2,778",778,,
4,7,"2,771",766,,
4,8,"2,733",695,,
4,9,"2,778",769,,
4,10,"2,729",720,,
4,11,"2,732",701,,
4,12,"2,785",769,,
4,13,"2,721",697,,
5,6,"2,758",751,,
5,7,"2,786",748,,
5,8,"2,734",728,,
5,9,"2,756",763,,
5,10,"2,774",756,,
5,11,"2,765",759,,
5,12,"2,737",739,,
5,13,"2,735",732,,
6,7,"2,722",729,,
6,8,"2,753",744,,
6,9,"2,768",725,,
6,10,"2,786",727,,
6,11,"2,691",643,,
6,12,"2,731",683,,
6,13,"2,774",736,,
7,8,"2,735",738,,
7,9,"2,777",763,,
7,10,"2,782",736,,
7,11,"2,716",701,,
7,12,"2,734",710,,
7,13,"2,752",724,,
8,9,"2,706",710,,
8,10,"2,775",776,,
8,11,"2,774",779,,
8,12,"2,691",697,,
8,13,"2,760",766,,
9,10,"2,727",707,,
9,11,"2,752",751,,
9,12,"2,749",751,,
9,13,"2,723",722,,
10,11,"2,768",771,,
10,12,"2,746",751,,
10,13,"2,759",765,,
11,12,"2,750",757,,
11,13,"2,729",736,,
12,13,"2,749",756,,
