src,dst,generated,served
0,1,711,702
0,2,733,727
0,3,782,764
0,4,761,737
0,5,748,712
0,6,749,716
0,7,719,702
0,8,746,708
0,9,710,680
0,10,776,749
0,11,778,740
0,12,759,725
0,13,718,674
1,0,0,0
1,2,711,706
1,3,741,726
1,4,774,747
1,5,710,684
1,6,709,679
1,7,765,737
1,8,717,691
1,9,727,691
1,10,752,719
1,11,790,757
1,12,734,710
1,13,762,736
2,0,0,0
2,1,0,0
2,3,724,705
2,4,752,722
2,5,758,727
2,6,707,690
2,7,709,693
2,8,716,693
2,9,777,738
2,10,741,707
2,11,774,744
2,12,732,702
2,13,752,722
3,0,0,0
3,1,0,0
3,2,0,0
3,4,707,685
3,5,737,719
3,6,733,704
3,7,678,648
3,8,715,684
3,9,722,688
3,10,711,698
3,11,702,680
3,12,728,699
3,13,760,744
4,0,0,0
4,1,0,0
4,2,0,0
4,3,0,0
4,5,716,695
4,6,707,684
4,7,727,703
4,8,761,743
4,9,759,725
4,10,741,720
4,11,744,718
4,12,791,764
4,13,712,691
5,0,0,0
5,1,0,0
5,2,0,0
5,3,0,0
5,4,0,0
5,6,732,708
5,7,760,729
5,8,705,683
5,9,714,695
5,10,730,710
5,11,765,747
5,12,704,687
5,13,744,730
6,0,0,0
6,1,0,0
6,2,0,0
6,3,0,0
6,4,0,0
6,5,0,0
6,7,768,743
6,8,715,689
6,9,766,730
6,10,740,698
6,11,716,682
6,12,739,704
6,13,773,740
7,0,0,0
7,1,0,0
7,2,0,0
7,3,0,0
7,4,0,0
7,5,0,0
7,6,0,0
7,8,714,685
7,9,748,713
7,10,710,682
7,11,736,715
7,12,746,715
7,13,734,710
8,0,0,0
8,1,0,0
8,2,0,0
8,3,0,0
8,4,0,0
8,5,0,0
8,6,0,0
8,7,0,0
8,9,710,695
8,10,795,789
8,11,738,728
8,12,746,734
8,13,722,714
9,0,0,0
9,1,0,0
9,2,0,0
9,3,0,0
9,4,0,0
9,5,0,0
9,6,0,0
9,7,0,0
9,8,0,0
9,10,749,734
9,11,765,749
9,12,753,733
9,13,783,767
10,0,0,0
10,1,0,0
10,2,0,0
10,3,0,0
10,4,0,0
10,5,0,0
10,6,0,0
10,7,0,0
10,8,0,0
10,9,0,0
10,11,768,758
10,12,775,762
10,13,791,780
11,0,0,0
11,1,0,0
11,2,0,0
11,3,0,0
11,4,0,0
11,5,0,0
11,6,0,0
11,7,0,0
11,8,0,0
11,9,0,0
11,10,0,0
11,12,773,765
11,13,772,764
12,0,0,0
12,1,0,0
12,2,0,0
12,3,0,0
12,4,0,0
12,5,0,0
12,6,0,0
12,7,0,0
12,8,0,0
12,9,0,0
12,10,0,0
12,11,0,0
12,13,747,743
13,0,0,0
13,1,0,0
13,2,0,0
13,3,0,0
13,4,0,0
13,5,0,0
13,6,0,0
13,7,0,0
13,8,0,0
13,9,0,0
13,10,0,0
13,11,0,0
13,12,0,0
