src,dst,generated,served
0,1,639,639
0,2,606,606
0,3,659,659
0,4,650,650
0,5,632,343
0,6,657,228
0,7,584,211
0,8,662,586
0,9,650,192
0,10,650,650
0,11,645,645
0,12,642,343
0,13,601,601
0,14,646,646
0,15,620,552
0,16,624,167
0,17,679,197
0,18,657,656
0,19,644,644
0,20,640,640
0,21,664,572
0,22,615,89
0,23,620,86
0,24,647,647
0,25,650,650
0,26,670,266
0,27,662,52
1,2,590,590
1,3,597,597
1,4,689,689
1,5,649,102
1,6,637,141
1,7,634,65
1,8,669,76
1,9,638,62
1,10,666,666
1,11,648,648
1,12,664,23
1,13,622,622
1,14,640,640
1,15,653,47
1,16,639,19
1,17,617,71
1,18,659,659
1,19,613,613
1,20,670,670
1,21,646,231
1,22,656,28
1,23,623,33
1,24,609,609
1,25,658,658
1,26,587,60
1,27,666,62
2,3,625,625
2,4,598,598
2,5,650,50
2,6,659,34
2,7,625,57
2,8,603,95
2,9,644,32
2,10,606,606
2,11,627,627
2,12,629,29
2,13,598,598
2,14,625,625
2,15,622,139
2,16,604,32
2,17,645,60
2,18,613,613
2,19,609,609
2,20,653,653
2,21,633,559
2,22,628,18
2,23,613,14
2,24,621,621
2,25,610,610
2,26,634,363
2,27,623,38
3,4,620,620
3,5,604,96
3,6,613,30
3,7,667,94
3,8,673,256
3,9,679,66
3,10,659,658
3,11,669,668
3,12,630,161
3,13,671,671
3,14,627,627
3,15,606,467
3,16,633,102
3,17,621,125
3,18,588,588
3,19,597,597
3,20,672,672
3,21,603,327
3,22,625,33
3,23,647,40
3,24,646,646
3,25,682,682
3,26,625,70
3,27,639,56
4,5,629,567
4,6,633,164
4,7,681,386
4,8,634,605
4,9,600,270
4,10,641,641
4,11,593,593
4,12,676,566
4,13,631,631
4,14,623,623
4,15,648,632
4,16,635,432
4,17,628,402
4,18,625,625
4,19,649,649
4,20,638,638
4,21,605,578
4,22,625,276
4,23,639,278
4,24,631,631
4,25,626,626
4,26,638,446
4,27,648,171
5,6,628,628
5,7,579,579
5,8,608,608
5,9,640,640
5,10,669,16
5,11,635,111
5,12,658,658
5,13,634,6
5,14,565,33
5,15,639,639
5,16,634,634
5,17,638,638
5,18,642,333
5,19,621,24
5,20,661,59
5,21,630,630
5,22,639,639
5,23,703,703
5,24,625,172
5,25,620,115
5,26,669,669
5,27,633,633
6,7,621,621
6,8,620,620
6,9,607,606
6,10,629,18
6,11,690,98
6,12,656,656
6,13,728,2
6,14,640,20
6,15,637,637
6,16,598,598
6,17,672,671
6,18,672,160
6,19,646,16
6,20,608,13
6,21,659,659
6,22,653,653
6,23,628,628
6,24,656,116
6,25,632,65
6,26,632,632
6,27,654,654
7,8,651,651
7,9,596,596
7,10,640,49
7,11,643,414
7,12,648,648
7,13,665,15
7,14,625,253
7,15,625,625
7,16,629,629
7,17,619,619
7,18,648,452
7,19,630,8
7,20,671,63
7,21,639,639
7,22,634,634
7,23,661,661
7,24,622,24
7,25,618,79
7,26,626,625
7,27,614,614
8,9,620,620
8,10,655,482
8,11,645,631
8,12,663,663
8,13,623,315
8,14,604,521
8,15,605,605
8,16,667,667
8,17,632,632
8,18,629,600
8,19,627,70
8,20,656,358
8,21,652,652
8,22,627,627
8,23,657,657
8,24,645,15
8,25,647,219
8,26,620,620
8,27,606,606
9,10,643,208
9,11,666,587
9,12,639,639
9,13,641,66
9,14,633,429
9,15,659,659
9,16,612,612
9,17,644,644
9,18,616,223
9,19,641,10
9,20,673,26
9,21,646,646
9,22,622,622
9,23,667,667
9,24,634,11
9,25,662,9
9,26,674,674
9,27,666,666
10,11,668,668
10,12,614,439
10,13,646,646
10,14,600,600
10,15,635,629
10,16,607,505
10,17,605,192
10,18,610,610
10,19,632,632
10,20,640,640
10,21,645,619
10,22,625,406
10,23,689,117
10,24,643,643
10,25,634,634
10,26,611,349
10,27,667,51
11,12,630,616
11,13,662,662
11,14,634,634
11,15,609,607
11,16,642,637
11,17,633,586
11,18,637,637
11,19,672,672
11,20,645,645
11,21,643,643
11,22,609,587
11,23,674,579
11,24,630,630
11,25,597,597
11,26,597,571
11,27,651,349
12,13,635,253
12,14,625,585
12,15,655,655
12,16,655,655
12,17,642,642
12,18,664,531
12,19,649,82
12,20,661,160
12,21,635,635
12,22,632,632
12,23,647,647
12,24,588,123
12,25,605,72
12,26,621,621
12,27,632,632
13,14,574,574
13,15,645,630
13,16,641,534
13,17,651,106
13,18,608,607
13,19,616,616
13,20,642,642
13,21,658,627
13,22,646,405
13,23,631,91
13,24,647,647
13,25,619,619
13,26,660,486
13,27,603,189
14,15,595,594
14,16,669,661
14,17,633,537
14,18,662,662
14,19,607,607
14,20,587,587
14,21,682,680
14,22,609,585
14,23,632,465
14,24,665,665
14,25,688,688
14,26,611,603
14,27,632,524
15,16,647,647
15,17,663,663
15,18,630,629
15,19,607,572
15,20,668,656
15,21,626,626
15,22,624,624
15,23,598,598
15,24,635,479
15,25,664,579
15,26,618,618
15,27,649,649
16,17,629,629
16,18,621,614
16,19,659,433
16,20,627,532
16,21,624,624
16,22,596,596
16,23,655,655
16,24,638,271
16,25,646,326
16,26,607,607
16,27,674,674
17,18,687,428
17,19,690,368
17,20,629,222
17,21,611,610
17,22,674,674
17,23,655,655
17,24,621,428
17,25,617,331
17,26,616,616
17,27,623,623
18,19,660,659
18,20,638,638
18,21,615,613
18,22,608,604
18,23,676,600
18,24,643,643
18,25,638,638
18,26,633,629
18,27,616,577
19,20,639,639
19,21,657,628
19,22,636,365
19,23,640,350
19,24,662,662
19,25,659,659
19,26,615,442
19,27,593,369
20,21,638,637
20,22,622,597
20,23,632,445
20,24,627,627
