src,dst,generated,served
0,1,169,166
0,2,169,168
0,3,175,174
0,4,163,157
0,5,154,139
0,6,168,156
0,7,165,153
0,8,161,149
0,9,175,162
0,10,175,170
0,11,169,168
0,12,192,181
0,13,173,169
0,14,166,162
0,15,173,159
0,16,170,160
0,17,168,153
0,18,163,159
0,19,148,145
0,20,162,157
0,21,165,153
0,22,156,145
0,23,181,167
0,24,183,178
0,25,184,174
0,26,151,138
0,27,152,140
1,0,0,0
1,2,163,160
1,3,186,183
1,4,166,159
1,5,181,167
1,6,169,153
1,7,165,144
1,8,192,173
1,9,154,146
1,10,174,173
1,11,176,171
1,12,174,164
1,13,183,177
1,14,167,164
1,15,153,140
1,16,179,169
1,17,168,152
1,18,156,152
1,19,176,170
1,20,181,181
1,21,181,166
1,22,179,167
1,23,153,141
1,24,164,161
1,25,175,170
1,26,176,168
1,27,174,159
2,0,0,0
2,1,0,0
2,3,168,166
2,4,190,186
2,5,162,146
2,6,159,153
2,7,159,148
2,8,167,156
2,9,149,136
2,10,203,198
2,11,159,155
2,12,175,167
2,13,167,166
2,14,175,166
2,15,183,169
2,16,167,160
2,17,157,142
2,18,183,178
2,19,160,159
2,20,140,134
2,21,161,149
2,22,181,164
2,23,172,161
2,24,172,167
2,25,193,187
2,26,196,182
2,27,158,149
3,0,0,0
3,1,0,0
3,2,0,0
3,4,145,143
3,5,156,148
3,6,173,163
3,7,175,158
3,8,163,150
3,9,168,153
3,10,177,177
3,11,195,188
3,12,195,181
3,13,155,152
3,14,176,171
3,15,157,149
3,16,150,133
3,17,160,144
3,18,181,178
3,19,178,175
3,20,156,154
3,21,163,150
3,22,152,139
3,23,166,157
3,24,183,180
3,25,158,153
3,26,158,147
3,27,181,164
4,0,0,0
4,1,0,0
4,2,0,0
4,3,0,0
4,5,163,152
4,6,158,140
4,7,170,157
4,8,162,158
4,9,178,167
4,10,161,157
4,11,141,140
4,12,151,145
4,13,169,168
4,14,157,154
4,15,186,176
4,16,174,163
4,17,155,148
4,18,170,166
4,19,180,175
4,20,191,182
4,21,181,169
4,22,148,136
4,23,166,154
4,24,194,187
4,25,174,169
4,26,163,155
4,27,175,164
5,0,0,0
5,1,0,0
5,2,0,0
5,3,0,0
5,4,0,0
5,6,155,152
5,7,175,172
5,8,174,173
5,9,147,142
5,10,155,141
5,11,171,164
5,12,170,166
5,13,167,153
5,14,186,170
5,15,148,145
5,16,191,186
5,17,166,158
5,18,171,156
5,19,145,131
5,20,171,157
5,21,171,164
5,22,172,170
5,23,175,173
5,24,182,171
5,25,184,167
5,26,185,183
5,27,127,125
6,0,0,0
6,1,0,0
6,2,0,0
6,3,0,0
6,4,0,0
6,5,0,0
6,7,164,161
6,8,170,168
6,9,169,168
6,10,160,149
6,11,147,132
6,12,136,132
6,13,163,153
6,14,188,170
6,15,187,183
6,16,168,165
6,17,168,165
6,18,160,150
6,19,177,166
6,20,180,169
6,21,162,161
6,22,175,171
6,23,171,168
6,24,151,142
6,25,164,155
6,26,178,173
6,27,151,145
7,0,0,0
7,1,0,0
7,2,0,0
7,3,0,0
7,4,0,0
7,5,0,0
7,6,0,0
7,8,162,157
7,9,172,169
7,10,179,171
7,11,167,159
7,12,175,170
7,13,166,156
7,14,157,141
7,15,159,150
7,16,173,166
7,17,166,165
7,18,162,152
7,19,169,150
7,20,191,175
7,21,156,151
7,22,173,167
7,23,166,158
7,24,168,154
7,25,156,140
7,26,179,172
7,27,186,184
8,0,0,0
8,1,0,0
8,2,0,0
8,3,0,0
8,4,0,0
8,5,0,0
8,6,0,0
8,7,0,0
8,9,162,161
8,10,176,166
8,11,168,156
8,12,173,170
8,13,172,157
8,14,194,180
8,15,145,145
8,16,176,174
8,17,163,160
8,18,167,155
8,19,165,157
8,20,158,149
8,21,188,184
8,22,167,164
8,23,154,151
8,24,164,153
8,25,171,159
8,26,174,173
8,27,159,158
9,0,0,0
9,1,0,0
9,2,0,0
9,3,0,0
9,4,0,0
9,5,0,0
9,6,0,0
9,7,0,0
9,8,0,0
9,10,172,165
9,11,172,159
9,12,180,177
9,13,173,166
9,14,171,161
9,15,163,161
9,16,143,143
9,17,169,169
9,18,155,142
9,19,163,154
9,20,174,161
9,21,144,143
9,22,155,151
9,23,164,162
9,24,173,154
9,25,175,164
9,26,173,171
9,27,168,166
10,0,0,0
10,1,0,0
10,2,0,0
10,3,0,0
10,4,0,0
10,5,0,0
10,6,0,0
10,7,0,0
10,8,0,0
10,9,0,0
10,11,173,170
10,12,179,170
10,13,140,140
10,14,185,183
10,15,181,170
10,16,181,169
10,17,166,158
10,18,181,177
10,19,147,143
10,20,152,150
10,21,183,177
10,22,160,149
10,23,180,167
10,24,171,167
10,25,176,169
10,26,163,153
10,27,149,140
11,0,0,0
11,1,0,0
11,2,0,0
11,3,0,0
11,4,0,0
11,5,0,0
11,6,0,0
11,7,0,0
11,8,0,0
11,9,0,0
11,10,0,0
11,12,185,176
11,13,163,160
11,14,193,190
11,15,151,144
11,16,170,158
11,17,152,140
11,18,173,170
11,19,159,154
11,20,170,168
11,21,184,171
11,22,179,171
11,23,156,150
11,24,155,149
11,25,178,173
11,26,147,134
11,27,163,158
12,0,0,0
12,1,0,0
12,2,0,0
12,3,0,0
12,4,0,0
12,5,0,0
12,6,0,0
12,7,0,0
12,8,0,0
12,9,0,0
12,10,0,0
12,11,0,0
12,13,159,156
12,14,146,127
12,15,184,184
12,16,179,174
12,17,177,176
12,18,163,150
12,19,174,160
12,20,161,153
12,21,191,189
12,22,161,157
12,23,149,144
12,24,180,167
12,25,203,188
12,26,192,191
12,27,159,158
13,0,0,0
13,1,0,0
13,2,0,0
13,3,0,0
13,4,0,0
