src,dst,generated,served,served1
0,1,217,214,1070
0,2,183,177,885
0,3,196,192,960
0,4,194,184,920
0,5,174,134,670
0,6,192,154,770
0,7,193,158,790
0,8,223,168,840
0,9,212,169,845
0,10,188,181,905
0,11,194,191,955
0,12,209,167,835
0,13,200,189,945
0,14,188,182,910
0,15,202,171,855
0,16,186,151,755
0,17,207,161,805
0,18,225,217,1085
0,19,209,202,1010
0,20,191,185,925
0,21,182,144,720
0,22,213,167,835
0,23,187,150,750
0,24,208,199,995
0,25,187,184,920
0,26,202,164,820
0,27,218,179,895
1,2,202,198,990
1,3,189,185,925
1,4,211,205,1025
1,5,183,145,725
1,6,200,152,760
1,7,205,168,840
1,8,206,166,830
1,9,234,182,910
1,10,199,196,980
1,11,223,217,1085
1,12,197,161,805
1,13,212,209,1045
1,14,188,179,895
1,15,227,183,915
1,16,205,171,855
1,17,234,191,955
1,18,185,179,895
1,19,204,195,975
1,20,185,181,905
1,21,185,148,740
1,22,205,157,785
1,23,190,146,730
1,24,207,192,960
1,25,198,190,950
1,26,210,168,840
1,27,195,151,755
2,3,201,195,975
2,4,183,174,870
2,5,192,158,790
2,6,199,164,820
2,7,212,152,760
2,8,222,173,865
2,9,205,168,840
2,10,207,203,1015
2,11,205,199,995
2,12,205,165,825
2,13,201,199,995
2,14,200,189,945
2,15,200,167,835
2,16,185,152,760
2,17,212,168,840
2,18,175,168,840
2,19,197,186,930
2,20,202,196,980
2,21,209,166,830
2,22,221,165,825
2,23,198,163,815
2,24,195,186,930
2,25,189,180,900
2,26,201,158,790
2,27,187,153,765
3,4,195,187,935
3,5,185,149,745
3,6,225,179,895
3,7,205,159,795
3,8,172,147,735
3,9,209,169,845
3,10,212,206,1030
3,11,212,208,1040
3,12,194,154,770
3,13,213,210,1050
3,14,196,191,955
3,15,211,162,810
3,16,208,169,845
3,17,215,174,870
3,18,191,184,920
3,19,209,200,1000
3,20,192,180,900
3,21,215,177,885
3,22,186,148,740
3,23,193,158,790
3,24,187,182,910
3,25,212,201,1005
3,26,193,157,785
3,27,208,168,840
4,5,201,165,825
4,6,211,179,895
4,7,212,166,830
4,8,200,162,810
4,9,205,157,785
4,10,198,185,925
4,11,192,186,930
4,12,228,182,910
4,13,201,197,985
4,14,218,209,1045
4,15,185,154,770
4,16,199,168,840
4,17,199,166,830
4,18,171,166,830
4,19,222,215,1075
4,20,219,207,1035
4,21,223,181,905
4,22,205,169,845
4,23,203,157,785
4,24,212,201,1005
4,25,198,191,955
4,26,203,165,825
4,27,237,193,965
5,6,184,181,905
5,7,204,197,985
5,8,210,204,1020
5,9,201,196,980
5,10,192,148,740
5,11,222,179,895
5,12,201,190,950
5,13,204,166,830
5,14,210,163,815
5,15,219,209,1045
