src,dst,generated,served
0,1,1319,1218
0,2,1294,1186
0,3,1317,1204
0,4,1331,1243
0,5,1315,1226
0,6,1376,1256
0,7,1337,1221
0,8,1375,1251
0,9,1335,1206
0,10,1342,1217
0,11,1310,1178
0,12,1328,1217
0,13,1293,1193
0,14,1347,1240
0,15,1272,1143
1,2,1321,1198
1,3,1286,1178
1,4,1334,1220
1,5,1336,1235
1,6,1258,1164
1,7,1253,1150
1,8,1311,1195
1,9,1291,1183
1,10,1301,1193
1,11,1262,1138
1,12,1269,1150
1,13,1314,1192
1,14,1313,1195
1,15,1326,1213
2,3,1305,1211
2,4,1286,1184
2,5,1273,1157
2,6,1343,1248
2,7,1356,1260
2,8,1347,1233
2,9,1316,1184
2,10,1313,1194
2,11,1341,1232
2,12,1290,1169
2,13,1281,1163
2,14,1360,1245
2,15,1264,1166
3,4,1320,1224
3,5,1324,1215
3,6,1271,1184
3,7,1315,1218
3,8,1362,1226
3,9,1331,1210
3,10,1332,1219
3,11,1336,1223
3,12,1328,1215
3,13,1288,1174
3,14,1279,1163
3,15,1344,1235
4,5,1385,1281
4,6,1328,1215
4,7,1311,1210
4,8,1343,1234
4,9,1311,1199
4,10,1326,1206
4,11,1275,1156
4,12,1280,1172
4,13,1297,1186
4,14,1336,1220
4,15,1304,1200
5,6,1310,1201
5,7,1335,1216
5,8,1325,1222
5,9,1337,1235
5,10,1250,1141
5,11,1352,1234
5,12,1359,1237
5,13,1337,1234
5,14,1338,1218
5,15,1290,1177
6,7,1338,1241
6,8,1387,1257
6,9,1332,1208
6,10,1361,1249
6,11,1293,1173
6,12,1285,1186
6,13,1324,1211
6,14,1258,1157
6,15,1327,1206
7,8,1258,1147
7,9,1314,1211
7,10,1251,1146
7,11,1303,1196
7,12,1262,1147
7,13,1288,1179
7,14,1329,1214
7,15,1321,1195
8,9,1313,1231
8,10,1336,1247
8,11,1294,1173
8,12,1317,1231
8,13,1300,1225
8,14,1310,1214
8,15,1331,1215
9,10,1296,1183
9,11,1294,1194
9,12,1317,1211
9,13,1337,1250
9,14,1289,1192
9,15,1265,1168
10,11,1271,1176
10,12,1309,1201
10,13,1320,1237
10,14,1348,1251
10,15,1294,1206
11,12,1248,1141
11,13,1357,1257
11,14,1296,1209
11,15,1249,1164
12,13,1301,1218
12,14,1282,1160
12,15,1283,1180
13,14,1307,1203
13,15,1330,1225
14,15,1333,1244
