src,dst,generated,served
0,1,1970,1969
0,2,1981,1980
0,3,2021,1931
0,4,1974,1973
0,5,1934,1934
0,6,2007,1943
0,7,1941,576
0,8,1989,1987
0,9,2051,1966
0,10,1995,388
0,11,2057,6
0,12,1988,1891
0,13,1971,545
0,14,1951,7
0,15,1988,0
1,2,1998,1998
1,3,1970,1969
1,4,2005,2003
1,5,1973,1973
1,6,1936,1936
1,7,2006,1934
1,8,1950,1878
1,9,2040,2039
1,10,1994,1794
1,11,1955,473
1,12,2009,542
1,13,1995,1769
1,14,1953,356
1,15,2001,6
2,3,1906,1906
2,4,1973,1908
2,5,1999,1998
2,6,1963,1963
2,7,1977,1976
2,8,2007,446
2,9,1930,1719
2,10,1945,1942
2,11,2042,1965
2,12,2052,4
2,13,2008,361
2,14,1944,1745
2,15,2045,567
3,4,1982,575
3,5,2007,1941
3,6,1959,1959
3,7,2003,2003
3,8,1944,5
3,9,1976,327
3,10,2001,1932
3,11,2004,2001
3,12,2056,0
3,13,2022,4
3,14,2014,527
3,15,1980,1879
4,5,1985,1985
4,6,1996,1994
4,7,2027,1832
4,8,2011,2011
4,9,1969,1969
4,10,1974,1778
4,11,1971,361
4,12,2051,2050
4,13,1955,1881
4,14,1929,414
4,15,1972,5
5,6,1958,1958
5,7,2012,2010
5,8,2020,2020
5,9,2014,2013
5,10,2013,2008
5,11,1952,1767
5,12,2064,1994
5,13,1944,1941
5,14,2033,1842
5,15,1957,379
6,7,1982,1982
6,8,1908,1732
6,9,2028,2021
6,10,1937,1937
6,11,2004,2002
6,12,2076,372
6,13,2000,1800
6,14,1986,1981
6,15,2032,1960
7,8,1958,359
7,9,2006,1814
7,10,1964,1962
7,11,1966,1966
7,12,1985,3
7,13,1958,461
7,14,2058,1982
7,15,2069,2069
8,9,1983,1982
8,10,1996,1994
8,11,1966,1762
8,12,1998,1998
8,13,1922,1922
8,14,2033,1963
8,15,2046,579
9,10,1978,1978
9,11,1997,1995
9,12,2028,2028
9,13,1940,1940
9,14,1968,1967
9,15,1972,1910
10,11,1947,1947
10,12,2017,1940
10,13,1963,1963
10,14,1982,1982
10,15,2017,2017
11,12,1928,546
11,13,1972,1886
11,14,1934,1933
11,15,1968,1967
12,13,2029,2029
12,14,1946,1943
12,15,1959,1858
13,14,2021,2021
13,15,2042,2041
14,15,1963,1963
