src,dst,generated,served
0,1,2171,2171
0,2,2139,2135
0,3,2184,2069
0,4,2124,2124
0,5,2227,2227
0,6,2189,2069
0,7,2152,1575
0,8,2294,2289
0,9,2258,2179
0,10,2201,555
0,11,2215,127
0,12,2208,2050
0,13,2137,1357
0,14,2167,74
0,15,2214,18
1,2,2116,2116
1,3,2180,2156
1,4,2160,2160
1,5,2185,2184
1,6,2224,2214
1,7,2142,1885
1,8,2151,2025
1,9,2178,2168
1,10,2120,1712
1,11,2162,616
1,12,2172,1290
1,13,2151,1801
1,14,2165,461
1,15,2191,68
2,3,2125,2125
2,4,2120,1994
2,5,2215,2208
2,6,2196,2195
2,7,2183,2183
2,8,2219,418
2,9,2177,1489
2,10,2222,2210
2,11,2188,2015
2,12,2196,92
2,13,2227,396
2,14,2173,1792
2,15,2194,1318
3,4,2171,1662
3,5,2226,1980
3,6,2259,2259
3,7,2238,2237
3,8,2172,51
3,9,2184,158
3,10,2197,1779
3,11,2218,2205
3,12,2189,13
3,13,2152,85
3,14,2164,1222
3,15,2123,1911
4,5,2270,2270
4,6,2193,2124
4,7,2172,1552
4,8,2166,2165
4,9,2224,2208
4,10,2180,976
4,11,2201,88
4,12,2161,2037
4,13,2236,1753
4,14,2197,589
4,15,2243,194
5,6,2195,2193
5,7,2161,2011
5,8,2220,2198
5,9,2175,2172
5,10,2182,2043
5,11,2162,737
5,12,2209,1689
5,13,2170,2036
5,14,2205,960
5,15,2227,295
6,7,2266,2266
6,8,2162,975
6,9,2207,2036
6,10,2225,2224
6,11,2173,2147
6,12,2247,260
6,13,2219,988
6,14,2189,2092
6,15,2134,1693
7,8,2131,339
7,9,2152,837
7,10,2213,2182
7,11,2166,2165
7,12,2159,119
7,13,2161,564
7,14,2188,1833
7,15,2254,2204
8,9,2211,2211
8,10,2167,2098
8,11,2221,1522
8,12,2163,2162
8,13,2120,2120
8,14,2182,2017
8,15,2165,1285
9,10,2193,2190
9,11,2167,2074
9,12,2190,2190
9,13,2178,2178
9,14,2254,2247
9,15,2186,1960
10,11,2212,2212
10,12,2273,2042
10,13,2183,2170
10,14,2202,2202
10,15,2229,2229
11,12,2190,1263
11,13,2187,1777
11,14,2235,2234
11,15,2272,2272
12,13,2144,2144
12,14,2139,2054
12,15,2233,1537
13,14,2209,2203
13,15,2197,2034
14,15,2271,2271
